qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
3553,346,155,15,23,12,1:31.851,1:31.421,
2520,253,90,28,22,23,1:26.098,,
2100,227,77,22,4,8,1:21.054,,
4628,844,15,205,21,19,1:29.673,,
5801,897,13,6,4,8,1:41.254,1:40.989,1:41.015
2458,251,87,1,7,9,1:26.472,,
357,35,7,5,14,9,1:12.498,1:12.075,1:14.105
2290,244,22,17,14,11,1:25.081,,
6294,918,13,3,19,4,1:41.475,1:41.144,1:41.119
550,44,23,7,11,6,1:20.513,1:19.860,1:20.516
6227,915,821,15,21,14,1:41.159,1:40.536,
6238,916,13,3,19,4,1:37.877,1:37.347,1:37.205
3296,16,155,7,10,11,1:24.335,1:21.960,
2895,269,109,22,5,14,1:22.369,,
5980,904,13,3,19,9,1:28.061,1:27.016,1:27.402
2336,246,77,6,28,7,1:19.051,,
5407,878,818,5,17,14,1:38.434,1:37.879,
5150,867,818,5,17,18,1:40.203,,
7147,969,832,5,55,8,1:25.542,1:24.997,1:24.487
4949,859,16,10,14,8,1:13.480,1:13.261,1:13.298
1874,209,64,21,2,22,1:28.696,,
1158,77,27,18,21,20,1:36.239,,
7359,979,828,15,9,20,1:19.972,,
3290,16,8,6,4,5,1:23.047,1:21.378,1:20.168
802,55,13,6,6,16,1:28.868,,
5039,863,1,1,4,2,1:34.813,1:33.209,1:32.520
2352,246,64,28,21,23,1:24.184,,
3155,9,12,4,8,10,1:32.128,1:35.737,1:34.803
7122,968,20,6,5,5,1:40.341,1:40.034,1:39.661
3014,2,8,6,4,9,1:35.476,1:34.456,1:36.170
3908,115,15,4,7,8,1:16.718,,
3852,112,35,16,16,11,1:19.563,,
2855,267,113,32,11,26,2:33.885,,
7308,977,839,10,31,9,1:06.033,1:05.550,1:05.674
5584,886,807,15,11,11,1:23.899,1:29.435,
5686,892,807,15,11,3,1:24.776,1:24.305,1:24.065
4029,121,44,7,20,9,1:22.488,,
3153,9,13,6,3,8,1:31.600,1:41.708,1:34.574
6409,931,826,9,26,5,1:16.845,1:16.453,1:16.182
5666,891,814,10,14,5,2:02.338,1:48.925,2:02.332
3610,348,15,205,18,21,1:24.199,,
2630,258,49,15,30,11,1:12.686,,
5583,886,817,5,19,10,1:24.770,1:29.359,1:27.946
6057,907,155,207,10,20,1:11.673,,
7159,969,835,4,30,20,1:28.244,,
6315,926,817,9,3,7,1:29.788,1:28.679,1:28.329
359,35,12,4,6,11,1:12.348,1:12.137,
1909,211,71,21,1,13,1:19.674,,
5585,886,815,1,6,12,1:24.176,1:29.761,
2247,242,69,18,24,20,1:33.071,,
4414,107,35,4,7,14,1:11.836,,
1212,80,2,3,8,14,1:16.207,,
256,30,9,2,4,8,1:47.093,1:46.494,1:48.763
4268,99,48,3,4,8,1:14.275,,
3168,10,17,9,14,3,1:20.964,1:20.358,1:21.741
1393,89,39,17,19,15,1:36.707,,
2322,245,94,18,23,17,1:31.445,,
5731,894,154,208,8,4,1:39.065,1:38.076,1:37.531
6371,929,13,3,19,6,1:34.488,1:33.551,1:33.744
6066,908,815,10,11,7,1:42.146,1:37.350,1:40.457
5660,890,824,206,22,21,1:23.787,,
538,43,14,9,14,16,1:15.915,,
4739,849,815,15,17,12,1:34.145,1:32.624,
4452,72,22,6,2,12,1:34.162,1:37.340,
5590,886,814,10,14,17,1:24.908,,
1929,212,56,6,6,11,1:18.873,,
2634,258,105,18,24,15,1:13.016,,
4871,856,1,1,3,1,1:37.525,1:36.526,1:35.820
6674,945,18,1,22,12,1:42.570,1:42.668,
4353,103,32,19,15,13,2:01.246,,
3458,342,67,5,16,13,1:15.961,1:15.413,
4018,120,50,18,19,18,1:26.423,,
3835,111,49,15,10,14,1:23.932,,
4321,102,30,6,1,1,1:19.146,,
6239,916,817,9,3,5,1:38.814,1:37.873,1:37.244
5874,900,155,207,10,15,1:34.274,1:45.867,
6606,942,826,9,26,4,1:57.640,1:58.434,
6994,962,807,10,27,8,1:46.081,1:44.737,1:44.479
1526,160,30,6,3,2,1:24.805,,
3078,5,2,2,6,13,1:21.095,1:20.676,
6508,937,815,10,11,5,1:49.006,1:48.792,1:48.599
5156,868,4,6,5,1,1:46.515,1:56.921,1:51.746
7328,978,838,1,2,9,1:40.011,1:30.105,1:29.418
6015,905,828,207,9,22,1:21.732,,
1724,199,35,3,1,3,1:24.102,,
2809,266,84,1,8,6,1:20.629,,
3151,9,5,1,2,6,1:31.881,1:40.826,1:33.859
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844
3882,114,23,3,4,1,1:15.259,,
5675,891,823,207,21,14,2:00.564,1:52.036,
7376,980,826,5,26,17,1:46.028,,
6467,934,822,3,77,4,1:34.171,1:33.020,1:33.149
3216,12,16,10,20,11,1:45.239,1:45.119,
6539,938,18,1,22,16,1:26.058,,
5340,875,811,3,19,18,1:39.443,,
6638,943,4,1,14,16,1:21.779,,
4092,90,14,1,5,12,1:27.294,,
1579,173,25,22,12,11,1:37.348,,
1648,177,64,15,12,15,1:28.599,,
1885,210,77,22,8,11,1:25.371,,
328,33,21,10,21,20,1:19.910,,
5913,902,4,6,14,10,1:35.251,1:34.723,1:34.992
1411,104,44,7,17,13,1:21.841,,
2699,261,108,30,33,26,1:30.657,,
4751,849,817,164,22,24,1:38.059,,
3454,342,22,3,9,9,1:15.590,1:15.083,1:14.901
1298,84,30,6,1,20,,,
291,32,8,6,1,3,1:44.282,1:44.232,1:45.617
