constructorresultsid,raceid,constructorid,points,status
320,48,3,3.0,
1710,180,22,6.0,
2468,248,15,2.0,
14620,882,131,15.0,
3201,301,36,0.0,
12474,599,77,0.0,
3632,326,35,0.0,
11261,667,6,3.0,
926,106,17,0.0,
15486,973,210,1.0,
4347,374,37,0.0,
15149,940,208,10.0,
3709,330,39,0.0,
952,109,16,2.0,
14515,873,131,10.0,
12050,620,1,6.0,
1907,198,6,16.0,
3376,312,18,0.0,
2661,263,18,2.0,
5969,481,54,0.0,
5514,452,53,0.0,
15375,963,6,12.0,
6365,505,57,0.0,
11725,644,32,3.0,
3521,320,41,0.0,
10584,724,26,0.0,
14572,878,1,35.0,
5371,442,4,0.0,
4734,397,34,0.0,
13920,338,15,0.0,
13185,546,34,0.0,
140,31,9,1.0,
1339,146,21,1.0,
5752,467,21,0.0,
12635,581,6,9.0,
14877,906,1,14.0,
208,38,1,12.0,D
35,21,1,6.0,
13512,533,60,0.0,
658,80,4,13.0,
11369,677,195,0.0,
4543,385,35,0.0,
1598,169,20,0.0,
4574,387,32,4.0,
12815,584,57,0.0,
3462,317,6,4.0,
12605,579,34,2.0,
13843,523,54,0.0,
3430,315,36,0.0,
14452,868,6,30.0,
5760,468,37,0.0,
4816,403,25,3.0,
3651,327,32,0.0,
627,76,9,0.0,
11344,675,6,4.0,
12558,576,64,6.0,
1719,180,16,0.0,
2303,233,28,0.0,
15287,955,10,17.0,
14337,858,15,1.0,
3573,323,27,0.0,
2575,257,6,4.0,
628,77,4,13.0,
4262,369,44,0.0,
5248,434,21,3.0,
2165,221,15,0.0,
2157,220,18,0.0,
5663,462,1,1.0,
3515,320,6,0.5,
4229,368,32,0.0,
4451,380,21,0.0,
128,30,4,5.0,
626,76,18,0.0,
5938,479,55,0.0,
11262,667,194,2.0,
1465,157,21,0.0,
1841,192,1,16.0,
4441,379,27,0.0,
13891,526,57,0.0,
12641,581,63,0.0,
11921,640,63,3.0,
