playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
penaal01,1991,2,ATL,NL,2,0,15,0,0,0,11,58,11,3,1,3,13,0.0,1,0.0,0.0,0.0,0,70.0,12.0,3,,,
gurala01,1970,1,CHN,NL,1,3,20,3,1,0,1,114,35,16,6,23,21,0.0,3,3.0,0.0,1.0,0,167.0,10.0,18,,,
reardje01,1993,1,CIN,NL,4,6,58,0,0,0,8,185,66,28,4,10,35,0.0,4,0.0,2.0,5.0,0,267.0,32.0,34,,,
seaveto01,1979,1,CIN,NL,16,6,32,32,9,5,0,645,187,75,16,61,131,0.0,3,6.0,4.0,0.0,0,868.0,0.0,85,,,
hayneji01,1997,1,OAK,AL,3,6,13,13,0,0,0,220,74,36,7,40,65,0.0,4,1.0,4.0,2.0,1,329.0,0.0,38,,,
yowelca01,1925,1,CLE,AL,2,3,12,4,1,0,0,109,40,18,1,17,12,0.0,4,,0.0,1.0,0,151.0,3.0,21,,,
johnto01,1984,1,CAL,AL,7,13,32,29,4,1,0,544,223,91,15,56,47,0.0,4,3.0,11.0,4.0,0,797.0,1.0,97,,,
astacpe01,1995,1,LAN,NL,7,8,48,11,1,1,0,312,103,49,12,29,80,0.0,4,5.0,5.0,4.0,0,436.0,7.0,53,,,
mccaski01,1996,1,CHA,AL,5,5,29,4,0,0,0,155,72,40,6,31,28,0.0,6,8.0,1.0,2.0,0,246.0,13.0,41,,,
mitchcl01,1923,1,PHI,NL,9,10,29,19,8,1,0,418,170,73,8,46,41,0.0,4,,2.0,4.0,0,628.0,4.0,93,,,
akerja01,1970,1,NYA,AL,4,2,41,0,0,0,16,210,57,16,3,20,36,0.0,2,5.0,1.0,4.0,0,284.0,28.0,19,,,
emslibo01,1885,1,BL2,AA,3,10,13,13,11,0,0,321,131,51,0,30,27,,4,,12.0,5.0,0,474.0,0.0,87,,,
fyhrimi01,2000,1,ANA,AL,0,0,32,0,0,0,0,158,54,14,4,15,43,0.0,2,4.0,0.0,0.0,0,220.0,7.0,14,,,
