yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1984,WS,DET,AL,SDN,NL,4,1,0
1993,NLCS,PHI,NL,ATL,NL,4,2,0
2012,ALCS,DET,AL,NYA,AL,4,0,0
1952,WS,NYA,AL,BRO,NL,4,3,0
2012,NLDS2,SFN,NL,CIN,NL,3,2,0
2000,ALCS,NYA,AL,SEA,AL,4,2,0
1972,WS,OAK,AL,CIN,NL,4,3,0
1971,NLCS,PIT,NL,SFN,NL,3,1,0
1986,ALCS,BOS,AL,CAL,AL,4,3,0
1981,NWDIV,LAN,NL,HOU,NL,3,2,0
2006,NLDS2,SLN,NL,SDN,NL,3,1,0
1912,WS,BOS,AL,NY1,NL,4,3,0
2008,ALCS,TBA,AL,BOS,AL,4,3,0
1973,WS,OAK,AL,NYN,NL,4,3,0
2000,ALDS2,SEA,AL,CHA,AL,3,0,0
1957,WS,ML1,NL,NYA,AL,4,3,0
1973,ALCS,OAK,AL,BAL,AL,3,2,0
1991,NLCS,ATL,NL,PIT,NL,4,3,0
2011,NLDS1,SLN,NL,PHI,NL,3,2,0
1977,ALCS,NYA,AL,KCA,AL,3,2,0
1976,ALCS,NYA,AL,KCA,AL,3,2,0
1999,NLCS,ATL,NL,NYN,NL,4,2,0
1993,WS,TOR,AL,PHI,NL,4,2,0
2003,NLCS,FLO,NL,CHN,NL,4,3,0
1990,NLCS,CIN,NL,PIT,NL,4,2,0
2002,ALCS,ANA,AL,MIN,AL,4,1,0
1999,ALCS,NYA,AL,BOS,AL,4,1,0
1989,WS,OAK,AL,SFN,NL,4,0,0
1978,WS,NYA,AL,LAN,NL,4,2,0
1996,NLDS2,SLN,NL,SDN,NL,3,0,0
2012,NLDS1,SLN,NL,WAS,NL,3,2,0
1995,NLDS2,CIN,NL,LAN,NL,3,0,0
1949,WS,NYA,AL,BRO,NL,4,1,0
1982,ALCS,ML4,AL,CAL,AL,3,2,0
2010,NLDS1,PHI,NL,CIN,NL,3,0,0
1996,NLCS,ATL,NL,SLN,NL,4,3,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
1937,WS,NYA,AL,NY1,NL,4,1,0
1941,WS,NYA,AL,BRO,NL,4,1,0
1998,NLDS1,ATL,NL,CHN,NL,3,0,0
1954,WS,NY1,NL,CLE,AL,4,0,0
2001,NLDS2,ARI,NL,SLN,NL,3,2,0
2011,ALDS1,DET,AL,NYA,AL,3,2,0
2010,ALDS1,TEX,AL,TBA,AL,3,2,0
1955,WS,BRO,NL,NYA,AL,4,3,0
2010,ALDS2,NYA,AL,MIN,AL,3,0,0
1999,WS,NYA,AL,ATL,NL,4,0,0
2004,NLCS,SLN,NL,HOU,NL,4,3,0
1977,WS,NYA,AL,LAN,NL,4,2,0
1934,WS,SLN,NL,DET,AL,4,3,0
1979,ALCS,BAL,AL,CAL,AL,3,1,0
1966,WS,BAL,AL,LAN,NL,4,0,0
1963,WS,LAN,NL,NYA,AL,4,0,0
1936,WS,NYA,AL,NY1,NL,4,2,0
2009,NLCS,PHI,NL,LAN,NL,4,1,0
1991,WS,MIN,AL,ATL,NL,4,3,0
1992,ALCS,TOR,AL,OAK,AL,4,2,0
1969,WS,NYN,NL,BAL,AL,4,1,0
1984,ALCS,DET,AL,KCA,AL,3,0,0
2002,NLDS1,SFN,NL,ATL,NL,3,2,0
1997,WS,FLO,NL,CLE,AL,4,3,0
1939,WS,NYA,AL,CIN,NL,4,0,0
2009,NLDS2,PHI,NL,COL,NL,3,1,0
2005,NLDS2,HOU,NL,ATL,NL,3,1,0
1998,ALCS,NYA,AL,CLE,AL,4,2,0
1987,WS,MIN,AL,SLN,NL,4,3,0
1985,NLCS,SLN,NL,LAN,NL,4,2,0
1974,WS,OAK,AL,LAN,NL,4,1,0
1926,WS,SLN,NL,NYA,AL,4,3,0
2012,WS,SFN,NL,DET,AL,4,0,0
1990,ALCS,OAK,AL,BOS,AL,4,0,0
1992,NLCS,ATL,NL,PIT,NL,4,3,0
1914,WS,BSN,NL,PHA,AL,4,0,0
1913,WS,PHA,AL,NY1,NL,4,1,0
1953,WS,NYA,AL,BRO,NL,4,2,0
1970,WS,BAL,AL,CIN,NL,4,1,0
1984,NLCS,SDN,NL,CHN,NL,3,2,0
2012,ALWC,BAL,AL,TEX,AL,1,0,0
2002,NLCS,SFN,NL,SLN,NL,4,1,0
1948,WS,CLE,AL,BSN,NL,4,2,0
1935,WS,DET,AL,CHN,NL,4,2,0
1950,WS,NYA,AL,PHI,NL,4,0,0
1998,NLCS,SDN,NL,ATL,NL,4,2,0
1973,NLCS,NYN,NL,CIN,NL,3,2,0
1996,ALCS,NYA,AL,BAL,AL,4,1,0
2005,ALDS1,CHA,AL,BOS,AL,3,0,0
2000,NLDS2,NYN,NL,SFN,NL,3,1,0
2003,NLDS1,FLO,NL,SFN,NL,3,1,0
