playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
mechegi01,2007,0,NLS200707100,KCA,AL,0.0,
appieke01,1995,0,ALS199507110,KCA,AL,1.0,
rudijo01,1972,0,NLS197207250,OAK,AL,1.0,
vaughgr01,2001,0,ALS200107100,TBA,AL,0.0,
mcquige02,1948,0,ALS194807130,NYA,AL,1.0,3.0
moranbi02,1962,2,NLS196207300,LAA,AL,1.0,4.0
simmote01,1972,0,NLS197207250,SLN,NL,0.0,
goodmbi01,1949,0,NLS194907120,BOS,AL,1.0,
aguilri01,1992,0,NLS199207140,MIN,AL,1.0,
eckerde01,1990,0,NLS199007100,OAK,AL,1.0,
raineti01,1981,0,ALS198108090,MON,NL,1.0,
antonjo02,1959,2,NLS195908030,SFN,NL,0.0,
rosebjo01,1962,1,ALS196207100,LAN,NL,0.0,
smithre06,1975,0,ALS197507150,SLN,NL,1.0,
latmaba01,1961,2,ALS196107310,CLE,AL,0.0,
steinte01,1993,0,ALS199307130,OAK,AL,1.0,
riosal01,2006,0,NLS200607110,TOR,AL,0.0,
finlech01,2000,0,NLS200007110,CLE,AL,0.0,
brettge01,1976,0,NLS197607130,KCA,AL,1.0,5.0
harenda01,2009,0,NLS200907140,ARI,NL,1.0,
bradlmi01,2008,0,ALS200807150,TEX,AL,1.0,10.0
schilcu01,1999,0,ALS199907130,PHI,NL,1.0,1.0
riverma01,2002,0,NLS200207090,NYA,AL,1.0,
martira02,1990,0,NLS199007100,LAN,NL,1.0,
mazzile01,1979,0,ALS197907170,NYN,NL,1.0,
scorehe01,1955,0,NLS195507120,CLE,AL,0.0,
justida01,1993,0,ALS199307130,ATL,NL,1.0,9.0
howarel01,1958,0,ALS195807080,NYA,AL,0.0,
kellyro01,1993,0,ALS199307130,CIN,NL,1.0,
greggha01,1945,0,,BRO,NL,0.0,
kolbda01,2004,0,NLS200407130,MIL,NL,1.0,
speiech01,1972,0,NLS197207250,SFN,NL,1.0,
durenry01,1958,0,ALS195807080,NYA,AL,0.0,
perezod01,2002,0,NLS200207090,LAN,NL,1.0,
wrighda03,2012,0,ALS201207100,NYN,NL,1.0,
broxtjo01,2009,0,NLS200907140,LAN,NL,0.0,
minosmi01,1953,0,NLS195307140,CHA,AL,1.0,
youngmi02,2009,0,NLS200907140,TEX,AL,1.0,5.0
musiast01,1947,0,NLS194707080,SLN,NL,1.0,
cordech01,2005,0,ALS200507120,WAS,NL,1.0,
friscfr01,1934,0,NLS193407100,SLN,NL,1.0,4.0
peskyjo01,1946,0,ALS194607090,BOS,AL,1.0,6.0
furcara01,2010,0,ALS201007130,LAN,NL,1.0,
jeterde01,1998,0,NLS199807070,NYA,AL,1.0,
kinerra01,1952,0,NLS195207080,PIT,NL,0.0,
torrejo01,1965,0,ALS196507130,ML1,NL,1.0,2.0
casege01,1944,0,NLS194407110,WS1,AL,0.0,
howarel01,1959,2,NLS195908030,NYA,AL,0.0,
correke01,2011,0,NLS201107120,PIT,NL,,
hamiljo03,2009,0,NLS200907140,TEX,AL,1.0,8.0
contrjo01,2006,0,NLS200607110,CHA,AL,0.0,
rosepe01,1976,0,NLS197607130,CIN,NL,1.0,5.0
heganji01,1951,0,ALS195107100,CLE,AL,1.0,
applilu01,1940,0,NLS194007090,CHA,AL,1.0,6.0
sanguma01,1971,0,ALS197107130,PIT,NL,0.0,
wilsopr01,2003,0,ALS200307150,COL,NL,1.0,
reyesjo01,2010,0,ALS201007130,NYN,NL,0.0,
lavelga01,1983,0,ALS198307060,SFN,NL,0.0,
simmote01,1978,0,NLS197807110,SLN,NL,1.0,2.0
mccovwi01,1969,0,ALS196907230,SFN,NL,1.0,3.0
howarel01,1965,0,ALS196507130,NYA,AL,0.0,
minosmi01,1959,1,NLS195907070,CLE,AL,1.0,7.0
chapmar01,2012,0,ALS201207100,CIN,NL,1.0,
breweji01,1973,0,ALS197307240,LAN,NL,1.0,
jonesch06,2001,0,ALS200107100,ATL,NL,1.0,5.0
casege01,1939,0,ALS193907110,WS1,AL,0.0,
gwynnto01,1984,0,NLS198407100,SDN,NL,1.0,7.0
martipe02,2000,0,NLS200007110,BOS,AL,0.0,
mussimi01,1997,0,ALS199707080,BAL,AL,0.0,
raineti01,1983,0,ALS198307060,MON,NL,1.0,7.0
willibi01,1973,0,ALS197307240,CHN,NL,1.0,9.0
renteed01,2006,0,NLS200607110,ATL,NL,1.0,6.0
grantmu01,1963,0,ALS196307090,CLE,AL,0.0,
vernomi01,1948,0,ALS194807130,WS1,AL,1.0,
allisbo01,1964,0,NLS196407070,MIN,AL,1.0,3.0
elliobo01,1947,0,NLS194707080,BSN,NL,0.0,
carmofa01,2010,0,ALS201007130,CLE,AL,0.0,
lombaer01,1943,0,ALS194307130,NY1,NL,1.0,
