schoolid,schoolname,schoolcity,schoolstate,schoolnick
depaul,DePaul University,Chicago,IL,Blue Demons
sterlingks,Sterling University,Sterling,KS,Warriors
huntercuny,"Hunter College, The City University of New York",New York,NY,Hawks
manchester,Manchester College,North Manchester,IN,Spartans
airforce,United States Air Force Academy,Colorado Springs,CO,Falcons
alabamaam,Alabama A&M University,Normal,AL,Bulldogs
michiganst,Michigan State University,East Lansing,MI,Spartans
salemintl,Salem International University,Salem,WV,Tigers
nyoneonta,State University College at Oneonta,Oneonta,NY,Red Dragons
baylor,Baylor University,Waco,TX,Bears
warnerpac,Warner Pacific College,Portland,OR,Knights
loyolano,Loyola University New Orleans,New Orleans,LA,Wolfpack
syracuse,Syracuse University,Syracuse,NY,Orangemen
etxbaptist,East Texas Baptist University,Marshall,TX,Tigers
wiscmilw,University of Wisconsin-Milwaukee,Milwaukee,WI,Panthers
neillinois,Northeastern Illinois University,Chicago,IL,
ohwesleyan,Ohio Wesleyan University,Delaware,OH,Battling Bishops
nyfredonia,State University of New York College at Fredonia,Fredonia,NY,Blue Devils
upperiowa,Upper Iowa University,Fayette,IA,Peacocks
villanova,Villanova University,Villanova,PA,Wildcats
nebkearney,University of Nebraska at Kearney,Kearney,NE,Lopers
lacollege,Louisiana College,Pineville,LA,Wildcats
wheatonma,Wheaton College (Mass.),Wheaton,MA,Lyons
tarletonst,Tarleton State University,Stephenville,TX,Texans
nycortland,State University of New York College at Cortland,Cortland,NY,Red Dragons
cornell,Cornell University,Ithaca,NY,Big Red
auburnmont,Auburn University at Montgomery,Montgomery,AL,Senators
lee,Lee University,Cleveland,TN,Flames
georgetown,Georgetown University,Washington,DC,Hoyas
blackbrnil,Blackburn College,Carlinville,IL,Battlin' Beavers
latech,Louisiana Tech University,Ruston,LA,Bulldogs
azusapac,Azusa Pacific University,Azusa,CA,Cougars
rosehulman,Rose-Hulman Institute of Technology,Terre Haute,IN,Engineers
purdue,Purdue University,West Lafayette,IN,Boilermakers
indpolis,University of Indianapolis,Indianapolis,IN,Greyhounds
ballst,Ball State University,Muncie,IN,Cardinals
pace,Pace University,New York,NY,Setters
charlsouth,Charleston Southern University,Charleston,SC,Buccaneers
delaware,University of Delaware,Newark,DE,Blue Hens
brewparker,Brewton-Parker College,Mount Vernon,GA,Barons
wiscgbay,University of Wisconsin-Green Bay,Green Bay,WI,Phoenix
glenvilst,Glenville State College,Glenville,WV,Pioneers
wesleyanct,Wesleyan University,Middletown,CT,Cardinals
philly,Philadelphia University,Philadelphia,PA,Rams
stmartinwa,Saint Martin's College,Lacey,WA,Saints
holycross,College of the Holy Cross,Worcester,MA,Crusaders
floridaam,Florida Agricultural and Mechanical University,Tallahassee,FL,Rattlers
georgefox,George Fox University,Newberg,OR,Bruins
bostonuniv,Boston University,Boston,MA,Terriers
juniatapa,Juniata College,Huntingdon,PA,Eagles
lorasia,Loras College,Dubuque,IA,Duhawks
kansas,University of Kansas,Lawrence,KS,Jayhawks
cmissouri,Central Missouri State University,Warrensburg,MO,Mules
abilchrist,Abilene Christian University,Abilene,TX,Wildcats
jacksonvil,Jacksonville University,Jacksonville,FL,Dolphins
nillinois,Northern Illinois University,DeKalb,IL,Huskies
wiwhitewtr,University of Wisconsin-Whitewater,Whitewater,WI,Warhawks
gonzaga,Gonzaga University,Spokane,WA,Bulldogs
uab,University of Alabama at Birmingham,Birmingham,AL,Blazers
txchrist,Texas Christian University,Fort Worth,TX,Horned Frogs
oakland,Oakland University,Rochester,MI,Grizzlies
shorterga,Shorter College,Rome,GA,Hawks
utpanam,University of Texas-Pan American,Edinburg,TX,Broncs
stleo,Saint Leo University,Saint Leo,FL,Lions
salabama,University of South Alabama,Mobile,AL,Jaguars
psubehrend,"Pennsylvania State University Erie, the Behrend College",Erie,PA,Lions
denver,University of Denver,Denver,CO,Pioneers
wyoming,University of Wyoming,Laramie,WY,Cowboys
mtstmarys,Mount St. Mary's College and Seminary,Emmitsburg,MD,Mountaineers
sacstate,"California State University, Sacramento",Sacramento,CA,Hornets
gatech,Georgia Institute of Technology,Atlanta,GA,Yellow Jackets
csstanisl,"California State University, Stanislaus",Turlock,CA,Warriors
unc,University of North Carolina,Chapel Hill,NC,Tarheels
stetson,Stetson University,DeLand,FL,Hatters
hobartny,Hobart and William Smith Colleges,Geneva,NY,Statesmen
ulala,University of Louisiana at Lafayette,Lafayette,LA,Ragin' Cajuns
stmarysca,Saint Mary's College of California,Moraga,CA,Gaels
ecentralok,East Central University,Ada,OK,Tigers
smethodist,Southern Methodist University,Dallas,TX,Mustangs
calutheran,California Lutheran University,Thousand Oaks,CA,Kingsmen
illinoisst,Illinois State University,Normal,IL,Redbirds
sanfran,University of San Francisco,San Francisco,CA,Dons
nmexico,University of New Mexico,Albuquerque,NM,Lobos
biolaca,Biola University,La Mirada,CA,Eagles
ouachitab,Ouachita Baptist University,Arkadelphia,AR,Tigers
georgtwnky,Georgetown College,Georgetown,KY,Tigers
tntech,Tennessee Technological University,Cookeville,TN,Golden Eagles
fltech,Florida Institute of Technology,Melbourne,FL,Panthers
austinpeay,Austin Peay State University,Clarksville,TN,Governors
uscaiken,University of South Carolina Aiken,Aiken,SC,Pacers
stbonny,St. Bonaventure University,St. Bonaventure,NY,Bonnies
stfranpa,Saint Francis University,Loretto,PA,Red Flash
utchat,University of Tennessee at Chattanooga,Chattanooga,TN,Mocs
emoryga,Emory University,Atlanta,GA,Eagles
riogrande,University of Rio Grande,Rio Grande,OH,Redmen
benedctnks,Benedictine College,Atchison,KS,Ravens
shaw,Shaw University,Raleigh,NC,Bears
stthomasmn,University of St. Thomas,St. Paul,MN,Tommies
michigan,University of Michigan,Ann Arbor,MI,Wolverines
centok,University of Central Oklahoma,Edmond,OK,Bronchos
butler,Butler University,Indianapolis,IN,Bulldogs
jksonvilst,Jacksonville State University,Jacksonville,AL,Gamecocks
longwoodva,Longwood University,Farmville,VA,Lancers
morehead,Morehead State University,Morehead,KY,Eagles
silledward,Southern Illinois University Edwardsville,Edwardsville,IL,Cougars
albertsnid,Albertson College of Idaho,Caldwell,ID,Coyotes
cornellia,Cornell College,Mount Vernon,IA,Rams
emoryhenry,Emory & Henry College,Emory,VA,Wasps
edinboro,Edinboro University of Pennsylvania,Edinboro,PA,Fighting Scots
missvalley,Mississippi Valley State University,Itta Bena,MS,Delta Devils
elizbthtwn,Elizabethtown College,Elizabethtown,PA,Blue Jays
schreiner,Schreiner University,Kerrville,TX,Mountaineers
