managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
collied01m,1925,CHA,AL,1,154,79,75,5,Y
aloufe01m,1995,MON,NL,1,144,66,78,5,N
rolfere01m,1950,DET,AL,1,157,95,59,2,N
fregoji01m,1978,CAL,AL,2,117,62,55,2,N
tennefr02m,1911,BSN,NL,1,156,44,107,8,Y
penato01m,2004,KCA,AL,1,162,58,104,5,N
fregoji01m,1988,CHA,AL,1,161,71,90,5,N
hallmbi01m,1897,SLN,NL,3,50,13,36,12,Y
mauchge01m,1985,CAL,AL,1,162,90,72,2,N
ganzejo01m,1915,BRF,FL,2,35,17,18,7,N
boudrlo01m,1946,CLE,AL,1,156,68,86,6,Y
hargrmi01m,2002,BAL,AL,1,162,67,95,4,N
ansonca01m,1881,CHN,NL,1,84,56,28,1,Y
bellbu01m,2002,COL,NL,1,22,6,16,4,N
lefebji01m,1999,MIL,NL,2,49,22,27,5,N
gleaski01m,1922,CHA,AL,1,155,77,77,5,N
frankhe01m,1978,CHN,NL,1,162,79,83,3,N
paborch01m,1875,BR2,,1,42,2,40,12,Y
manueje01m,2002,CHA,AL,1,162,81,81,2,N
torrejo01m,1979,NYN,NL,1,163,63,99,6,N
morrijo01m,1889,WS8,NL,1,51,13,38,8,Y
tannech01m,1970,CHA,AL,3,16,3,13,6,N
moranpa01m,1923,CIN,NL,1,154,91,63,2,N
mcgeami01m,1880,PRO,NL,1,16,8,7,2,Y
mackco01m,1930,PHA,AL,1,154,102,52,1,N
metroch01m,1970,KCA,AL,1,52,19,33,4,N
sciosmi01m,2008,LAA,AL,1,162,100,62,1,N
vernomi01m,1961,WS2,AL,1,161,61,100,9,N
edwardo01m,1987,CLE,AL,2,75,30,45,7,N
lachere01m,1981,SEA,AL,2,85,38,47,5,N
stanked01m,1955,SLN,NL,1,36,17,19,7,N
huggimi01m,1913,SLN,NL,1,153,51,99,8,Y
sawyeed99m,1951,PHI,NL,1,154,73,81,5,N
greenda02m,1996,NYN,NL,1,131,59,72,4,N
stallge01m,1917,BSN,NL,1,158,72,81,6,N
larusto01m,1986,OAK,AL,3,79,45,34,3,N
lefebji01m,1989,SEA,AL,1,162,73,89,6,N
berrayo01m,1964,NYA,AL,1,164,99,63,1,N
dressch01m,1952,BRO,NL,1,155,96,57,1,N
slattja01m,1928,BSN,NL,1,31,11,20,7,N
kaskoed01m,1971,BOS,AL,1,162,85,77,3,N
mackco01m,1903,PHA,AL,1,137,75,60,2,N
schmegu99m,1888,CN2,AA,1,137,80,54,4,N
crandde01m,1984,SEA,AL,1,135,59,76,5,N
coxbo01m,2003,ATL,NL,1,162,101,61,1,N
chapmbe01m,1946,PHI,NL,1,155,69,85,5,Y
trebeto99m,1986,ML4,AL,2,9,6,3,6,N
lasorto01m,1993,LAN,NL,1,162,81,81,4,N
frankhe01m,1965,SFN,NL,1,163,95,67,2,N
robinfr02m,2006,WAS,NL,1,162,71,91,5,N
mccarjo99m,1936,NYA,AL,1,155,102,51,1,N
stengca01m,1950,NYA,AL,1,155,98,56,1,N
alstowa01m,1975,LAN,NL,1,162,88,74,2,N
cushmch99m,1891,ML3,AA,1,36,21,15,3,N
whitejo01m,1960,CLE,AL,2,1,1,0,4,N
fergubo01m,1881,TRN,NL,1,85,39,45,5,Y
dooinre01m,1912,PHI,NL,1,152,73,79,5,Y
spaldal01m,1877,CHN,NL,1,60,26,33,5,Y
mooreja01m,1984,OAK,AL,2,118,57,61,4,N
tannech01m,1974,CHA,AL,1,163,80,80,4,N
shettbi99m,1901,PHI,NL,1,140,83,57,2,N
leylaji99m,2009,DET,AL,1,163,86,77,2,N
lucchfr99m,1976,TEX,AL,1,162,76,86,4,N
fregoji01m,1999,TOR,AL,1,162,84,78,3,N
mckecbi01m,1928,SLN,NL,1,154,95,59,1,N
lopezal01m,1957,CHA,AL,1,155,90,64,2,N
dykesji01m,1941,CHA,AL,1,156,77,77,3,N
lasorto01m,1979,LAN,NL,1,162,79,83,3,N
mcnamjo99m,1986,BOS,AL,1,161,95,66,1,N
mckecbi01m,1924,PIT,NL,1,153,90,63,3,N
garneph01m,1998,MIL,NL,1,162,74,88,5,N
schoere01m,1971,SLN,NL,1,163,90,72,2,N
yostne01m,2008,MIL,NL,1,150,83,67,2,N
showabu99m,1998,ARI,NL,1,162,65,97,5,N
mackco01m,1947,PHA,AL,1,156,78,76,5,N
clarkfr01m,1906,PIT,NL,1,154,93,60,3,Y
robinfr02m,1977,CLE,AL,1,57,26,31,5,N
stanked01m,1966,CHA,AL,1,163,83,79,4,N
tracyji01m,2006,PIT,NL,1,162,67,95,5,N
mauchge01m,1987,CAL,AL,1,162,75,87,7,N
hanlone01m,1899,BRO,NL,1,150,101,47,1,N
showabu99m,2000,ARI,NL,1,162,85,77,3,N
grammal01m,1976,ML4,AL,1,161,66,95,6,N
dressch01m,1936,CIN,NL,1,154,74,80,5,N
coxbo01m,1994,ATL,NL,1,114,68,46,2,N
stahlja01m,1906,WS1,AL,1,151,55,95,7,Y
schefbo01m,1963,DET,AL,1,60,24,36,5,N
manuech01m,2007,PHI,NL,1,162,89,73,1,N
guilloz01m,2009,CHA,AL,1,162,79,83,3,N
shottbu01m,1932,PHI,NL,1,154,78,76,4,N
virdobi01m,1973,PIT,NL,1,136,67,69,3,N
lopesda01m,2002,MIL,NL,1,15,3,12,6,N
jonesfi01m,1918,SLA,AL,1,46,22,24,5,N
mackco01m,1904,PHA,AL,1,155,81,70,5,N
martibi02m,1982,OAK,AL,1,162,68,94,5,N
farreke01m,1957,CLE,AL,1,153,76,77,6,N
tennefr02m,1906,BSN,NL,1,152,49,102,8,Y
cravaga01m,1920,PHI,NL,1,153,62,91,8,Y
robinwi01m,1914,BRO,NL,1,154,75,79,5,N
bancrfr99m,1887,PH4,AA,1,55,26,29,5,N
higgipi01m,1958,BOS,AL,1,155,79,75,3,N
blackbu02m,2008,SDN,NL,1,162,63,99,5,N
altobjo01m,1984,BAL,AL,1,162,85,77,5,N
martibi02m,1978,NYA,AL,1,94,52,42,1,N
tannech01m,1988,ATL,NL,1,39,12,27,6,N
moranpa01m,1919,CIN,NL,1,140,96,44,1,N
weaveea99m,1985,BAL,AL,3,105,53,52,4,N
mckeoja99m,1997,CIN,NL,2,63,33,30,3,N
hurdlcl01m,2011,PIT,NL,1,162,72,90,4,N
pinielo01m,1991,CIN,NL,1,162,74,88,5,N
seleefr99m,1892,BSN,NL,1,152,102,48,1,N
byrnech99m,1885,BR3,AA,2,75,38,37,5,N
mcgrajo01m,1925,NY1,NL,1,14,10,4,2,N
gomezpr01m,1970,SDN,NL,1,162,63,99,6,N
ricede01m,1972,CAL,AL,1,155,75,80,5,N
gibsoki01m,2012,ARI,NL,1,162,81,81,3,N
seleefr99m,1897,BSN,NL,1,135,93,39,1,N
mckecbi01m,1944,CIN,NL,1,155,89,65,3,N
trembda99m,2009,BAL,AL,1,162,64,98,5,N
terrybi01m,1941,NY1,NL,1,156,74,79,5,N
martibi02m,1972,DET,AL,1,156,86,70,1,N
howarfr01m,1983,NYN,NL,2,116,52,64,6,N
barnibi01m,1891,BL3,AA,1,139,71,64,4,N
tigheja99m,1958,DET,AL,1,49,21,28,5,N
coxbo01m,1997,ATL,NL,1,162,101,61,1,N
kuheljo01m,1948,WS1,AL,1,154,56,97,7,N
jonesfi01m,1906,CHA,AL,1,154,93,58,1,Y
maddojo99m,2010,TBA,AL,1,162,96,66,1,N
tannech01m,1987,ATL,NL,1,161,69,92,5,N
mckecbi01m,1937,BSN,NL,1,152,79,73,5,N
yostne01m,2004,MIL,NL,1,161,67,94,6,N
valenbo02m,1999,NYN,NL,1,163,97,66,2,N
lucchfr99m,1971,PHI,NL,1,162,67,95,6,N
coxbo01m,1991,ATL,NL,1,162,94,68,1,N
asproke01m,1974,CLE,AL,1,162,77,85,4,N
wardjo01m,1890,BRP,PL,1,133,76,56,2,Y
hitchbi01m,1962,BAL,AL,1,162,77,85,7,N
mcgrajo01m,1901,BLA,AL,1,135,68,65,5,Y
lajoina01m,1909,CLE,AL,1,114,57,57,6,Y
hargrmi01m,2003,BAL,AL,1,163,71,91,4,N
colembo01m,1943,BSN,NL,1,46,21,25,6,N
dykesji01m,1958,CIN,NL,2,41,24,17,4,N
mackco01m,1922,PHA,AL,1,155,65,89,7,N
sisledi01m,1964,CIN,NL,2,6,3,3,2,N
reganph01m,1995,BAL,AL,1,144,71,73,3,N
burkeji01m,1920,SLA,AL,1,154,76,77,4,N
lumleha01m,1909,BRO,NL,1,155,55,98,6,Y
hutchfr01m,1957,SLN,NL,1,154,87,67,2,N
kennebo01m,1968,OAK,AL,1,163,82,80,6,N
mcraeha01m,1993,KCA,AL,1,162,84,78,3,N
harribu01m,1928,WS1,AL,1,155,75,79,4,Y
schmegu99m,1886,SL5,NL,1,126,43,79,6,N
wedgeer01m,2006,CLE,AL,1,162,78,84,4,N
garneph01m,2007,HOU,NL,1,131,58,73,6,N
grimmch01m,1956,ML1,NL,1,46,24,22,2,N
carribi02m,1915,BOS,AL,1,155,101,50,1,Y
willite01m,1969,WS2,AL,1,162,86,76,4,N
sullite01m,1883,SL4,AA,1,79,53,26,2,N
alstowa01m,1966,LAN,NL,1,162,95,67,1,N
buckeal99m,1890,CL6,AA,1,80,39,41,2,N
andersp01m,1974,CIN,NL,1,163,98,64,2,N
krolja99m,1980,SLN,NL,2,1,0,1,4,N
boonebo01m,1997,KCA,AL,1,82,36,46,5,N
schalra01m,1928,CHA,AL,1,75,32,42,5,Y
mackco01m,1913,PHA,AL,1,153,96,57,1,N
wrighha01m,1874,BS1,,1,71,52,18,1,Y
valenbo02m,1985,TEX,AL,2,129,53,76,7,N
barroed99m,1904,DET,AL,1,84,32,46,7,N
murrabi99m,1907,PHI,NL,1,149,83,64,3,N
shettbi99m,1900,PHI,NL,1,141,75,63,3,N
lefebji01m,1991,SEA,AL,1,162,83,79,5,N
pinielo01m,1998,SEA,AL,1,161,76,85,3,N
haneyfr01m,1959,ML1,NL,1,157,86,70,2,N
cranesa01m,1880,BFN,NL,1,84,24,58,7,Y
armoubi99m,1902,CLE,AL,1,137,69,67,5,N
garneph01m,2005,HOU,NL,1,163,89,73,2,N
callani01m,1904,CHA,AL,1,42,23,18,3,Y
armoubi99m,1905,DET,AL,1,154,79,74,3,N
collite99m,1995,HOU,NL,1,144,76,68,2,N
tayloza02m,1946,SLA,AL,2,31,13,17,7,N
herzowh01m,1978,KCA,AL,1,162,92,70,1,N
wedgeer01m,2012,SEA,AL,1,162,75,87,4,N
unglabo01m,1907,BOS,AL,3,29,9,20,7,Y
martibi02m,1975,TEX,AL,1,95,44,51,3,N
corrapa01m,1979,TEX,AL,1,162,83,79,3,N
williji03m,2002,HOU,NL,1,162,84,78,2,N
larusto01m,1979,CHA,AL,2,54,27,27,5,N
howsedi01m,1978,NYA,AL,2,1,0,1,1,N
terrybi01m,1936,NY1,NL,1,154,92,62,1,Y
aloufe01m,2005,SFN,NL,1,162,75,87,3,N
lemonbo01m,1981,NYA,AL,2,25,11,14,6,N
mccarjo99m,1926,CHN,NL,1,155,82,72,4,N
mauchge01m,1964,PHI,NL,1,162,92,70,2,N
robinwi01m,1931,BRO,NL,1,153,79,73,4,N
