yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1985,AL,BAL,BAL,E,4,161,81,83,78,N,,N,N,818,5517,1451,234,22,214,604,908,69,43,,,764,694,4,32,6,33,4281,1480,160,568,793,115,168,0,Baltimore Orioles,Memorial Stadium,2132387,97,97,BAL,BAL,BAL
1985,AL,BOS,BOS,E,5,163,81,81,81,N,,N,N,800,5720,1615,292,31,162,562,816,66,27,,,720,659,4,35,8,29,4383,1487,130,540,913,145,161,0,Boston Red Sox,Fenway Park II,1786633,104,104,BOS,BOS,BOS
1985,AL,CAL,ANA,W,2,162,79,90,72,N,,N,N,732,5442,1364,215,31,153,648,902,106,51,,,703,633,3,22,8,41,4371,1453,171,514,767,112,202,0,California Angels,Anaheim Stadium,2567427,100,100,CAL,CAL,CAL
1985,AL,CHA,CHW,W,3,163,81,85,77,N,,N,N,736,5470,1386,247,37,146,471,843,108,56,,,720,656,4,20,8,39,4353,1411,161,569,1023,111,152,0,Chicago White Sox,Comiskey Park,1669888,104,104,CHW,CHA,CHA
1985,AL,CLE,CLE,E,7,162,81,60,102,N,,N,N,729,5527,1465,254,31,116,492,817,132,72,,,861,775,4,24,7,28,4263,1556,170,547,702,141,161,0,Cleveland Indians,Cleveland Stadium,655181,99,100,CLE,CLE,CLE
1985,AL,DET,DET,E,3,161,81,84,77,N,,N,N,729,5575,1413,254,45,202,526,926,75,41,,,688,612,3,31,11,40,4368,1313,141,556,943,141,152,0,Detroit Tigers,Tiger Stadium,2286609,100,98,DET,DET,DET
1985,AL,KCA,KCR,W,1,162,82,91,71,Y,,Y,Y,687,5500,1384,261,49,154,473,840,128,48,,,639,567,3,27,11,41,4383,1433,103,463,846,127,160,0,Kansas City Royals,Royals Stadium,2162717,100,100,KCR,KCA,KCA
1985,AL,MIN,MIN,W,4,162,84,77,85,N,,N,N,705,5509,1453,282,41,141,502,779,68,44,,,782,710,4,41,7,34,4278,1468,164,462,767,120,139,0,Minnesota Twins,Hubert H Humphrey Metrodome,1651814,105,105,MIN,MIN,MIN
1985,AL,ML4,MIL,E,6,161,80,71,90,N,,N,N,690,5568,1467,250,44,101,462,746,69,34,,,802,701,4,34,5,37,4311,1510,175,499,777,142,153,0,Milwaukee Brewers,County Stadium,1360265,100,101,MIL,MIL,MIL
1985,AL,NYA,NYY,E,2,161,80,97,64,N,,N,N,839,5458,1458,272,31,176,620,771,155,53,,,660,590,3,25,9,49,4320,1373,157,518,907,123,172,0,New York Yankees,Yankee Stadium II,2214587,98,97,NYY,NYA,NYA
1985,AL,OAK,OAK,W,4,162,79,77,85,N,,N,N,757,5581,1475,230,34,155,508,861,117,58,,,787,712,4,10,6,41,4359,1451,172,607,785,140,137,0,Oakland Athletics,Oakland Coliseum,1334599,92,92,OAK,OAK,OAK
1985,AL,SEA,SEA,W,6,162,83,74,88,N,,N,N,719,5521,1410,277,38,171,564,942,94,35,,,818,745,4,23,8,30,4296,1456,154,637,868,122,156,0,Seattle Mariners,Kingdome,1128696,100,101,SEA,SEA,SEA
1985,AL,TEX,TEX,W,7,161,80,62,99,N,,N,N,617,5361,1359,213,41,129,530,819,130,76,,,785,715,4,18,5,33,4233,1479,173,501,863,119,145,0,Texas Rangers,Arlington Stadium,1112497,101,102,TEX,TEX,TEX
1985,AL,TOR,TOR,E,1,161,80,99,62,Y,,N,N,759,5508,1482,281,53,158,503,807,144,77,,,588,533,3,18,9,47,4344,1312,147,484,823,125,164,0,Toronto Blue Jays,Exhibition Stadium,2468925,104,103,TOR,TOR,TOR
