stor_id,ord_num,ord_date,qty,payterms,title_id
8042,П723,1993-03-11 00:00:00,25,Нет 30,BU1111
7067,P2121,1992-06-15 00:00:00,40,Нет 30,TC3218
7896,ТQ456,1993-12-12 00:00:00,10,Нет 60,MC2222
7067,Д4482,14.09.1994 г.,10,Нет 60,PS2091
7896,QQ2299,1993-10-28 00:00:00,15,Нет 60,BU7832
7131,П3087а,1993-05-29 00:00:00,20,Нет 60,PS1372
7896,X999,1993-02-21 00:00:00,35,Счёт-фактура,BU2075
8042,qa879.1,1993-05-22 00:00:00,30,Нет 30,PC1035
6380,722-а,1994-09-13 00:00:00,3,Нет 60,PS2091
8042,423ЛЛ930,14.09.1994 г.,10,Счёт-фактура,BU1032
7131,П3087а,1993-05-29 00:00:00,25,Нет 60,PS7777
7066,QА7442.3,1994-09-13 00:00:00,75,Счёт-фактура,PS2091
7066,А2976,1993-05-24 00:00:00,50,Нет 30,PC8888
6380,6871,14.09.1994 г.,5,Нет 60,BU1032
8042,423LL922,14.09.1994 г.,15,Счёт-фактура,MC3021
7131,П3087а,1993-05-29 00:00:00,25,Нет 60,PS2106
7131,N914-01-4,14.09.1994 г.,25,Нет 30,MC3021
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC4203
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC7777
7131,N91-4008,14.09.1994 г.,20,Нет 30,PS2091
7131,П3087а,1993-05-29 00:00:00,15,Нет 60,PS3333
