supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,49 Гилберт Сент.,Лондон,,EC1 4SD,Соединенное Королевство,(171) 555-2222,,
2,Новый Орлеан Каян Счастливый,Шелли Бёрк,Администратор Порядка,P.O. Вставка 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTM#
3,Дом бабушки Келли,Регина Мёрфи,Представитель по продажам,707 Oxford Rd.,Энн Арбор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токийские торговые компании,Йоши Нагасе,Управляющий маркетингом,9-8 Секимай Мусашино-ши,Токио,,100,Япония,(03) 3555-5011,,
5,Куператива де Кесас 'Las Cabras',Антонио дель Валье Сааведра,Администратор по вопросам экспорта,Зовите дель Розаль 4,Овьедо,Астурия,33007,Испания,(98) 598 76 54,,
6,Маюми,Майуми Оно,Представитель по вопросам маркетинга,92 Сетсуко Чуо-ку,Осака,,545,Япония,(06) 431-7877,,Mayumi's (в сети World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,"&quot; Павлова, лтд. &quot;",Йен Девлинг,Управляющий маркетингом,74 Роуз Сент-Муни Пондс,Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализация &quot; Бисквитс &quot; , Лтд.",Питер Уилсон,Представитель по продажам,29 Королевский путь,Манчестер,,М14 ГСД,Соединенное Королевство,(161) 555-4448,,
9,PB Knckebrd AB,Ларс Питерсон,Агент по продаже,Калогагатан 13,Гтеборг,,S-345 67,Франция,031-987 65 43,031-987 65 91,
10,Организация &lt; &lt; Американцы &gt; &gt;,Карлос Диас,Управляющий маркетингом,Организация &lt; &lt; Американцы 12.890 &gt; &gt;,"Итак, Пауло",,5442,Бразилия,11) 555 4640,,
11,Heli Swaren GmbH & Co. KG,Петра Винклер,Менеджер по продажам,Тигартенстра 5,Берлин,,10785,Германия,(010) 9984510,,
12,&lt; &lt; Плутцер Лебенсмиттелгромркте АГ &gt; &gt;,Мартин Бейн,Международное маркетинговое предприятие &lt; &lt; Мгр. &gt; &gt;,Бондале 51,Франкфурт,,60439,Германия,(069) 992755,,Плутцер (в сети World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#
13,Nord-Ost-Fisch Handelgesellschaft mbH,Свен Петерсен,Координатор по вопросам иностранных рынков,Фромреддер 112a,Куксхейвен,,27478,Германия,(04721) 8713,(04721) 8714,
14,Formaggi Fortini s.r.l.,Элио Росси,Представитель по продажам,"Виале Данте, 75 лет",Рейвенна,,48100,Италия,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#
15,Норске Майер,Беат Вилид,Управляющий маркетингом,Hotlevegen 5,Сандвика,,1320,Норвегия,(0)2-953010,,
16,Бигфутские пехотинцы,Шерил Сайлор,Региональный счет,"3400 - 8-я авеню, номер 210",Наклон,ИЛИ,97101,США,(503) 555-9931,,
17,Svensk Sjfda AB,Майкл Бьрн,Представитель по продажам,Броваллавиген 231,Стокгольм,,S-123 45,Франция,08-123 45 67,,
18,Ох уж эти сладости.,Гильна Нодье,Менеджер по продажам,"203, &quot; Рю де франс-буржуа &quot;",Париж,,75004,Франция,1) 03.83.00.68,1) 03.83.00.62,
19,Нью-Англия Кеннеди Морепродуктов,Торговец &lt; &lt; Робб &gt; &gt;,Агент оптового счета,Обработка заказов. 2100 Пол Ревир Блвд.,Бостон,МЭТ,02134,США,(617) 555-3267,(617) 555-3389,
20,Торговля &quot; Лека &quot;,Чандра Лека,Владелец,"471 Serangoon Loop, Suite #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингбисилд,Нильс Петерсен,Менеджер по продажам,Лингбисилд Фискабаккен 10,Лингби,,2800,Дания,43844108,43844115,
22,Заансе Снупфабрик,Дирк Лухте,Бухгалтер,Verkoop Rijnweg 22,Заандам,,9999 ZZ,Нидерланды,(12345) 1212,(12345) 1210,
23,Каркки Ой,Анна Хейкконен,Менеджер продукта,Валтакату 12,Лаппенранта,,53120,Германия,(953) 10956,,
24,"Добрый день, приятель.",Венди Маккензи,Представитель по продажам,170 Холм принца Эдуарда Парада Хантера,Сидней,НЮУ,2042,Австралия,(02) 555-5914,(02) 555-4873,G'day Maate (в сети World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymath.htm#
25,Мама Мэйсон,Жан-Гай Лаузон,Управляющий маркетингом,2960 Рю Сент-Лоран,Монреаль,Qubec,H1J 1C3,Канада,(514) 555-9022,,
26,Паста Баттини с.р.л.,Джованни Джудичи,Администратор Порядка,"Виа деи Гелсомини, 153 года",Салерно,,84100,Италия,(089) 6547665,(089) 6547667,
27,Эскадроны &lt; &lt; Ново &gt; &gt;,Мария Деламаре,Менеджер по продажам,"22, руэ Х. Войрон",Монтсо,,71300,Франция,85.57.00.07,,
28,Птица Gai,Элиана Ноз,Представитель по продажам,"Батарея В 3, руина Альпе",Энниси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты,Шанталь Гуле,Бухгалтер,148 rue Chasseur,Сте-Хясин,Qubec,J2S 7S8,Канада,(514) 555-2955,(514) 555-2921,
