country1,country2,length
GE,R,723.0
IND,MYA,1463.0
GUY,YV,743.0
F,MC,4.4
AND,E,65.0
RCA,ZRE,1577.0
B,D,167.0
TAD,UZB,1161.0
BHT,TJ,470.0
MNE,SRB,124.0
BY,PL,605.0
NEP,TJ,1236.0
CI,LB,716.0
CAM,RCA,797.0
BIH,KOS,225.0
MOC,SD,105.0
SA,UAE,457.0
KOS,SRB,352.0
BOL,PY,750.0
ANG,RCB,201.0
MOC,RSA,491.0
ARM,IR,35.0
EAT,MW,475.0
BOL,RA,832.0
ANG,Z,1110.0
RA,RCH,5150.0
CZ,D,646.0
HCA,NIC,922.0
GR,TR,206.0
BOL,PE,900.0
G,GQ,350.0
IR,PK,909.0
BEN,WAN,773.0
IL,RL,79.0
MOC,MW,1569.0
ET,GAZA,11.0
MOC,Z,419.0
CZ,SK,215.0
ET,SUD,1273.0
BR,YV,2200.0
NOK,ROK,238.0
ET,LAR,1150.0
Z,ZW,797.0
EAU,SUD,435.0
RL,SYR,375.0
MNG,TJ,4673.0
N,R,167.0
BHT,IND,605.0
BG,MK,148.0
F,I,488.0
BF,RMM,1000.0
LAO,THA,1754.0
BEN,RN,266.0
IL,SYR,76.0
DZ,RN,956.0
BOL,RCH,861.0
AZ,TR,9.0
ANG,ZRE,2511.0
D,F,451.0
D,L,138.0
RMM,RN,821.0
HR,MNE,25.0
AL,MK,151.0
ETH,SP,1626.0
BR,GUY,1119.0
BIH,HR,932.0
RCA,TCH,1197.0
MD,UA,939.0
MYA,THA,1800.0
CO,YV,2050.0
MW,Z,837.0
LV,R,217.0
R,TJ,3645.0
CDN,USA,8893.0
SN,WAG,740.0
EAU,ZRE,765.0
CAM,GQ,189.0
SUD,ZRE,628.0
I,V,3.2
NOK,R,19.0
BY,LV,141.0
LB,RG,563.0
BG,RO,608.0
TJ,VN,1281.0
