sea1,sea2
South China Sea,Sulawesi Sea
Atlantic Ocean,Norwegian Sea
Caribbean Sea,Gulf of Mexico
Gulf of Aden,Indian Ocean
Arctic Ocean,Atlantic Ocean
Pacific Ocean,Sunda Sea
Baltic Sea,North Sea
Barents Sea,Sibirian Sea
North Sea,Skagerrak
East China Sea,Sea of Japan
Pacific Ocean,Sulawesi Sea
Andaman Sea,Malakka Strait
Black Sea,Sea of Azov
Atlantic Ocean,Caribbean Sea
Pacific Ocean,South China Sea
Indian Ocean,Pacific Ocean
Sea of Japan,Yellow Sea
Gulf of Aden,Red Sea
East China Sea,Yellow Sea
Black Sea,Mediterranean Sea
East China Sea,Pacific Ocean
Arabian Sea,Gulf of Aden
Pacific Ocean,Sea of Okhotsk
Malakka Strait,South China Sea
Atlantic Ocean,Gulf of Mexico
Gulf of Bengal,Pacific Ocean
Arabian Sea,Indian Ocean
Sulawesi Sea,Sunda Sea
Atlantic Ocean,The Channel
East China Sea,South China Sea
Arabian Sea,Gulf of Oman
Arctic Ocean,Norwegian Sea
Arctic Ocean,Sibirian Sea
North Sea,The Channel
Gulf of Oman,Persian Gulf
Pacific Ocean,Sea of Japan
Gulf of Bengal,Sunda Sea
Atlantic Ocean,North Sea
North Sea,Norwegian Sea
Indian Ocean,Sunda Sea
Andaman Sea,Gulf of Bengal
Arctic Ocean,Bering Sea
Arctic Ocean,Barents Sea
Barents Sea,Norwegian Sea
Atlantic Ocean,Mediterranean Sea
South China Sea,Sunda Sea
Atlantic Ocean,Indian Ocean
Atlantic Ocean,Irish Sea
Andaman Sea,Indian Ocean
Atlantic Ocean,Pacific Ocean
Sea of Japan,Sea of Okhotsk
Bering Sea,Pacific Ocean
Gulf of Oman,Indian Ocean
Kattegat,Skagerrak
