name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Naryn,Syrdarja,,,807.0,78.0,42.0,Tien Shan,,71.7,41.0
Limpopo,,,Indian Ocean,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Bahr el-Ghasal,White Nile,,,716.0,,,,,30.43,9.5
Amazonas,,,Atlantic Ocean,6448.0,-71.7,-15.5,Andes,5170.0,-50.0,0.0
Weser,,,North Sea,440.0,9.65,51.4,,116.5,8.5,53.5
Bomu,Ubangi,,,280.0,27.0,5.0,,,22.5,4.0
March,Donau,,,358.0,16.85,50.21,Sudety Mountains,1380.0,16.98,48.17
Murrumbidgee River,Murray River,Lake Burley Griffin,,1579.0,148.5,-37.0,Snowy Mountains,,143.22,-34.73
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
Mosel,Rhein,,,544.0,6.89,47.89,Vogesen,715.0,7.61,50.37
Glomma,,,Skagerrak,604.0,12.0,62.6,,860.0,10.95,59.2
Irawaddy,,,Andaman Sea,2170.0,98.0,29.0,,4300.0,96.0,17.0
Schilka,Amur,,,560.0,111.0,49.8,,,121.48,53.33
Rio Desaguadero,,Poopo,,383.0,-69.0,-16.55,Andes,3812.0,-67.1,-18.55
Drau,Donau,,,749.0,12.26,46.73,Alps,1450.0,18.93,45.54
Busira,Ruki,,,830.0,20.8,-0.2,,,19.0,-0.3
Vaal,Oranje,,,1251.0,30.0,-26.0,Drakensberge,,24.0,-29.0
Vaesterdalaelv,Dalaelv,,,320.0,12.6,61.8,,,15.1,60.7
Adda,Po,Lago di Como,,313.0,10.3,46.55,Alps,2235.0,9.88,45.13
Klaraelv,,Vaenern,,460.0,11.9,62.2,,662.0,13.5,59.4
Northern Dwina,,,Barents Sea,740.0,60.9,46.3,,180.0,40.5333,64.55
Werra,Weser,,,292.0,10.96,50.5,Thueringer Wald,797.0,9.65,51.4
Uruguay,,,Atlantic Ocean,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Joekulsa a Fjoellum,,,Norwegian Sea,206.0,-16.5,64.8,,,-16.6,66.2
Mekong,,,South China Sea,4350.0,94.0,32.5,,5200.0,107.0,9.0
Theiss,Donau,,,1308.0,24.25,48.1,Karpaten,460.0,20.3,45.05
Paatsjoki,,,Barents Sea,145.0,28.3,68.95,,119.0,30.05,60.75
Guadalquivir,,,Atlantic Ocean,657.0,-3.0,37.8,Cordillera Betica,1400.0,-6.35,36.8
Colorado,,Lake Powell,Pacific Ocean,2330.0,-105.7,40.35,,2700.0,-114.8,31.81
Swir,,Ozero Ladoga,,224.0,35.49,60.99,,33.0,32.79,60.51
Weichsel,,,Baltic Sea,1047.0,19.01,49.61,Beskides,1100.0,18.95,54.36
Dnepr,,,Black Sea,2201.0,34.0,55.5,Waldai Hills,220.0,32.252,46.5257
Sobat,White Nile,,,740.0,,,,,31.65,9.63
Cuilo,Kwa,,,970.0,14.7,-11.3,,,17.4,3.3
Leine,Aller,,,281.0,10.32,51.39,,340.0,9.59,52.72
Rio Mamore,Rio Madeira,,,1931.0,-66.5,-18.0,Andes,,-65.4,-10.4
Victoria Nile,,Lake Sese Seko/Albertsee,,,33.0,-1.0,East African Rift,1134.0,30.9,1.7
Breg,Donau,,,45.9,8.16,48.1,Black Forest,1078.0,8.52,47.95
Arkansas,Mississippi,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Connecticut River,,,Atlantic Ocean,655.0,-71.21,45.25,,,-72.33,41.27
Salzach,Inn,,,225.0,12.11,47.3,Alps,2300.0,12.92,48.21
Thjorsa,,,Atlantic Ocean,230.0,-18.0,65.0,,,-20.8,63.9
Allegheny River,Ohio River,,,523.0,-77.9,41.9,Appalachian Mountains,759.0,-80.0,40.42
Ammer,Isar,Ammersee,,168.0,11.05,47.57,Alps,850.0,11.96,48.5
Tajo,,,Atlantic Ocean,1007.0,-1.7,40.32,Cordillera Iberica,1.58,-9.3,38.7
Orinoco,,,Atlantic Ocean,2140.0,-63.5,2.0,Sierra Parima,,-62.0,9.0
Blue Nile,Nile,,,1783.0,37.3,12.0,Ethiopian Highlands,1830.0,32.5,15.6
Pruth,Donau,,,953.0,24.55,48.16,Karpaten,,28.21,45.47
