sea,country,province
Atlantic Ocean,C,La Habana
Indian Ocean,AUS,New South Wales
Atlantic Ocean,C,Las Tunas
Pacific Ocean,PE,Tacna
Indian Ocean,RSA,Western Cape
Atlantic Ocean,USA,Florida
Andaman Sea,MYA,Yangon
Mediterranean Sea,GBZ,Gibraltar
Pacific Ocean,RCH,Chile
Irish Sea,IRL,Ireland
Mediterranean Sea,MC,Monaco
Black Sea,TR,Kastamonu
Caribbean Sea,YV,Nueva Esparta
Atlantic Ocean,AG,Antigua and Barbuda
Black Sea,UA,Khersonska
Malakka Strait,MAL,Perlis
Persian Gulf,UAE,Ash Shariqah
Atlantic Ocean,RA,Rio Negro
Pacific Ocean,NORF,Norfolk Island
Pacific Ocean,R,Khabarovskiy kray
The Channel,F,Haute Normandie
Sibirian Sea,R,Arkhangelskaya oblast
Gulf of Oman,OM,Oman
North Sea,GB,Greater London
Indian Ocean,SP,Somalia
East China Sea,TJ,Fujian
Baltic Sea,S,Sodermanland
Atlantic Ocean,SN,Ziguinchor
Atlantic Ocean,SVAX,Svalbard
Sea of Azov,UA,Donetska
Atlantic Ocean,SN,Dakar
Malakka Strait,MAL,Melaka
Gulf of Oman,PK,Pakistan
Sibirian Sea,R,Rep. of Sakha
Pacific Ocean,HCA,Valle
Atlantic Ocean,WAN,Nigeria
North Sea,GB,Suffolk
Black Sea,TR,Samsun
Norwegian Sea,IS,Iceland
North Sea,GB,Highland
East China Sea,J,Kumamoto
Indian Ocean,EAT,Tanga
Mediterranean Sea,ET,Matruh
Mediterranean Sea,IL,Central
Indian Ocean,MOC,Gaza
Pacific Ocean,J,Wakayama
North Sea,GB,Shetland
Pacific Ocean,R,Kamchatskaya oblast
Pacific Ocean,CDN,British Columbia
Pacific Ocean,R,Magadanskaya oblast
Bering Sea,R,Kamchatskaya oblast
Pacific Ocean,MH,Marshall Islands
Caribbean Sea,HCA,Atlantida
Sea of Japan,J,Fukuoka
North Sea,F,Nord Pas de Calais
Persian Gulf,IR,Khuzestan
East China Sea,J,Okinawa
Atlantic Ocean,BDS,Barbados
Pacific Ocean,J,Hokkaido
East China Sea,TJ,Zhejiang
Arabian Sea,IND,Tamil Nadu
Gulf of Mexico,USA,Mississippi
Arabian Sea,OM,Oman
Baltic Sea,S,Gotland
Caribbean Sea,CO,Antioquia
Mediterranean Sea,ET,Bur Said (munic.)
Mediterranean Sea,IL,South
Arabian Sea,PK,Pakistan
Kattegat,DK,Denmark
Atlantic Ocean,FARX,Faroe Islands
North Sea,GB,Grampian
Atlantic Ocean,FALK,Falkland Islands
Baltic Sea,S,Kristianstad
Pacific Ocean,J,Tokushima
Atlantic Ocean,BR,Rio Grande do Sul
Black Sea,RO,Constanta
Mediterranean Sea,GR,Anatoliki Makedhonia kai Thraki
South China Sea,SGP,Singapore
Sibirian Sea,R,Tyumenskaya oblast
North Sea,D,Niedersachsen
Arabian Sea,IND,Lakshadweep Is.
Atlantic Ocean,WL,Saint Lucia
Atlantic Ocean,CDN,Manitoba
Atlantic Ocean,HELX,Saint Helena
Pacific Ocean,PE,Piura
Pacific Ocean,J,Mie
Barents Sea,R,Rep. of Karelia
