country,gdp,agriculture,service,industry,inflation
A,152000.0,2.0,34.0,64.0,2.3
AFG,12800.0,65.0,15.0,20.0,
AG,425.0,3.5,19.3,77.2,3.5
AL,4100.0,55.0,,,16.0
AND,1000.0,,,,
ANG,7400.0,12.0,56.0,32.0,20.0
ARM,9100.0,57.0,36.0,7.0,32.2
AUS,405400.0,3.1,27.7,69.2,4.75
AZ,11500.0,,,,85.0
B,197000.0,2.0,28.0,70.0,1.6
BD,144500.0,,,,4.5
BDS,2500.0,6.4,39.3,54.3,1.7
BEN,7600.0,36.8,12.6,50.6,55.0
BF,7400.0,32.0,24.0,44.0,5.0
BG,43200.0,12.0,36.0,52.0,35.0
BHT,1300.0,,,,8.6
BI,4000.0,54.1,16.8,29.1,10.0
BIH,1000.0,,,,
BOL,20000.0,,,,12.0
BR,976800.0,16.0,25.0,59.0,23.0
BRN,7300.0,,,,3.0
BRU,4600.0,3.0,42.0,55.0,2.4
BS,4800.0,3.0,35.0,62.0,1.5
BY,49200.0,21.0,49.0,30.0,244.0
BZ,575.0,30.0,,,2.3
C,14700.0,7.0,30.0,63.0,
CAM,16500.0,29.0,24.0,47.0,48.0
CDN,694000.0,2.0,26.0,72.0,2.4
CH,158500.0,3.0,33.5,63.5,1.8
CI,21900.0,37.0,24.0,39.0,10.0
CL,65600.0,24.0,24.0,52.0,8.4
CO,192500.0,21.5,29.0,49.5,19.5
COM,370.0,,,,15.0
CR,18400.0,,,,22.5
CV,440.0,13.0,17.0,70.0,5.0
CY,7800.0,5.6,24.9,69.5,
CZ,106200.0,5.8,40.7,53.5,9.1
D,1452200.0,1.0,34.2,64.8,
DJI,500.0,3.0,21.0,76.0,6.0
DK,112800.0,3.0,23.5,73.5,2.4
DOM,26800.0,13.0,32.0,55.0,9.5
DZ,108700.0,12.0,50.0,38.0,28.0
E,565000.0,3.6,33.6,62.8,4.3
EAK,36800.0,27.0,19.0,54.0,1.7
EAT,23100.0,58.0,8.0,34.0,25.0
EAU,16800.0,55.0,12.0,33.0,6.1
EC,44600.0,13.0,39.0,48.0,25.0
ER,2000.0,,,,10.0
ES,11400.0,,,,11.4
ET,171000.0,,,,9.4
ETH,24200.0,48.0,15.0,37.0,10.0
EW,12300.0,10.0,37.0,53.0,29.0
F,1173000.0,2.4,26.5,71.1,1.7
FJI,4700.0,22.0,17.0,61.0,2.0
FL,630.0,,,,5.4
FSM,205.0,,,,4.0
G,6000.0,8.2,44.7,47.1,15.0
GAZA,1700.0,,,,5.7
GB,1138400.0,1.7,27.7,70.6,3.1
GCA,36700.0,25.0,20.0,55.0,9.0
GE,6200.0,70.4,10.2,19.4,2.2
GH,25100.0,47.0,16.0,37.0,69.0
GNB,1000.0,44.0,8.0,48.0,15.0
GQ,325.0,47.0,26.0,27.0,41.0
GR,101700.0,11.8,22.2,66.0,8.1
GUY,1600.0,26.5,27.8,45.7,8.1
