island,country,province
Honshu,J,Ishikawa
Borneo,MAL,Sarawak
Honshu,J,Yamaguchi
Batam,RI,Indonesia
St. Martin,,Netherlands Antilles
Wangerooge,D,Niedersachsen
Borneo,RI,Indonesia
Honshu,J,Tochigi
Kyushu,J,Oita
Leyte,RP,Philippines
Basse-Terre,GUAD,Guadeloupe
Islay,GB,Strathclyde
Saint Pierre,SPMI,Saint Pierre and Miquelon
Santa Rosa Island,USA,California
Honshu,J,Osaka
Anguilla,AXA,Anguilla
Ikaria,GR,Voreion Aiyaion
Great Britain,GB,Central
Prince of Wales Island,CDN,Northwest Territories
Great Britain,GB,West Yorkshire
Great Britain,GB,Norfolk
Honshu,J,Aomori
Sachalin,R,Sakhalinskaya oblast
Great Britain,GB,Rhondda Cynon Taff
Great Britain,GB,Strathclyde
Ceram,RI,Indonesia
Great Britain,GB,Humberside
Great Britain,GB,Greater Manchester
Terceira,P,Azores
Sokotra,YE,Yemen
Corse,F,Corse
Great Britain,GB,Lincolnshire
Cuba,C,Ciudad de la Habana
Gheschm,IR,Hormozgan
Langeoog,D,Niedersachsen
Grande Terre,NCA,New Caledonia
Lolland,DK,Denmark
Westray,GB,Orkneys
Great Britain,GB,Berkshire
Honshu,J,Hyogo
