name,area,depth,altitude,type,river,longitude,latitude
Vaettern,1900.0,119.0,88.0,,,14.5,58.3
Lago di Garda ,370.0,346.0,65.0,,Mincio,10.65,45.6
Bodensee,538.5,254.0,395.0,,Rhein,9.4,47.6
Lake Bangweulu,10000.0,4.0,1140.0,,Luapula,29.7,-11.2
Ozero Pskovskoje,3555.0,14.6,30.0,,Narva,27.49,58.68
Lago de Sobradinho,4214.0,,,artificial,Rio Sao Francisco,-40.7,-9.46
Lake Kivu,2650.0,450.0,1462.0,,Ruzizi,29.2,-1.8
Lake Mai Ndombe,8200.0,10.0,300.0,,Fimi,18.3,-2.05
Chad Lake,23000.0,7.0,250.0,salt,,14.0,13.2
Lac Assal,54.0,,-155.0,salt,,42.4,11.65
Lake Nyos,,208.0,,caldera,,10.3,6.44
Atlin Lake,798.0,283.0,668.0,,Yukon River,-133.75,59.5
Nam Co,1855.0,125.0,4718.0,salt,,90.55,30.7
Brienzersee,29.8,260.0,564.0,,Aare,7.97,46.73
Lake Kainji,1243.0,,,artificial,Niger,4.5,10.4
Lake Titicaca,8372.0,281.0,3812.0,,Rio Desaguadero,-69.33,-15.84
Lake Van,3740.0,457.0,1719.0,salt,,42.9,38.6
Lake Malawi,29600.0,704.0,474.0,,Chire,34.0,-12.0
Great Bear Lake,31792.0,446.0,156.0,,,-120.6,65.9
Lake Winnipeg,24420.0,18.0,218.0,,Nelson River,-97.97,52.77
Laacher Maar,3.3,53.0,275.0,caldera,,7.3,50.4
Lake Hume,202.0,,,,Murray River,147.0,-36.1
Lake Oahe,1453.0,,,artificial,Missouri,-100.4,44.45
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Lago di Bolsena,114.0,151.0,335.0,caldera,,11.9,42.6
Lake Nicaragua,8157.0,45.0,31.0,,Rio San Juan,-85.35,11.6
Arresoe,40.2,5.6,,,,12.1,56.0
Lake Kariba,5580.0,32.0,,artificial,Zambezi,28.75,-16.5
Lake Superior,82103.0,405.0,184.0,,,-87.37,47.7675
Lake Ontario,18960.0,244.0,75.0,,Saint Lawrence River,-77.96,43.695
Loch Lomond,71.0,190.0,7.9,,,-4.59,56.08
Lake Huron,59600.0,229.0,176.0,,Detroit River,-82.44,44.795
Licancabur Crater Lake,0.005,,5600.0,crater,,-67.9,-22.8
Lake Tanganjika,32893.0,1470.0,782.0,,Lukuga,30.0,-6.0
Oulujaervi,928.0,35.0,123.0,,Oulujoki,27.25,64.3
Makarikari Salt Pan,12000.0,0.0,,salt,,21.0,-25.5
Maelaren,1140.0,66.0,0.7,,,17.1,59.4
Saimaa,4370.0,85.0,76.0,,Vuoksi,28.0,61.3
Ozero Aral,17160.0,35.0,31.0,salt,,59.62,44.81
Chickamauga Lake,147.0,,,,Tennessee,-85.0,35.4
Lake Winnipesaukee,186.0,55.0,153.0,,Merrimack River,-71.3,43.6
Salar de Uyuni,10582.0,0.0,3650.0,salt,,-67.5,-20.1
Ammersee,46.6,81.1,533.0,,Ammer,11.6,48.0
Lago de Chapala,1685.0,12.0,1520.0,,Rio Lerma,-103.05,20.22
Storuman,173.0,139.0,419.0,,Umeaelv,16.88,65.22
Issyk-Kul,6236.0,668.0,1609.0,salt,,77.2,42.4
Great Salt Lake,4400.0,10.0,1279.0,,,-112.6,41.15
Great Slave Lake,28568.0,614.0,156.0,,Mackenzie River,-113.9,61.7
Lake Mweru,5120.0,27.0,931.0,,Luvua,28.7,-9.0
Zurichsee,88.0,136.0,406.0,,Limmat,8.23631,47.5018
Rutanzige/Eduardsee,2325.0,112.0,920.0,,Semliki,29.6,-0.35
Paeijaenne,1118.0,95.0,78.0,,Kymijoki,25.4,61.5
Caspian Sea,386400.0,995.0,-28.0,salt,,51.0,41.0
Daryacheh ye Namak,1800.0,1.0,790.0,salt,,51.88,34.5
Lake Tahoe,497.0,501.0,1900.0,,Truckee River,-120.0,39.0
Lake Volta,8502.0,130.0,,artificial,Volta,0.5,6.3
Loch Ness,56.0,226.0,16.0,,,-4.44,57.31
