abbreviation,name,city,country,province,established
ACC,Arab Cooperation Council,,,,1989-02-16
UNFICYP,United Nations Force in Cyprus,New York,USA,New York,1964-03-04
IAEA,International Atomic Energy Agency,Vienna,A,Vienna,1956-10-26
AfDB,African Development Bank,Abidjan,CI,Cote dIvoire,1963-08-04
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
CDB,Caribbean Development Bank,,,,1969-10-18
CACM,Central American Common Market,Guatemala City,GCA,Guatemala,1960-12-13
ECA,Economic Commission for Africa,Addis Ababa,ETH,Ethiopia,1958-04-29
UNOMIG,United Nations Observer Mission in Georgia,New York,USA,New York,
UNMOT,United Nations Mission of Observers in Tajikistan,New York,USA,New York,1994-12-16
WFTU,World Federation of Trade Unions,Prague,CZ,Praha,1945-10-03
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
IDB,Islamic Development Bank,Jeddah,SA,Saudi Arabia,1973-12-15
OSCE,Organization for Security and Cooperation in Europe,Vienna,A,Vienna,1995-01-01
EADB,East African Development Bank,Kampala,EAU,Uganda,1967-06-06
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
UNAVEM III,United Nations Angola Verification Mission,New York,USA,New York,1988-12-20
Mekong Group,ASEAN-Mekong Basin Development Group,,,,1995-12-01
ILO,International Labor Organization,Geneva,CH,GE,1919-04-11
SACU,Southern African Customs Union,Pretoria,RSA,Gauteng,1969-12-11
RG,Rio Group,,,,1988-01-01
UPU,Universal Postal Union,Bern,CH,BE,1874-10-09
UNIKOM,United Nations Iraq-Kuwait Observation Mission,New York,USA,New York,1991-04-09
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
ECLAC,Economic Commission for Latin America and the Caribbean,Santiago,RCH,Chile,1948-02-25
EFTA,European Free Trade Association,Geneva,CH,GE,1960-01-04
ZC,Zangger Committee,,,,
IDA,International Development Association,Washington,USA,Distr. Columbia,1960-01-26
IMF,International Monetary Fund,Washington,USA,Distr. Columbia,1944-07-22
NAM,Nonaligned Movement,Jakarta,RI,Indonesia,1961-09-01
CP,Colombo Plan,Colombo,CL,Sri Lanka,1951-07-01
ESCWA,Economic and Social Commission for Western Asia,Amman,JOR,Jordan,1973-08-09
MINURSO,United Nations Mission for the Referendum in Western Sahara,New York,USA,New York,1991-04-29
WCL,World Confederation of Labor,Brussels,B,Brabant,1920-06-19
LAIA,Latin American Integration Association,Montevideo,ROU,Uruguay,1980-08-12
NSG,Nuclear Suppliers Group,Vienna,A,Vienna,
UNPROFOR,United Nations Protection Force,New York,USA,New York,1992-02-28
G-19,Group of 19,,,,1975-10-01
PFP,Partnership for Peace,,,,1994-01-10
UNDOF,United Nations Disengagement Observer Force,Damascus,SYR,Syria,1974-05-31
