lake,country,province
Saimaa,SF,Kymi
Kallavesi,SF,Kuopio
Caspian Sea,KAZ,Atyrau
Lake Eyre,AUS,South Australia
Lake Chilwa,MW,Malawi
Lake Titicaca,PE,Puno
Lake Superior,USA,Minnesota
Storuman,S,Vasterbotten
Lake Toba,RI,Indonesia
Lake Victoria,EAT,Mara
Lake Erie,USA,Michigan
Lake Okeechobee,USA,Florida
Lake Keban,TR,Elazig
Lake Nyos,CAM,Nordoueste
Lake Hume,AUS,Victoria
Lake Ngami,RB,Botswana
Caspian Sea,R,Rep. of Kalmykiya
Fort Peck Lake,USA,Montana
Paeijaenne,SF,Haeme
Vaenern,S,Skaraborg
Bodensee,D,Baden Wurttemberg
Lake Erie,USA,Ohio
Lake Tanganjika,EAT,Mbeya
Lake Eyasi,EAT,Arusha
Oulujaervi,SF,Oulu
Lake Michigan,USA,Michigan
Lake Ontario,CDN,Ontario
Crater Lake,USA,Oregon
Ozero Tschany,R,Novosibirskaya oblast
Chad Lake,TCH,Chad
Ozero Baikal,R,Irkutskaya oblast
Lake Skutari,MNE,Montenegro
Ozero Balchash,KAZ,Taldyqorghan
Lago Maggiore,I,Lombardia
Lake Erie,USA,New York
Lake Michigan,USA,Wisconsin
Zurichsee,CH,GL
Lake Titicaca,BOL,Bolivia
Lake Tana,ETH,Ethiopia
Makarikari Salt Pan,RB,Botswana
Great Salt Lake,USA,Utah
Ozero Aral,UZB,Qaraqalpoghiston
Lac Leman,CH,VS
Lake Urmia,IR,Azarbayian e Sharqi
Great Bear Lake,CDN,Northwest Territories
Chew Bahir,ETH,Ethiopia
Vierwaldstattersee,CH,UR
Lago de Sobradinho,BR,Bahia
Licancabur Crater Lake,RCH,Chile
Zurichsee,CH,SZ
Lake Sese Seko/Albertsee,ZRE,Haut Zaire
Franklin. D. Roosevelt Lake,USA,Washington
Lake Kivu,ZRE,Kivu
Lake Genezareth,SYR,Syria
Lake Malawi,MOC,Niassa
Lac Leman,CH,VD
Bodensee,A,Vorarlberg
Lago di Bracciano,I,Lazio
Lake Malawi,EAT,Iringa
Chad Lake,WAN,Nigeria
