country,continent,percentage
NAM,Africa,100.0
C,America,100.0
KOS,Europe,100.0
RN,Africa,100.0
TT,America,100.0
BEN,Africa,100.0
GBG,Europe,100.0
AL,Europe,100.0
MH,Australia/Oceania,100.0
FPOL,Australia/Oceania,100.0
NIC,America,100.0
RCB,Africa,100.0
BERM,America,100.0
S,Europe,100.0
WEST,Asia,100.0
JA,America,100.0
PK,Asia,100.0
BR,America,100.0
VIRG,America,100.0
ARU,America,100.0
FARX,Europe,100.0
COOK,Australia/Oceania,100.0
RH,America,100.0
MACX,Asia,100.0
SPMI,America,100.0
RCH,America,100.0
BF,Africa,100.0
GUAD,America,100.0
L,Europe,100.0
ET,Asia,10.0
ETH,Africa,100.0
USA,America,100.0
WAFU,Australia/Oceania,100.0
MV,Asia,100.0
SD,Africa,100.0
ET,Africa,90.0
WSA,Africa,100.0
NIUE,Australia/Oceania,100.0
TR,Asia,95.0
GUY,America,100.0
MAYO,Africa,100.0
KIR,Australia/Oceania,100.0
ES,America,100.0
MYA,Asia,100.0
NMIS,Australia/Oceania,100.0
D,Europe,100.0
EAT,Africa,100.0
BI,Africa,100.0
SVAX,Europe,100.0
MEX,America,100.0
EW,Europe,100.0
HELX,Australia/Oceania,100.0
CY,Europe,100.0
RG,Africa,100.0
DOM,America,100.0
WD,America,100.0
B,Europe,100.0
SF,Europe,100.0
BHT,Asia,100.0
BIH,Europe,100.0
ER,Africa,100.0
FL,Europe,100.0
ARM,Asia,100.0
NCA,Australia/Oceania,100.0
LT,Europe,100.0
V,Europe,100.0
