river,country,province
Lena,R,Irkutskaya oblast
Oranje,LS,Lesotho
Sanaga,CAM,Cote/Littoral
Nile,ET,Aswan
Ganges,BD,Bangladesh
Reuss,CH,LU
Amazonas,PE,Cuzco
Suchona,R,Vologodskaya oblast
Atbara,ETH,Ethiopia
Drau,H,Baranya
Ohio River,USA,Indiana
Nile,ET,El Gharbiya
Dnjestr,UA,Ternopilska
Drau,A,Carinthia
Olt,RO,Olt
Amazonas,BR,Amazonas
Nile,ET,Beni Suef
Nile,SUD,al Khartum
Nile,ET,Qena
Thames,GB,Oxfordshire
Umeaelv,S,Vasterbotten
Dnjestr,UA,Khmelnytska
Rio Magdalena,CO,Tolima
Donau,BG,Bulgaria
Petschora,R,Arkhangelskaya oblast
Ticino,CH,TI
Euphrat,IRQ,Al Muthanna
Black Drin,MK,Macedonia
Weser,D,Nordrhein Westfalen
