mountain,island
Pico de los Nieves,Gran Canaria
Oraefajokull,Iceland
Piton des Neiges,Reunion
Mauna Loa,Hawaii
Ruapehu,Te Ika-a-Maui (North Island)
Popomanaseu,Guadalcanal
Yu Shan,Taiwan
Zhima,Olkhon
Fogo,Fogo
Mt.Victoria,Viti Levu
Mt. Giluwe,New Guinea
Rinjani,Lombok
Snaefell,Iceland
Pico,Pico
Mt. Balbi,Bougainville
Krakatau,Krakatau
Mt. Wilhelm,New Guinea
Blue Mountain Peak,Jamaica
Tatamailau,Timor
Pinatubo,Luzon
Psiloritis,Kreta
Pulog,Luzon
Tsaratanana,Madagaskar
Mt. Cook,Te Waka-a-Maui (South Island)
Etna,Sicilia
Haleakala,Maui
Silisili,Savaii
Piton de la Fournaise,Reunion
Pico Turquino,Cuba
Leuser,Sumatra
Gunung Binaiya,Ceram
Soufriere Hills,Montserrat
La Soufriere,Basse-Terre
Pelee,Martinique
Pico Duarte,Hispaniola
Roque de los Muchachos,La Palma
Asahi-Dake,Hokkaido
Ben Nevis,Great Britain
Kerinci,Sumatra
Gunung Agung,Bali
Pico Ruivo,Madeira
Kinabalu,Borneo
Queen Marys Peak,Tristan Da Cunha
Merapi,Java
Tambora,Sumbawa
Morne Diablotins,Dominica
Puncak Jaya,New Guinea
Pico Basile,Bioko
Kanlaon,Negros
Cerro de Punta,Puerto Rico
Mt. Odin,Baffin Island
Rantekombola,Sulawesi
