country,target
IND,non-Christian
MA,non-Christian
E,Christian
CI,non-Christian
GUY,Christian
BZ,Christian
FJI,Christian
TM,non-Christian
MYA,non-Christian
YV,Christian
SY,Christian
VU,Christian
CY,Christian
IL,non-Christian
AXA,Christian
PNG,Christian
SME,non-Christian
PY,Christian
ARM,Christian
I,Christian
COCO,non-Christian
JOR,non-Christian
P,Christian
ZW,Christian
ES,Christian
BIH,non-Christian
A,Christian
DK,Christian
SYR,non-Christian
GR,Christian
PE,Christian
D,Christian
NORF,Christian
COOK,Christian
MACX,non-Christian
RMM,non-Christian
BS,Christian
MW,Christian
RL,non-Christian
F,Christian
RH,Christian
TO,Christian
JA,Christian
WSA,non-Christian
BVIR,Christian
AUS,Christian
FARX,Christian
