island,sea,lake,river
Taiwan,Pacific Ocean,,
Paramuschir,Pacific Ocean,,
Kyushu,East China Sea,,
Lombok,Sunda Sea,,
Savaii,Pacific Ocean,,
Cyprus,Mediterranean Sea,,
Khark,Arabian Sea,,
Niihau,Pacific Ocean,,
Nevis,Atlantic Ocean,,
Taiwan,East China Sea,,
Sachalin,Sea of Okhotsk,,
Bornholm,Baltic Sea,,
Gomera,Atlantic Ocean,,
Niue,Pacific Ocean,,
Borneo,Sunda Sea,,
Linosa,Mediterranean Sea,,
Borneo,South China Sea,,
Uvea,Pacific Ocean,,
Seeland,Baltic Sea,,
Providenciales,Atlantic Ocean,,
Iceland,Atlantic Ocean,,
Mahe,Indian Ocean,,
Gheschm,Arabian Sea,,
Bonaire,Caribbean Sea,,
Mindoro,South China Sea,,
