desert,country,province
Gibson Desert,AUS,Western Australia
Kysylkum,UZB,Jizzakh
Libyan Desert,SUD,Darfur
Tenere,RN,Niger
Rub Al Chali,UAE,Umm al Qaywayn
Baja California Desert,MEX,Baja California
Sonora,MEX,Chihuahua
Hamada du Draa,MA,Morocco
Great Victoria Desert,AUS,Western Australia
Mujunkum,KAZ,Zhambyl
Colorado Plateau,USA,New Mexico
Gobi,TJ,Gansu
Dascht-e-Kavir,IR,Tehran
Tanezrouft,RMM,Mali
Grand Erg Ouest,DZ,Algeria
Sturt Desert,AUS,Queensland
Mojave,USA,Nevada
Darfur,SUD,Darfur
Kalahari,RSA,North West
Libyan Desert,ET,Matruh
