name,area,longitude,latitude
Colorado Plateau,337000.0,-110.0,36.0
Kalahari,1200000.0,21.0,-22.0
Ust Urt,180000.0,56.0,43.0
Ferlo,70000.0,-14.0,15.0
Owyhee,36000.0,-117.0,42.0
Erg Chech,10000.0,-3.0,25.0
Erg Maqteir,40000.0,-11.0,22.0
Karakum,400000.0,60.0,40.0
Gibson Desert,310800.0,125.0,-23.0
Erg Rebiana,200000.0,22.0,23.0
Simpson Desert,176500.0,137.0,-25.0
Baja California Desert,30000.0,-116.0,31.0
Rub Al Chali,780000.0,51.0,21.0
Mujunkum,37500.0,72.0,44.0
Great Salt Lake Desert,10360.0,-114.0,41.0
Erg Ouarane,80000.0,-11.0,21.0
Syrian Desert,518000.0,39.0,33.0
Nubian Desert,50000.0,21.0,32.0
Rigestan,25000.0,65.0,30.0
Dascht-e-Margoh,40000.0,62.0,31.0
Ryn,80000.0,47.0,48.0
Great Basin,300000.0,-117.0,38.0
Nullarbor Plain,200000.0,129.0,-31.0
Djourab,100000.0,18.0,17.0
TaklaMakan,300000.0,82.0,38.0
Mojave,57000.0,-115.2,36.2
Ordos,90000.0,108.0,38.0
Erdi Ennedi,180000.0,22.0,18.0
Sonora,320000.0,-113.0,32.0
Tanami,37500.0,130.0,-20.0
