city,province,country,island
Hamilton,Bermuda,BERM,Grand Bermuda
Tarawa,Kiribati,KIR,Tarawa
Sheffield,South Yorkshire,GB,Great Britain
Saint Johns,Antigua and Barbuda,AG,Antigua
Makati,Philippines,RP,Luzon
Saint-Pierre,Saint Pierre and Miquelon,SPMI,Saint Pierre
Singapore,Singapore,SGP,Singapore
Palikir,Micronesia,FSM,Ponape
Miyazaki,Miyazaki,J,Kyushu
Davao,Philippines,RP,Mindanao
Tebing Tinggi,Indonesia,RI,Sumatra
Blackburn,Lancashire,GB,Great Britain
Toyama,Toyama,J,Honshu
Pematang Siantar,Indonesia,RI,Sumatra
Victoria,Malta,M,Gozo
Mamoutzou,Mayotte,MAYO,Mayotte
Funchal,Madeira,P,Madeira
Ciego de Avila,Ciego de Avila,C,Cuba
Kingstown,Saint Vincent and the Grenadines,WV,Saint Vincent
Fianarantsoa,Fianarantsoa,RM,Madagaskar
Derby,Derbyshire,GB,Great Britain
