country,organization,type
ES,ITU,member
CO,IMF,member
DJI,IFAD,Category III
H,ICAO,member
MS,ILO,member
THA,IOC,National Olympic Committee
TM,FAO,member
SF,WToO,member
EAK,UN,member
BD,WCL,member
GCA,UPU,member
G,BDEAC,member
HONX,WFTU,member
ROU,IFAD,Category III
BI,NAM,member
JOR,IBRD,member
Q,UNIDO,member
RO,ICAO,member
NAM,WIPO,member
DK,IMF,member
AZ,IOC,National Olympic Committee
LV,ITU,member
BR,G-77,member
WAL,IBRD,member
ARM,IAEA,member
MAL,G-77,member
SYR,UNIDO,member
MNE,ITU,member
MOC,IBRD,member
BI,CEEAC,member
SRB,OSCE,member
NL,OSCE,member
NZ,SPC,member
BD,CP,member
CDN,BIS,member
CZ,IAEA,member
RWA,IFAD,Category III
NZ,ILO,member
GQ,OAS,observer
E,ISO,member
WAG,ECOWAS,member
NZ,WHO,member
NIC,OPANAL,member
Q,IAEA,member
WS,UN,member
VU,UPU,member
BRN,OIC,member
NIC,IFC,member
BEN,ACP,member
TR,AsDB,nonregional member
MYA,FAO,member
EAK,ICRM,National Society
RI,IBRD,member
N,IAEA,member
ZW,IAEA,member
D,Interpol,member
HONX,BIS,member
CV,ITU,member
CI,WMO,member
N,IOM,member
S,ISO,member
BDS,Interpol,member
V,ITU,member
FJI,SPF,member
DZ,ILO,member
MH,IFC,member
WD,ACCT,member
PL,IOM,member
MEX,G-6,member
CO,WMO,member
FL,ECE,member
EC,WCL,member
TO,ICRM,National Society
FJI,IFRCS,member
EAU,ICAO,member
WL,IFRCS,member
YE,ESCWA,member
GNB,IFRCS,member
RO,Intelsat,member
ETH,WHO,member
SP,NAM,member
FPOL,ICFTU,member
MNTS,Interpol,subbureau
RO,UPU,member
I,AsDB,nonregional member
ER,IDA,Part II
UZB,IMF,member
SGP,IOC,National Olympic Committee
