mountain,country,province
Licancabur,RCH,Chile
Gasherbrum II,PK,Pakistan
Meru,EAT,Arusha
Nanga Parbat,PK,Pakistan
Mt Rainier,USA,Washington
Portefjaellen,S,Norrbotten
Elgon,EAK,Western
Mt. Bogong,AUS,Victoria
Thabana Ntlenyana,LS,Lesotho
Grand Ballon,F,Lorraine
Annapurna,NEP,Nepal
Changbai Shan,NOK,North Korea
Oraefajokull,IS,Iceland
Sulitjelma,N,Nordland
Puy De Dome,F,Auvergne
Huascaran,PE,Ancash
Jabal Marra,SUD,Darfur
Hochgolling,A,Styria
Gasherbrum I,PK,Pakistan
Pico Bolivar,YV,Merida
Matterhorn,I,Valle dAosta
Pik Pobeda,TJ,Xinjiang Uygur
Clingmans Dome,USA,Tennessee
Semeru,RI,Indonesia
Pico,P,Azores
Pico de Agulhas Negras,BR,Minas Gerais
Glittertind,N,Oppland
Blue Mountain Peak,JA,Jamaica
Nevado de Colima,MEX,Jalisco
Mount Everest,TJ,Tibet
Mantalingajan,RP,Philippines
Licancabur,BOL,Bolivia
Korab,MK,Macedonia
Mt Marcy,USA,New York
Illimani,BOL,Bolivia
Pico de los Nieves,E,Canary Islands
