name,mountains,height,type,longitude,latitude
Guadalupe Peak,Rocky Mountains,2667.0,,-105.0,32.0
Blue Mountain Peak,,2256.0,,-76.4,18.1
Grand Ballon,Vosges,1424.0,,7.1,47.9
Aconcagua,Andes,6962.0,,-70.0,-32.65
Fogo,Cape Verdes,2829.0,volcano,-24.4,14.95
Zard Kuh,Zagros,4550.0,,50.1,32.35
Mt Redoubt,Aleutian Range,3108.0,volcano,-152.75,60.5
Gunung Agung,,3142.0,volcano,115.5,-8.3
Citlaltepetl (Pico de Orizaba),Cordillera Volcanica,5700.0,volcano,-97.0,19.0
Finsteraarhorn,Alps,4274.0,,8.1,46.5
Monte Cinto,Corse,2706.0,,8.9,42.4
Mt.Victoria,,1323.0,volcanic,178.0,-17.8
Pico de Sao Tome,,2024.0,volcanic,6.6,0.2
Nanga Parbat,Karakorum,8125.0,,74.6,35.2
Chimborazo,Andes,6287.0,volcano,-78.5,-1.2
Mt Logan,Elias Range,5959.0,,-140.4,60.6
Kasbek,Kaukasus,5033.0,volcanic,44.31,42.42
Manaslu,Himalaya,8163.0,,84.6,28.55
Popocatepetl,Cordillera Volcanica,5450.0,volcano,-98.0,19.0
Emi Kussi,Tibesti,3415.0,volcano,18.5,20.0
Pico de Almanzor,Cordillera Central,2648.0,,-5.3,40.25
Pico Rocarre,Cordillera Negra,5187.0,,-78.0,-8.8
Mt. Wilhelm,,4509.0,,145.0,-5.8
Hekla,,1491.0,volcano,-19.7,64.0
Mt Rainier,Cascade Range,4392.0,volcano,-121.75,46.5
Meru,East African Rift,4567.0,volcano,36.8,-3.2
Irazu,Cordillera de Talamanca,3432.0,volcano,-83.9,10.0
Nanda Devi,Himalaya,7816.0,,80.0,30.4
Jezerce,Balkan,2694.0,,19.4,42.3
Cathkin Peak,Drakensberge,3181.0,,29.35,-29.1
Krakatau,,813.0,volcano,105.4,-6.1
Mt. Giluwe,,4368.0,volcano,143.9,-6.05
Mawenzi,East African Rift,5148.0,volcano,37.45,-3.1
Cerro de Punta,,1338.0,,-66.6,18.2
Elgon,East African Rift,4321.0,volcanic,34.55,1.1
Kangchendzonga,Himalaya,8586.0,,88.1,27.7
Rinjani,,3726.0,volcano,116.5,-8.4
Borah Peak,Rocky Mountains,3859.0,,-113.8,44.1
Mt St.Elias,Elias Range,5489.0,,-140.9,60.3
Ras Daschan Terara,Amhara,4533.0,volcanic,38.4,13.2
Glittertind,,2452.0,,8.1,61.4
Pico Turquino,Sierra Maestra,1974.0,,-76.8,20.0
