river,country,province
Shabelle,SP,Somalia
Vaesterdalaelv,S,Dalarna
Jangtse,TJ,Shanghai (munic.)
Mekong,VN,Vietnam
Bahr el-Djebel/Albert-Nil,SUD,Aali an Nil
Limpopo,MOC,Gaza
Adda,I,Lombardia
Orinoco,YV,Delta Amacuro
Sanaga,CAM,Cote/Littoral
Dalaelv,S,Uppsala
Chatanga,R,Krasnoyarskiy kray
Tshuapa,ZRE,Equateur
Paraguay,PY,Paraguay
Uruguay,ROU,Uruguay
Semliki,EAU,Uganda
Rio San Juan,CR,Alajuela
Yukon River,USA,Alaska
Werra,D,Niedersachsen
Amazonas,BR,Amapa
Colorado,MEX,Baja California
Riviere Richelieu,CDN,Quebec
Murrumbidgee River,AUS,New South Wales
Enns,A,Lower Austria
Aruwimi,ZRE,Haut Zaire
Kolyma,R,Rep. of Sakha
Nile,ET,El Buhayra
Maas,NL,Zuid Holland
Guadalquivir,E,Andalusia
Moldau,CZ,Praha
Thames,GB,Essex
Po,I,Emilia Romagna
Schari,CAM,Nord extreme
Theiss,SRB,Serbia
Truckee River,USA,Nevada
Irawaddy,MYA,Kachin
Amudarja,UZB,Qaraqalpoghiston
Thames,GB,Kent
Paatsjoki,N,Finnmark
Asahan,RI,Indonesia
Ischim,R,Tyumenskaya oblast
Merrimack River,USA,Massachusetts
Ohio River,USA,Illinois
Aare,CH,AG
Lukenie,ZRE,Bandundu
Jubba,SP,Somalia
Lomami,ZRE,Haut Zaire
Black Drin,AL,Albania
Rio Magdalena,CO,Atlantico
Dnepr,UA,Khersonska
Bani,RMM,Mali
Oranje,RSA,Northern Cape
Gambia,WAG,Gambia
Doubs,F,Bourgogne
Kymijoki,SF,Uusimaa
Bomu,RCA,Central African Republic
Karun,IR,Khuzestan
Ounasjoki,SF,Lappia
Busira,ZRE,Equateur
Paraguay,RA,Chaco
Luapula,Z,Luapula
Dnjestr,UA,Odeska
Uruguay,RA,Entre Rios
Jangtse,TJ,Jiangsu
Rio Mamore,BOL,Bolivia
Nile,ET,Dumyat
Lukuga,ZRE,Shaba/Katanga
White Nile,SUD,al Khartum
Narva,R,Pskovskaya oblast
Iller,D,Baden Wurttemberg
Zambezi,MOC,Manica
Jordan,WEST,West Bank
Reuss,CH,AG
