qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
4815,852,813,3,12,16,2:05.621,2:08.106,
609,46,16,12,20,21,1:22.737,,
4148,93,17,19,14,8,1:20.921,,
4859,855,22,3,11,13,1:33.921,1:33.079,
540,43,25,3,17,18,1:16.241,,
5255,872,814,10,11,4,1:24.875,1:24.345,1:24.304
195,27,9,2,4,7,1:15.985,1:15.109,1:16.521
2104,227,65,15,14,12,1:21.210,,
4259,98,47,18,21,19,1:14.812,,
202,27,18,11,16,14,1:15.993,1:15.701,
552,44,21,4,3,8,1:20.842,1:20.042,1:20.775
4621,844,16,10,14,12,1:27.392,1:27.027,
1246,82,11,16,4,8,1:15.501,,
4745,849,153,5,19,18,1:35.245,,
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693
1721,193,76,24,19,22,1:31.178,,
4322,102,22,6,2,2,1:19.323,,
3379,339,9,4,11,6,1:46.283,1:46.951,1:51.051
1022,65,33,13,18,16,1:22.009,1:23.767,
5730,894,17,9,2,3,1:39.138,1:37.840,1:37.464
2710,262,81,29,10,11,1:27.989,,
4732,849,18,1,4,5,1:34.230,1:32.273,1:31.898
4544,841,13,6,6,8,1:26.031,1:25.611,1:25.599
3749,354,2,15,22,16,1:20.174,1:19.899,
989,64,21,4,2,5,1:15.916,1:14.540,1:14.894
6425,932,1,131,44,1,1:15.895,1:14.661,1:14.393
3058,4,9,2,5,13,1:33.495,1:33.487,
7399,981,154,210,8,20,1:43.355,,
936,61,26,5,21,18,1:17.016,,
3167,10,20,9,15,2,1:21.178,1:20.604,1:21.607
2087,226,65,15,14,17,1:33.256,,
6868,956,821,210,21,11,1:07.660,1:07.578,
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840
539,43,24,5,18,17,1:16.142,,
1925,212,30,6,5,7,1:18.313,,
1574,173,23,3,9,6,1:36.788,,
6607,942,20,6,5,5,2:00.950,1:58.596,
3703,352,67,5,16,18,1:33.568,,
711,51,5,4,4,13,1:37.225,1:36.991,
1358,87,38,18,20,20,,,
2008,216,21,17,12,2,1:41.896,,
3638,350,4,6,8,1,1:22.646,1:22.297,1:21.962
6839,955,20,6,5,4,1:45.062,1:44.461,1:43.966
389,36,16,12,20,21,1:29.339,,
6875,956,835,4,30,18,1:07.965,,
928,61,13,6,6,10,1:16.259,1:15.555,1:17.209
438,39,1,1,2,4,1:21.120,1:20.713,1:21.785
6591,941,154,208,8,8,1:39.056,1:38.754,1:38.787
5715,893,821,15,12,10,1:45.483,1:44.245,
6260,917,4,6,14,8,1:11.558,1:11.215,1:10.977
2149,229,84,17,12,16,1:22.519,,
6785,952,825,4,20,15,1:24.669,1:24.625,
3742,354,13,6,7,9,1:19.778,1:19.200,1:17.101
960,62,15,7,8,20,1:13.787,,
5331,875,3,131,8,9,1:38.999,1:38.417,1:38.361
5578,886,17,9,2,5,1:23.247,1:28.145,1:26.208
1808,203,74,18,23,22,1:55.520,,
2483,252,56,17,15,10,1:22.831,,
1034,66,2,2,16,6,1:28.200,1:27.251,1:27.785
3373,338,812,164,20,24,1:30.613,,
3981,119,31,3,3,1,1:15.167,,
6233,915,813,208,13,20,1:43.205,,
2253,242,64,28,21,26,1:36.624,,
3554,346,807,3,10,13,1:32.144,1:31.635,
7075,966,1,131,44,1,1:19.447,1:19.137,1:18.704
2552,255,56,17,15,7,1:39.621,,
5482,881,824,206,22,19,1:38.434,,
4192,95,17,19,14,12,1:15.725,,
5073,864,17,9,2,12,1:23.592,1:22.977,
5411,878,817,5,16,18,1:39.114,,
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839
2885,269,57,1,7,4,1:21.251,,
2943,271,22,17,14,10,1:38.533,,
4479,73,27,18,21,19,1:34.005,1:36.417,
680,50,13,6,5,4,1:25.359,1:25.049,1:25.765
1855,209,44,20,14,3,1:25.491,,
6987,962,3,131,6,1,1:45.316,1:43.020,1:42.584
2576,256,22,17,14,7,,,
6730,950,20,6,5,4,1:37.001,1:36.183,1:36.246
3171,10,5,1,2,6,1:21.659,1:20.807,1:22.095
4924,858,13,6,6,6,1:41.592,1:39.623,1:39.695
4021,121,30,6,1,1,1:20.963,,
377,36,23,7,11,9,1:27.328,1:26.739,1:28.692
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835
4314,101,21,15,11,14,1:15.395,,
7178,970,830,9,33,19,1:35.433,,
3032,3,3,3,16,7,1:35.941,1:35.809,1:37.397
6118,910,154,208,8,15,1:26.136,1:25.337,
2297,244,94,18,23,18,1:26.913,,
4339,102,46,18,20,19,1:24.679,,
4782,851,3,131,8,7,1:22.996,1:21.243,1:21.098
738,52,11,8,22,18,1:14.098,,
640,48,3,3,16,8,1:23.333,1:22.748,1:24.382
5839,899,3,131,9,2,1:25.556,1:26.626,1:27.102
5165,868,154,208,10,10,1:47.043,1:56.388,
2446,250,85,30,17,21,2:02.405,,
5912,902,825,1,20,9,1:35.288,1:34.904,1:34.712
5920,902,813,208,13,17,1:36.663,,
6138,911,815,10,11,13,2:10.666,2:10.084,
1806,203,73,25,20,20,1:54.850,,
3958,117,52,17,12,18,1:18.514,,
1685,192,23,17,10,8,1:18.735,,
4031,121,17,19,14,11,1:22.754,,
4415,107,41,7,17,15,1:11.974,,
