season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2008,138,1462,85,1345,78,Н,0
1987,139,1207,82,1326,79,Н,0
1995,138,1438,60,1275,54,Н,1
1985,137,1130,55,1403,53,Н,0
2013,139,1247,76,1279,74,Н,0
1992,143,1246,87,1269,77,Н,0
1991,138,1396,77,1350,64,Н,0
1985,137,1298,78,1261,55,Н,0
1985,146,1437,56,1314,44,Н,0
2011,134,1421,81,1114,77,Н,1
1992,137,1235,76,1150,74,Н,0
2011,136,1338,74,1421,51,Н,0
1990,139,1462,74,1207,71,Н,0
1985,143,1210,61,1228,53,Н,0
1990,137,1278,64,1431,61,Н,1
1994,136,1458,80,1153,72,Н,0
1991,136,1350,73,1393,69,Н,0
2000,144,1314,74,1397,69,Н,0
1989,136,1112,94,1352,60,Н,0
1988,136,1243,66,1247,53,Н,0
1994,139,1409,82,1329,80,Н,0
2007,139,1332,75,1457,61,Н,0
1989,144,1181,87,1278,70,Н,0
2012,138,1458,60,1435,57,Н,0
2001,143,1390,78,1153,65,Н,0
1996,137,1396,61,1328,43,Н,0
2013,143,1455,72,1247,58,Н,0
1995,136,1400,90,1332,73,Н,0
1991,144,1385,91,1326,74,Н,0
2002,137,1153,90,1131,52,Н,0
1997,137,1409,81,1131,52,Н,0
1996,138,1163,95,1185,81,Н,0
2002,136,1423,93,1425,89,Н,1
2008,144,1242,72,1437,57,Н,0
1989,146,1181,85,1207,77,Н,0
1999,137,1397,62,1174,52,Н,0
2013,137,1231,83,1241,62,Н,0
1987,152,1393,77,1344,63,Н,0
1995,137,1207,68,1462,63,Н,0
1998,136,1452,82,1396,52,Н,0
2004,136,1104,65,1356,64,Н,0
2004,146,1181,66,1462,63,Н,0
2002,144,1242,73,1228,69,Н,0
2014,139,1417,77,1372,60,Н,0
1993,138,1314,112,1348,67,Н,0
1999,138,1234,82,1116,72,Н,0
2011,138,1361,71,1396,64,Н,2
2003,145,1242,78,1112,75,Н,0
2007,136,1462,79,1140,77,Н,0
1985,137,1437,51,1173,49,Н,0
2013,144,1181,71,1277,61,Н,0
1999,136,1451,76,1314,74,Н,0
1992,154,1181,71,1276,51,Н,0
2008,136,1323,68,1206,50,Н,0
2005,138,1428,67,1328,58,Н,0
1986,137,1298,87,1409,68,Н,0
1985,139,1104,63,1433,59,Н,0
1997,146,1314,97,1257,74,Н,0
2014,137,1273,78,1181,71,Н,0
2012,136,1124,68,1355,60,Н,0
1997,139,1390,72,1448,66,Н,0
1999,137,1275,59,1449,58,Н,0
2003,136,1409,84,1173,71,Н,0
2012,135,1378,65,1143,54,Н,0
2002,145,1328,81,1281,75,Н,0
1993,145,1246,106,1199,81,Н,0
2014,137,1112,68,1451,59,Н,0
2013,137,1195,78,1207,68,Н,0
1991,137,1385,75,1296,68,Н,0
2014,137,1124,74,1304,60,Н,0
2006,154,1196,73,1417,57,Н,0
2013,143,1266,71,1274,61,Н,0
2004,138,1163,72,1177,55,Н,0
1997,136,1314,82,1193,74,Н,0
1986,137,1104,97,1462,80,Н,0
1991,154,1181,72,1242,65,Н,0
1985,136,1120,59,1345,58,Н,0
1994,139,1266,75,1246,63,Н,0
1999,136,1307,61,1281,59,Н,0
2013,136,1393,81,1285,34,Н,0
2000,136,1120,72,1166,69,Н,0
1987,146,1424,84,1234,81,Н,0
2010,136,1330,51,1323,50,Н,0
2000,138,1235,79,1120,60,Н,0
1992,136,1314,68,1275,63,Н,0
2007,137,1458,76,1394,63,Н,0
2013,144,1257,77,1332,69,Н,0
1990,137,1242,79,1352,71,Н,0
2008,136,1450,71,1457,40,Н,0
2001,137,1196,69,1443,56,Н,0
1997,136,1386,75,1334,65,Н,0
2006,138,1130,69,1285,56,Н,0
2014,137,1166,76,1418,66,Н,0
2004,144,1210,72,1305,67,Н,0
2004,144,1242,100,1412,74,Н,0
1992,136,1231,94,1183,55,Н,0
1990,144,1210,81,1277,80,Н,1
2014,136,1361,73,1308,69,Н,1
2004,137,1462,80,1257,70,Н,0
1999,137,1409,62,1158,53,Н,0
2003,136,1163,58,1140,53,Н,0
2010,139,1452,68,1281,59,Н,0
1993,137,1417,81,1235,70,Н,0
2006,139,1272,72,1137,56,Н,0
1995,139,1280,78,1428,64,Н,0
1986,137,1424,74,1419,51,Н,0
2001,146,1112,87,1228,81,Н,0
2003,152,1242,94,1266,61,Н,0
1992,143,1231,85,1199,74,Н,0
2006,138,1196,82,1454,60,Н,0
2007,138,1314,81,1277,67,Н,0
2012,137,1153,65,1400,59,Н,0
2010,146,1181,78,1124,71,Н,0
1986,137,1246,75,1172,55,Н,0
2000,144,1409,80,1274,71,Н,0
2004,144,1462,79,1400,71,Н,0
1999,136,1234,77,1412,64,Н,0
2004,154,1163,82,1210,73,Н,0
2009,139,1338,84,1329,76,Н,0
1989,139,1207,81,1323,74,Н,0
1993,136,1242,94,1123,72,Н,0
1999,138,1196,82,1451,74,Н,1
