season,slot,strongseed,weakseed
1991,R3Y1,R2Y1,R2Y4
1987,R1X5,X05,X12
2000,R3X1,R2X1,R2X4
2004,R3Z1,R2Z1,R2Z4
1986,R1Y5,Y05,Y12
1994,R1W5,W05,W12
1988,R3Z1,R2Z1,R2Z4
2003,R2Y2,R1Y2,R1Y7
1996,R4Z1,R3Z1,R3Z2
2007,R2Y2,R1Y2,R1Y7
2008,R1X6,X06,X11
2010,R1Y6,Y06,Y11
1986,R2Y3,R1Y3,R1Y6
2014,R2X4,R1X4,R1X5
2007,R3Y1,R2Y1,R2Y4
1985,R3Z2,R2Z2,R2Z3
2003,R1W1,W01,W16
2002,R1W6,W06,W11
1990,R2Z3,R1Z3,R1Z6
2005,R1W4,W04,W13
2002,R1Z1,Z01,Z16
2001,R6CH,R5WX,R5YZ
1998,R1W8,W08,W09
2008,W16,W16a,W16b
2014,R2X3,R1X3,R1X6
2006,R1W2,W02,W15
1991,R2Z4,R1Z4,R1Z5
1992,R3W1,R2W1,R2W4
2012,R1W1,W01,W16
1999,R1Y7,Y07,Y10
2010,R3W1,R2W1,R2W4
2014,R1X3,X03,X14
2001,R1Z6,Z06,Z11
2003,R1Y2,Y02,Y15
2005,R1Z2,Z02,Z15
1988,R1Y6,Y06,Y11
2006,R1Z5,Z05,Z12
2007,R2Z1,R1Z1,R1Z8
2008,R2Y1,R1Y1,R1Y8
2009,R1X1,X01,X16
2010,R1X8,X08,X09
1992,R1X1,X01,X16
2006,R3X1,R2X1,R2X4
2011,R1W2,W02,W15
2007,R2X1,R1X1,R1X8
1995,R4W1,R3W1,R3W2
1995,R2Y1,R1Y1,R1Y8
1994,R2Z3,R1Z3,R1Z6
1991,R1X3,X03,X14
2007,Z16,Z16a,Z16b
2008,R6CH,R5WX,R5YZ
2001,R1W1,W01,W16
1996,R1W1,W01,W16
2014,R1X7,X07,X10
2008,R2W1,R1W1,R1W8
1990,R2W3,R1W3,R1W6
1986,R3Y1,R2Y1,R2Y4
2000,R1W7,W07,W10
2001,R3W2,R2W2,R2W3
2013,R1X1,X01,X16
2000,R1Z5,Z05,Z12
1987,R1X1,X01,X16
2005,R1W5,W05,W12
1996,R2W4,R1W4,R1W5
2002,R2Z3,R1Z3,R1Z6
2013,R1Z4,Z04,Z13
2009,R3W2,R2W2,R2W3
1999,R1Y3,Y03,Y14
1998,R2Y3,R1Y3,R1Y6
1988,R1Z4,Z04,Z13
2008,R4X1,R3X1,R3X2
1985,R3W1,R2W1,R2W4
1994,R1Y6,Y06,Y11
2001,R5YZ,R4Y1,R4Z1
1985,R1Y7,Y07,Y10
2008,R1Y1,Y01,Y16
2008,R1X4,X04,X13
2005,R1Z8,Z08,Z09
1985,R2X1,R1X1,R1X8
1997,R2Y4,R1Y4,R1Y5
1995,R1X8,X08,X09
1992,R2X1,R1X1,R1X8
2009,R1Y1,Y01,Y16
2012,R1W6,W06,W11
2014,R1X2,X02,X15
2014,R1Y8,Y08,Y09
2008,R5WX,R4W1,R4X1
1989,R6CH,R5WX,R5YZ
2004,R2W3,R1W3,R1W6
2001,R1Z8,Z08,Z09
2001,R2Y4,R1Y4,R1Y5
2005,R1Y4,Y04,Y13
2000,R3W1,R2W1,R2W4
1986,R1Z6,Z06,Z11
1985,R6CH,R5WX,R5YZ
1994,R2X1,R1X1,R1X8
1991,R1X2,X02,X15
1988,R2W1,R1W1,R1W8
2007,R2X2,R1X2,R1X7
1999,R1Y5,Y05,Y12
1998,R4Y1,R3Y1,R3Y2
2013,R1W1,W01,W16
2000,R1Z2,Z02,Z15
2007,R1Z4,Z04,Z13
1999,R1W1,W01,W16
1994,R4Y1,R3Y1,R3Y2
2012,R1X2,X02,X15
1989,R5WX,R4W1,R4X1
1995,R1X1,X01,X16
2000,R1Y3,Y03,Y14
2010,R1Y1,Y01,Y16
2001,R1X8,X08,X09
2000,R2X1,R1X1,R1X8
1990,R1Z1,Z01,Z16
2005,R4Y1,R3Y1,R3Y2
2008,R1Y2,Y02,Y15
1990,R1Y1,Y01,Y16
1992,R1W2,W02,W15
1994,R2X4,R1X4,R1X5
1993,R1X2,X02,X15
2006,R1X8,X08,X09
2003,R2W3,R1W3,R1W6
2002,R2Z2,R1Z2,R1Z7
2012,R1Y3,Y03,Y14
2003,R1X2,X02,X15
2010,R2Y3,R1Y3,R1Y6
2010,R4X1,R3X1,R3X2
2002,R1W8,W08,W09
1992,R2X3,R1X3,R1X6
2001,Y16,Y16a,Y16b
1988,R1Z7,Z07,Z10
2013,Y11,Y11a,Y11b
