season,seed,team
1988,X04,1243
1985,Z13,1298
2013,W03,1266
1998,W07,1231
1999,W11,1245
1990,W06,1385
1987,W10,1443
2005,W06,1403
2006,W04,1261
2002,W01,1268
2006,Z03,1314
1991,W03,1329
2004,X16,1427
1998,W16,1298
1994,W16,1251
1993,X10,1374
2011,Y16a,1114
2004,W07,1462
2004,Z10,1305
2010,Z13,1293
1994,X01,1345
2014,Y15,1459
2002,Z11,1461
1997,W10,1400
2011,W14,1232
1986,Y05,1104
1988,Z06,1196
2011,Y02,1196
1990,Y13,1190
2011,Z15,1103
1991,Z03,1371
2006,W09,1423
1992,X06,1207
1986,Y08,1443
1999,X02,1428
2014,W09,1203
2011,Y09,1330
2014,X07,1307
1987,Y10,1261
1999,Z16,1427
2012,Y16a,1290
2001,X16,1422
1988,W15,1131
2009,X05,1228
1995,X06,1332
1998,Y03,1390
1992,Y16,1224
1995,W09,1387
1988,Y06,1437
2012,W06,1153
1995,X13,1253
1988,W16,1250
2001,Z05,1438
2003,W05,1280
2006,Z01,1163
2005,X14,1429
2012,W07,1211
2011,X05,1112
1986,X08,1239
2010,Z08,1211
1991,Z08,1207
1988,W04,1231
2000,X07,1409
1989,X15,1206
2012,Z04,1257
1999,Z08,1281
2003,Z05,1323
1991,Y07,1234
1992,Y05,1277
2000,W13,1335
2014,X16a,1107
1997,Z03,1448
2007,Y04,1268
2013,W02,1274
1998,Z11,1274
1994,X10,1371
2004,Z01,1246
2008,Z15,1125
2000,W11,1337
2006,Z05,1449
2007,Y03,1332
1998,W03,1376
1998,X08,1397
1993,X06,1143
2011,Z12,1350
2006,W01,1181
1996,X04,1428
1998,Y15,1174
1988,X15,1185
1995,W02,1269
2003,X14,1407
1992,Z09,1163
2014,W02,1437
2001,Z09,1201
2000,W05,1196
1997,W05,1143
2005,Z07,1150
1985,Z15,1292
1986,Z13,1419
1995,X16,1198
1997,W14,1330
2013,Y01,1257
1999,X14,1308
1992,W03,1269
2012,Z16,1254
2012,Z03,1266
2005,Y07,1153
2002,Z12,1281
1995,Z07,1235
2000,Y11,1123
1993,Z03,1435
1999,X09,1279
2004,W01,1181
1989,Y06,1210
2000,X12,1429
1988,X02,1338
2013,W07,1228
1990,X13,1343
2009,Y09,1373
1999,Z02,1390
2007,Z08,1246
2008,W08,1231
2004,Z04,1242
1997,X09,1348
1990,Z09,1344
2011,Z06,1207
2010,Y13,1222
2012,Z01,1277
2011,W08,1206
2011,Z11b,1433
2005,W12,1203
2011,X04,1400
2010,Z02,1243
1998,Y05,1395
1990,Y03,1281
2012,X16a,1249
2012,Y03,1124
2009,X04,1211
1988,Z16,1165
2010,W01,1246
1998,Z09,1203
2009,Z03,1281
2014,X10,1390
1991,Y09,1177
1999,W08,1158
2013,X04,1276
1987,X12,1222
2005,W15,1151
2001,Y07,1448
2011,X15,1294
2005,W01,1449
1998,Y13,1434
2001,W08,1208
2006,X08,1116
1996,Y13,1343
1999,W06,1396
2001,Y06,1323
1986,X09,1396
2002,Z02,1328
1991,Y05,1400
2012,W09,1379
1991,Y04,1385
1996,X08,1453
2014,X16b,1291
1992,W14,1200
2002,X15,1285
2012,Z11,1161
1994,X06,1266
1996,W08,1133
2008,X15,1420
1990,W03,1181
2008,Z08,1140
