statusid,status
2,Отменено
4,Авария
5,Машина
6,Гейрбокс
7,Передача
8,Клатч
10,Электрический
11,+1 Лап
12,+2 кругов
13,+3 кругов
15,+5 кругов
16,+6 кругов
17,+7 Лапов
19,+9 кругов
20,Спун оф
21,Radiатор
24,Дифференциальная
26,Механический
27,Тире
29,Перекрыть
30,Руль-осадка
31,Увольняюсь
32,Текущее давление топлива
33,Передний крыло
34,Водяной давление
36,Колесо
37,Тахометр
39,Технический
40,Электроника
41,Расколотое крыло
42,Защита от тепла загорелась
43,Уничтожить
44,Нефтяной утечки
45,+11 кругов
46,Руль
47,Прощай
48,Топливо-насосная установка
49,Тракционный руль
51,Дисперсионное давление
55,+12 кругов
56,Пожар в двигателе
58,+26 кругов
59,Прочёсывание шины
61,Гайковертикальный болт
63,Пневматика
66,Огонь
67,Подшипник колеса
68,Физический
71,Плавучая буровая установка
74,Топливо
76,Вибрации
77,Правило 107-процента
79,Тормозная система
80,Пуск
83,Шасси
84,Батарея
85,Затвор
86,Полная ось
88,Десять кругов
90,"Here is a translation of your request from English to Russian:

""Вы не начали заново."""
91,Альтернативный генератор
93,Пояс безопасности
94,Двигательное масло
95,Потопление топлива
96,Избыток
97,Не пройденный предварительный отбор
99,Дистрибьютор
100,Шофёр болеет
101,Турбо
102,Колодочный шар
103,Водяной насос
104,Смертельная авария
105,Спарк-плуги
106,Топливный шланг
107,Повреждение глаза
109,Шинная ось
110,Водопроводная труба
113,25 ласов
114,18 laps
115,+22 круги
117,24 кругов
119,23 гонки
120,21 кругов
121,Магнито
123,+30 кругов
124,+19 кругов
126,Суперتشарджер
127,+20 кругов
128,42 Лапсы
129,Неисправность двигателя
131,Блок питания
132,ERS
133,+49 Лапов
134,38 laps
135,Датчик торможения
136,Сидение
