driverstandingsid,raceid,driverid,points,position,positiontext,wins
234,29,14,6.0,16,16,0
1621,89,38,0.0,25,25,0
3228,165,56,3.0,10,10,0
3315,169,57,64.0,1,1,3
5186,231,73,0.0,20,20,0
7071,299,105,5.0,9,9,0
7136,301,123,0.0,20,20,0
9537,281,110,0.0,23,23,0
10233,242,93,0.0,16,16,0
10452,250,81,1.0,16,16,0
10608,255,56,10.0,10,10,0
10783,213,49,13.0,5,5,1
10976,220,82,0.0,24,24,0
11171,181,63,0.0,18,18,0
11287,186,41,0.0,22,22,0
11523,148,2,8.0,5,5,0
11804,126,49,0.0,17,17,0
12033,137,35,3.0,13,13,0
12120,109,31,8.0,3,3,0
12280,117,50,0.0,19,19,0
12314,119,15,22.0,8,8,0
12967,60,24,0.0,18,18,0
13683,39,17,0.0,16,16,0
13686,39,19,0.0,17,17,0
15943,323,122,0.0,31,31,0
16136,328,110,0.0,28,28,0
16142,328,140,0.0,35,35,0
16193,329,152,0.0,38,38,0
16367,334,77,40.0,3,3,0
16390,335,55,13.0,9,9,0
17776,5,3,4.5,10,10,0
18060,13,69,0.0,21,21,0
18292,359,122,0.0,21,21,0
18318,360,145,8.0,5,5,0
18399,362,129,1.0,22,22,0
18505,364,90,0.0,34,34,0
18659,368,138,0.0,27,27,0
18993,372,166,0.0,15,15,0
19135,377,137,11.0,5,5,0
19329,383,118,14.0,7,7,0
19456,386,146,0.0,31,31,0
19493,387,102,90.0,1,1,8
19665,394,156,2.0,12,12,0
19864,401,102,51.0,3,3,2
19867,401,118,3.0,16,16,0
19929,403,133,0.0,27,27,0
20173,411,119,2.0,13,13,0
20524,423,181,0.0,21,21,0
20899,432,166,0.0,22,22,0
21611,453,178,0.0,20,20,0
21800,460,172,10.0,9,9,0
21913,463,181,0.0,25,25,0
22852,486,206,0.0,33,33,0
43516,838,677,0.0,50,50,0
43831,829,764,0.0,31,31,0
43945,830,728,0.0,77,77,0
43954,830,626,0.0,25,25,0
43986,831,704,2.0,16,16,0
44096,832,449,0.0,78,78,0
44469,822,615,0.0,88,88,0
44598,823,748,0.0,79,79,0
44783,809,520,0.0,22,22,0
44861,811,578,6.0,7,7,0
45037,813,677,0.0,71,71,0
46651,787,525,0.0,41,41,0
46716,788,525,0.0,43,43,0
46802,789,634,0.0,52,52,0
46841,790,483,0.0,56,56,0
46953,791,533,0.0,83,83,0
47150,779,526,0.0,62,62,0
48223,743,364,9.0,7,7,0
48949,698,358,22.0,3,3,0
49095,768,593,0.0,28,28,0
49336,772,578,30.0,1,1,1
49521,774,582,0.0,56,56,0
49827,749,511,3.0,13,13,0
49838,749,521,0.0,36,36,0
49859,749,373,0.0,58,58,0
50044,752,511,3.0,17,17,0
51095,701,289,15.0,2,2,1
51153,702,410,0.0,31,31,0
51371,707,383,0.0,19,19,0
51391,707,386,2.0,14,14,0
51565,801,675,0.0,33,33,0
51698,803,615,0.0,24,24,0
52070,807,615,0.0,30,30,0
52589,682,346,0.0,17,17,0
52959,660,262,0.0,15,15,0
52972,660,370,3.0,10,10,0
53134,666,321,0.0,27,27,0
53210,634,293,0.0,24,24,0
53493,642,243,3.0,20,20,0
53600,669,312,4.0,7,7,0
54171,627,290,0.0,20,20,0
54280,630,305,13.0,7,7,0
54690,653,224,3.0,16,16,0
54700,654,357,2.0,19,19,0
55050,614,223,1.0,15,15,0
55064,614,332,5.0,11,11,0
55148,616,262,0.0,24,24,0
55433,594,311,0.0,40,40,0
55498,596,289,1.0,16,16,0
55617,599,182,38.0,1,1,2
55840,603,223,52.0,2,2,1
55854,603,233,5.0,14,14,0
55959,604,207,0.0,25,25,0
56020,578,200,5.0,8,8,0
56352,587,252,7.0,10,10,0
56393,588,199,37.0,3,3,1
56641,564,232,0.0,31,31,0
57044,574,200,19.0,8,8,0
57653,541,207,64.0,1,1,6
57989,550,261,0.0,40,40,0
58360,558,223,5.0,17,17,0
58421,559,252,0.0,43,43,0
58668,519,200,1.0,15,15,0
58680,519,222,30.0,1,1,2
58878,525,233,0.0,26,26,0
59099,503,209,0.0,25,25,0
62364,762,560,0.0,56,56,0
63356,719,373,0.0,8,8,0
63595,726,438,0.0,22,22,0
63937,344,24,12.0,11,11,0
64402,842,30,2.0,12,12,0
64858,858,16,34.0,11,11,0
65403,875,10,0.0,19,19,0
65504,879,819,0.0,21,21,0
65967,899,818,13.0,15,15,0
66100,259,87,0.0,18,18,0
66381,267,50,8.0,8,8,0
66399,267,14,7.0,11,11,0
66411,268,94,4.0,19,19,0
66425,268,105,1.0,22,22,0
66738,905,813,0.0,22,22,0
66743,905,155,0.0,21,21,0
66820,909,815,29.0,11,11,0
66896,912,1,216.0,2,2,6
67546,945,4,11.0,17,17,0
67598,950,13,22.0,6,6,0
67679,953,828,0.0,20,20,0
67916,962,838,1.0,18,18,0
67962,964,4,42.0,11,11,0
68053,965,836,1.0,18,18,0
68105,948,821,0.0,20,20,0
68265,974,815,34.0,7,7,0
68443,982,13,31.0,11,11,0
