qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
22,18,19,8,19,22,1:29.059,,
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882
204,27,6,3,8,16,1:16.083,,
280,31,21,10,21,12,1:36.280,1:36.698,
305,32,7,5,14,17,1:46.389,,
343,34,3,3,7,15,1:36.434,1:36.210,
363,35,22,11,17,15,1:12.548,1:13.139,
364,35,6,3,8,16,1:12.800,,
391,37,13,6,5,1,1:35.340,1:34.454,1:35.043
493,41,18,11,7,15,1:17.522,1:17.541,
519,42,24,5,18,19,1:13.484,,
560,44,24,5,18,16,1:21.160,1:20.823,
655,49,8,6,6,1,1:46.242,1:45.070,1:45.994
750,53,32,9,15,8,1:34.308,1:32.106,1:33.112
777,54,15,7,8,13,1:35.517,1:34.702,
826,56,26,5,21,18,1:25.437,,
850,57,33,13,18,20,1:33.658,,
868,58,24,5,20,16,1:17.105,1:16.661,
893,59,11,8,22,19,1:17.276,,
1036,66,8,1,3,8,1:28.236,1:27.202,1:27.866
1038,66,17,3,9,10,1:28.307,1:27.608,1:29.436
1094,68,27,14,19,22,1:49.542,,
1114,69,11,8,22,20,1:33.666,,
1196,79,27,18,21,18,1:13.632,,
1245,82,2,3,8,7,1:15.403,,
1268,83,11,16,4,10,1:21.787,,
1311,85,32,9,15,13,1:22.532,,
1317,85,39,17,19,19,1:25.859,,
1376,88,31,1,10,18,,,
1423,109,22,6,2,5,1:37.579,,
1450,125,15,4,14,12,1:37.920,,
1467,140,11,17,10,7,1:33.090,,
1635,177,14,1,2,2,1:26.384,,
1685,192,23,17,10,8,1:18.735,,
1713,193,22,24,18,14,1:29.249,,
1730,199,65,15,15,9,1:25.084,,
1795,203,49,3,2,9,1:50.686,,
1806,203,73,25,20,20,1:54.850,,
1838,208,49,3,4,8,1:16.971,,
1897,211,49,3,4,1,1:18.216,,
1988,215,30,6,5,4,1:21.977,,
2002,215,79,18,20,18,1:24.553,,
2023,216,75,20,15,17,1:44.112,,
2040,224,50,29,17,12,1:35.338,,
2058,225,56,6,2,10,1:19.951,,
2065,225,73,29,16,17,1:20.440,,
2080,226,56,6,2,10,1:32.058,,
2131,228,21,18,21,18,1:30.814,,
2233,242,57,1,8,6,1:28.343,,
2326,245,85,30,17,21,1:32.894,,
2376,247,63,25,3,23,1:48.639,,
2393,248,69,18,24,16,1:49.302,,
2396,248,89,29,10,19,1:49.892,,
2398,248,64,28,21,21,1:52.961,,
2405,249,77,6,28,4,1:18.059,,
2516,253,99,25,3,19,1:24.286,,
2520,253,90,28,22,23,1:26.098,,
2521,253,98,30,16,24,1:27.853,,
2555,255,22,17,14,10,1:40.381,,
2594,257,102,3,2,1,1:15.962,,
2610,257,77,6,28,17,1:18.855,,
2744,263,65,32,12,19,1:18.715,,
2757,264,22,17,14,6,1:26.271,,
2796,265,50,22,6,19,1:47.316,,
2827,266,65,32,12,24,1:22.705,,
2857,268,77,6,28,2,1:23.978,,
2865,268,50,22,6,10,1:25.618,,
2887,269,79,25,3,6,1:21.590,,
2932,270,101,31,31,25,1:27.201,,
3008,2,20,9,15,3,1:34.935,1:34.276,1:35.518
3054,4,3,3,16,9,1:33.672,1:33.166,1:35.134
3066,5,18,23,22,1,1:20.707,1:20.192,1:20.527
3127,8,22,23,23,2,1:19.325,1:18.335,1:19.856
3171,10,5,1,2,6,1:21.659,1:20.807,1:22.095
3173,10,18,23,22,8,1:21.471,1:20.707,1:22.511
3180,10,12,4,8,15,1:21.278,1:21.389,
3268,15,1,1,1,3,1:30.917,1:30.627,1:32.395
3332,337,30,131,3,7,1:55.593,1:55.105,1:55.524
3384,339,808,4,12,11,1:47.952,1:48.760,
3414,340,37,15,22,17,1:37.050,1:37.020,
3426,341,18,1,1,5,1:21.915,1:21.168,1:20.991
3427,341,30,131,3,6,1:22.528,1:21.557,1:21.294
3553,346,155,15,23,12,1:31.851,1:31.421,
3678,351,24,10,15,17,1:48.988,1:48.961,
3689,352,9,4,11,4,1:32.808,1:32.042,1:31.231
3712,353,4,6,8,3,1:37.144,1:36.287,1:35.766
3773,355,24,10,15,16,1:41.681,1:41.642,
3774,355,153,5,17,17,1:41.707,1:41.738,
3872,113,44,7,20,11,1:10.402,,
3890,114,17,19,14,9,1:16.237,,
3909,115,43,7,21,9,1:16.826,,
3943,117,30,6,1,3,1:15.480,,
4016,120,35,16,16,16,1:24.100,,
4035,121,51,19,15,15,1:23.484,,
4064,123,44,7,20,4,1:32.862,,
4084,90,18,16,9,4,1:24.998,,
4176,94,32,19,15,16,1:17.812,,
4227,97,22,6,2,7,1:13.562,,
4228,97,8,1,6,8,1:13.595,,
4332,102,14,1,5,12,1:20.897,,
4388,106,14,1,5,8,1:36.156,,
4395,106,22,6,2,15,1:38.637,,
4423,71,17,3,7,3,1:36.717,1:28.279,
4437,71,27,18,21,17,1:49.230,,
4457,72,39,17,19,17,1:37.806,1:39.850,
4460,72,27,18,21,20,1:40.432,1:42.569,
4503,75,4,4,5,3,1:14.811,1:16.880,
4544,841,13,6,6,8,1:26.031,1:25.611,1:25.599
4550,841,814,10,15,14,1:27.222,1:26.739,
4697,847,153,5,19,18,1:16.294,,
4704,848,20,9,1,1,1:39.116,1:37.305,1:36.975
4747,849,10,166,24,20,1:36.203,,
4759,850,16,10,14,8,1:32.286,1:31.809,1:32.010
4785,851,815,15,17,10,1:23.067,1:22.157,
