circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-парк,Гран-при Альберт-парка,Мельбурн,Австралия,-37.8497,144.968,10.0,ХОККОНЕЙ - МЕЛЬБЕРНЭККОУДИЛМАНОРАДРИЗЗЗУЧХОХЧИНЧХИХЧХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ
2,Сепанг,Спа-интернациональная трасса,Кuala-Лумпур,Малайзия,2.76083,101.738,,Сепангский международный автодром
3,Бахрейн,Международный трасс Bahrain,Сахир,Бахрейн,26.0325,50.5106,,"Указанная вами веб-страница содержит информацию о Бахрейнской международной трассе, которая используется для автогонок. Ниже приведена перевод контента этой страницы на русский язык:

Бахрейнская международная трасса — это автодром, расположенный в Бахрейне, который используется для проведения Гран-при Бахрейна, являющегося частью чемпионата мира по автогонкам в классе «Формула-1». Трасса была спроектирована знаменитым инженером Хербертом Мюллером и впервые использовалась на Гран-при Бахрейна 2004 года.

Трасса протяженностью 5,412 км проходит вокруг острова Сахир в Персидском заливе. Она известна своими быстрыми поворотами и прямыми участками, что делает ее идеальной для гонок «Формула-1». Трасса также используется для проведения других автоспортивных событий, таких как гонки GT и open-wheel гонок.

В 2010 году была проведена модернизация трассы, в ходе которой были внесены изменения в конфигурацию, включая расширение поворотов и улучшение дренажной системы. Эти изменения направлялись на повышение безопасности и улучшение зрелищности гонки.

Гран-при Бахрейна обычно проводится в конце сезона «Формула-1» и привлекает участников и болельщиков со всего мира. Трасса также используется для проведения других мероприятий, таких как концерты и выставки."
4,Каталанска,Кірк де Барселона-Каталанья,Монмело,Испания,41.57,2.26111,,Кирпич de Барселона-Каталония
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк Стамбула́
6,Монако,Шоссе де Монако,Монте-Карло,Монако,43.7347,7.42056,,"Шоссейная трасса Монако — это городской уличный трековый автодром, расположенный в Principality of Monaco, который используется для Formula One Grand Prix Monaco и других гоночных мероприятий. Трасса простирается на 3,795 км (2,360 миль) и проходит через более узкие участки и открытые участки с длинными прямыми."
7,Вилневиль,Шоссе Гиллес Вильнёв,Монреаль,Канада,45.5,-73.5228,,Кирку Виллевенюва
8,магни-курс,Круг Невера Магни-Курса,Магни-Корс,Франция,46.8642,3.16361,,Уикипедия: Circuit de Nevers Magny-Cours
9,Сильверстоун,Сильверстоун,Серебрястоун,Великобритания,52.0786,-1.01694,,Силверстоунский автодром
10,Хоккенхаймринг,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Венгерский язык,Хунгароринг,Будапешт,Венгрия,47.5789,19.2486,,Хунгароринг
12,Валенсия,Улица Валенсия,Валенсия,Испания,39.4589,-0.331667,,Круговая дорога Валенсии
13,спа,Циркут Спа-Франкоршам,Спа,Бельгия,50.4372,5.97139,,Кирк де Спа-Франкоршамп
14,Монца,Автонагляд Ньурба́рго,Монца,Италия,45.6156,9.28111,,Автово-дром «Национале Монца»
15,Марина-Бэй,Марина-Бэй-Стрит-Циркит,Марина-Бэй,Сингапур,1.2914,103.864,,Марина-Бэй-Стрит-Циркут
16,фудзи,Фудзи-свидром,Оямама,Япония,35.3717,138.927,,"Фудзи-сопрिंт ( Fuji Speedway ) — автодром, расположенный в предгорьях горы Фудзи в Японии . Это место проведения « 24 часов Фудзи » — одной из самых известных гонок на выносливость в мире."
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
18,Интерлагос,Автодром Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автомагистраль Хосе Карлос Пейс
19,Индианаполис,Индианаполис Мотор Спидвей,Индианаполис,США,39.795,-86.2347,,Индианаполис Мотор Спидвей
20,Нюрнбург,Нюрбургринг,Нюрнбург,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автодром Энцо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Автоудобряющий автодром Энзо и Дино Феррари
22,Сузука,Сузука-циркут,Сузука,Япония,34.8431,136.541,,Сузука-рэйсинг-карс
23,Австрийский франк,Кольцо А1,Спайсербург,Австрия,47.2197,14.7647,,А1-Ринг
24,ясная Марина,Яс-Марина-Крик,Абу-Даби,ОАЭ,24.4672,54.6031,,Яс-Марина-трасса
25,Галвес,Автомагистраль Хуан и Оскар Гальвес,Буенос-Айрес,Аргентина,-34.6943,-58.4593,,Автоударомос Оскар Альфредо Гальвес
26,Херес,Циркуто де Хереньяс,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,Круговой автодром в Хересе
27,Эсторил,Автомагистраль Эсторил,Эсторил,Португалия,38.7506,-9.39417,,Автовоенболе Эсториал
28,Окаяма,Окаяма Интернешнл Сэкит,Окаяма,Япония,34.915,134.221,,"Круговой электрический материал (ЦЭМ) — это тип электронного компонента, используемого для усиления и переключения электронных сигналов. Он состоит из двух или более проводящих слоев, разделенных диэлектриком, и обычно используется в высоких частотах. ЦЭМ-шины используются в различных приложениях, включая радиоприемники, передатчики и осциллографы."
29,Аделаида,Аделаидская уличная гоночная трасса,Аделаида,Австралия,-34.9272,138.617,,Аделаидский уличный трасс
30,Кьялами,Кьялами,Мидранд,Южная Африка,-25.9894,28.0767,,Кьялами
31,Донингтон,Донингтон-Парк,Замок Донингтон,Великобритания,52.8306,-1.37528,,"Донингтон-Парк — это автодром в Донингтоне, Ноттингемшир, Англия. Он расположен примерно в 20 км к северу от Ноттингема и 35 км к востоку от Ковентри."
32,Родригес,Автовоедка «Херос Родригес»,Мексико-Сити,Мексика,19.4042,-99.0907,,Автомагистраль Герреро Родригес
33,Финикс,Финиксская уличная трасса,Финикс,США,33.4479,-112.075,,"Википедия: Пхекс-Сити-Хайвей — это уличная гонка, которая проходит на городской трассе в Аризоне, США. Это ежегодное событие, которое проводится в рамках чемпионата Indycar и привлекает десятки тысяч зрителей. Трасса проходит через центр Финикса, предлагая уникальный опыт гонок на улицах для пилотов и зрителей."
34,Рикард,Кирпич Пола Рикарда,Кастель-ле-Хантюр,Франция,43.2506,5.79167,,Паль-Рикард-Циркут
35,"Вы можете объяснить контекст этого запроса? Это, похоже, корейский термин, и я не уверен, как его перевести без дополнительного контекста. Пожалуйста, предоставьте дополнительные сведения или контекст, чтобы я мог помочь вам лучше.",Международный шоссе Кореи,Янгам,Корея,34.7333,126.417,,https://ru.wikipedia.org/wiki/Корейский_международный_циркет
36,Якарепагуа,Автодром Интернэшнл Нельсон Пике,Рио-де-Жанейро,Бразилия,-22.9756,-43.395,,Автомагистраль Нельсон Пике
37,Детройт,Детройтский уличный circuit,Детройт,США,42.3298,-83.0401,,https://ru.wikipedia.org/wiki/Детройтский_уличный_окружной
38,бренды_хэтч,Брендс-Хэтч,Кент,Великобритания,51.3569,0.263056,,Брэндс Хэтч
39,Зандворт,Циркут Парка Зандвоорт,Зандворт,Нидерланды,52.3888,4.54092,,Зандвортский трасс
40,зольдер,Золдер,Хусден-Золдер,Бельгия,50.9894,5.25694,,Золдер
41,Дижон,Дижон-Преной,Дижон,Франция,47.3625,4.89913,,Дижон-Преной
