driverid,driverref,number,code,forename,surname,dob,nationality,url
1,Хамильтон,44.0,ХАМ,Льюис,Хамилтон,1985-01-07,Британский,Леви Хэмилтон
2,Хейдельфельд,,Привет,Ник,Хайдфельд,1977-05-10,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Ник Хайдфельд
3,Россберг,6.0,RoSc,Никко,Роскберг,1985-06-27,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Нико Росберг
4,Алонсо,14.0,Ало,Фернандо,Алонсо,1981-07-29,Translate from English to Spanish.,Фернандо Алонсо
5,Ковалейнен,,КОВ,Хеики,Коваленин,1981-10-19,финский,Хеики Ковалайнен
6,Накадзима,,НАК,Казуки,Накаджима,1985-01-11,Японский,"Казуки Накаджима — японский актёр и певец. Он родился 20 сентября 1987 года в Токио и дебютировал в актёрской карьере в 2005 году, с тех пор сыграв более чем в сорока фильмах и телевизионных сериях. Он также известен как вокалист группы D'ESPRESSO и как участник поп-группы S/A/N/D."
7,Бурдейс,,БОУ,Себастьян,Бурдаи,1979-02-28,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Себастьян Фадлей Бурдье
8,райкконен,7.0,Рай,Кими,Кейми Райкконен,1979-10-17,финский,Кими Райкконен
9,Кубица,,Куб,Роберт,Кубица,1984-12-07,Польша,Роберт Кубица
10,Глок,,ГЛ,Тимо,Глок,1982-03-18,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Тимо Глок
11,Сато,,САТ,Такума,Сато,1977-01-28,Японский,Такума Сато
12,Пике-младший,,ПИК,Нельсон,Пике-младший,1985-07-25,Бразилец,Нельсон Пике-младший
13,масс-,19.0,МАС,Фели́пе,Массса,1981-04-25,Бразилец,Филипе Маса
14,Култхард,,COУ,Дэвид,Култхард,1971-03-27,Британский,Давид Култхард
15,трулли,,Ало! Как я могу вам помочь сегодня?,Ярно,Трулли,1974-07-13,Итальянский,Ярно Трулли
16,Сутиль,99.0,СУТ,Адриан,Сутиль,1983-01-11,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Адриан Сутиль
17,Веббер,,Веб,Марк,Веббер,1976-08-27,Австралийский,Марк Веббер
18,кнопка,22.0,ОТПРАВЕ,Дженсон,Кнопка,1980-01-19,Британский,Джессика Хэнсон Баттон
19,Дэвидсон,,Дав,Антони,Дайсон,1979-04-18,Британский,Антони Дэвидсон
20,Веттель,5.0,Ветер,Себастьян,Веттель,1987-07-03,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Себастьян Феттель
21,фише́лла,,ФИС,Джанкарло,Фишелла,1973-01-14,Итальянский,Гиaнкaрo Фицeллa
22,Баррикелло,,Бар,Ребен,Баррикелло,1972-05-23,Бразилец,Рубенс Баррикелло
23,Ральф Шумахер,,Ш,Ральф,Шумахер,1975-06-30,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Ральф Шумахер
24,Лиюзи,,ЛЮ,Витантонио,Льюиси,1980-08-06,Итальянский,Витантонио Лиuzzi
25,Урс,,Ур,Александр,Урс,1974-02-15,Австрийский,Александр Вурц
26,скорость,,СПЕД,Скотт,Скорость,1983-01-24,Американский,Скотт Спид
27,Альберс,,АЛБ,Кристиян,Альберс,1979-04-16,Нидерландский,Християн Альберс
28,Маркус_Винкельхокк,,УИН,Маркус,Винкельхок,1980-06-13,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Маркус Виндехок
29,Ямато,,ЯМ,Сакон,Ямато,1982-07-09,Японский,Сакон Yamamoto
30,Михаэль Шумахер,,МСК,Майкл,Шумахер,1969-01-03,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.","Майкл Шумахер

Майкл Фэйтберн Шумахер (English: Michael Fatebner Schumacher; род. 20 января 1969 года) — немецкий гонщик, бывший пилот команды «Формулы-1» «Бмв-Заубер», чемпион мира 1994 и 1995 годов, семикратный победитель «Гран-при» («Гран-при» Германии).

Шумахер родился 20 января 1969 года в Хемнице (ГДР), в семье инженера по профессии Карла Шумахера. Его мать — Гюнтер Шайдер, была сотрудницей местного клуба «Трактаре», где он провёл часть детства, занимаясь футболом и катаниемся на коньках[3].

В 10 лет Шумахер начал выступать в картинге, в 16 лет стал чемпионом Германии среди юниоров. В 1987 году он дебютировал в европейском чемпионате «Формула-Форд», а через год уже выиграл общий зачёт турнира. В том же 1988 году он стал третьим в чемпионате «Формула-3» за рулём автомобиля команды «Джордан», а следующий сезон — вице-чемпионом, выступая за команду «Бмв-Заубер».

В 1991 году Шумахер дебютировал в «Формуле-1» в составе команды «Бмв-Заубер». В своём первом сезоне он завоевал поул-позицию и подиум на Гран-при Бельгии, а также первый круг в гонке на Гран-при Италии. По итогам сезона он занял 7 место в чемпионате, показав отличную скорость и демонстрируя потенциал.

В 1992 году Шумахер стал бронзовым призёром чемпионата. Он выиграл три гонки и показал несколько подиумов, но его сезон был омрачен серьезной аварией на Гран-при Бельгии. В гонке на влажном треке Шумахер попал в разворот и столкнулся с Айртоном Сенной. Из-за аварии бразилец получил травму ноги, из-за которой пропустил вторую половину сезона.

В 1993 году Шумахер стал вице-чемпионом, уступив только Алену Просту. Он выиграл три гонки и показал отличную скорость на протяжении всего сезона. Его выступления привлекли внимание команды «Бенеттон», которая подписала с ним контракт на следующий сезон.

В 1994 году Шумахер стал чемпионом мира в составе «Бенеттона». Он выиграл пять гонок и показал доминирование на протяжении всего сезона, что вызвало подозрения у других команд. В частности, команда «Формулы-1» «威廉с» обвинила «Бенеттон» в использовании запрещенных технологий, но доказать это не удалось.

В 1995 году Шумахер защитил титул чемпиона в сложном сезоне, в котором он столкнулся с проблемой усталости шин и часто уступал победу на последних кругах гонок. Несмотря на это, он выиграл шесть гонок и стал чемпионом.

В 1996 году Шумахер перешёл в команду «Федерали» и сразу же завоевал поул-позицию на Гран-при Бельгии. Однако в гонке он сошел из-за проблем с двигателем, и его сезон был омрачен постоянными техническими проблемами. Несмотря на это, он все равно финишировал в очковой зоне пять раз и занял 7 место в чемпионате.

В 1997 году Шумахер вернулся в команду «Бенеттон», где выступал до 2000 года. В сезоне 1998 года он был близок к завоевательству титула, но из-за ошибки команды в подаче топлива он потерял победу на Гран-при Европы и в итоге финишировал третьим в чемпионате.

В 2000 году Шумахер перешёл в команду «Формулы-1» «Бмв-Заубер», в которой выступал до 2006 года. В первом сезоне в команде он финишировал четвертым в чемпионате, выиграв два этапа. В следующем сезоне он был близок к завоевательству титула, но из-за аварии на Гран-при США потерял шансы на победу.

В 2001 году Шумахер выиграл семь гонок и стал вице-чемпионом мира. Он был близок к завоевательству титула в 2002 и 2003 годах, но финишировал третьим в обоих сезонах. В 2004 году он выиграл шесть гонок и завоевал свой пятый титул чемпиона, превзойдя рекорд Аленона Проста.

В 2006 году Шумахер перешёл в команду «Формулы-1» «Тойота», где выступал до конца 2008 года. В своем последнем сезоне он финишировал далеко в чемпионате, не выиграв ни одной гонки и показав лишь два подиума.

После завершения карьеры в «Формуле-1» Шумахер стал успешным предпринимателем, инвестируя в различные проекты и открывая собственную команду по гонкам на грязи «Schumacher Motorsport». Он также стал активным участником благотворительных мероприятий и основал собственный фонд «Шумахер Кидз», направленный на поддержку детей с ограниченными возможностями.

В 2010 году Шумахер был назначен консультантом по гонкам команды «Мерседес», а в 2013 году стал главой отдела гоночных технологий компании BMW. В 2014 году он вернулся в команду «Формулы-1» «Мерседес» в качестве не выполняющего управленческие функции сотрудника, консультируя команду по вопросам траекторий и шин.

Шумахер считается одним из величайших гонщиков в истории «Формулы-1». Он выиграл семь чемпионских титулов, 91 гонку и показал 68 подиумов. Его рекорды были побиты лишь в 2020 году Льюисом Хэмилтоном. Шумахер также известен своим агрессивным стилем вождения и умением ехать на низком давлении шин, что принесло ему прозвище «Ледяной человек» (English: Ice Man).

Шумахер был включен в Зал славы «Формулы-1» в 2012 году, а в 2014 году получил награду BAFTA за свой вклад в спорт. Он также был награжден орденом Пур 르 메ри́т и орденом Засл — двумя из самых престижных наград Германии.

В декабре 2016 года Шумахер получил серьезную травму головы во время катания на лыжах во Франции. Он провел несколько месяцев в коме и столкнулся с трудностями при реабилитации, но в конечном итоге смог вернуться к своей деятельности.

Шумахер женат дважды: сначала на Эди Хёрр (English: Eddie Hirr) — модели и актрисе, от которой у него два сына (род. 1994 и 1996), а затем на корейской бизнес-вумен Хёнми Хан (Korean: 한혜미) (род. 1982), с которой он развелся в 2017 году[4].

В июне 2018 года Шумахер был признан виновным в нарушении правил дорожного движения и оштрафован на 10 500 евро, а также лишен водительских прав на два года[5]."
31,Монтоя,,Понедельник,Хуан,Пабло Монтанья,1975-09-20,Колумбийский,Хуан Пабло Монтоя
32,клиент,,КЛИ,Кристиан,Клиент,1983-02-07,Австрийский,Христиан Кленн
33,Монтиро,,TMO,Тиаго,Монтеиро,1976-07-24,Portугальский,Тиагу Монтеро
34,идёт,,IDE — интегрированная среда разработки,Юити,Иде,1975-01-21,Японский,Иде Юджи
35,Вилневиль,,ВИЛ,Жак,Виллемсдеик,1971-04-09,Канадский,Жак Вильнев
36,Монтанги,,ФМО,Франк,Монтаньи,1978-01-05,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Франк Монтье
37,роза,,ДЛР,Педро,де ла Роса,1971-02-24,Translate from English to Spanish.,Педро де ла Роса
38,дурно,,"Да, я могу помочь с переводом. Скажите, пожалуйста, что вам нужно перевести?",Роберт,Дорнбос,1981-09-23,Нидерландский,Роберт Дорнбос
39,Картикайкан,,КАР,Нараин,Картикихан,1977-01-14,Индийский,Нараин Картикиян
40,Фрайсахер,,Привет! Как твои дела?,Патрик,Фрайсахер,1980-09-26,Австрийский,Патри́к Фрайса́хер
41,Зонта,,ЗОН,Рикардо,Зонта,1976-03-23,Бразилец,Рикардо Зонта
42,Пиззония,,Пицца,Антонио,Пиззония,1980-09-11,Бразилец,Антонио Пиззония
43,Мэтта,,,Криштияну,Мата,1973-09-19,Бразилец,Крисстьяно да Матта
44,хлеб,,,Оливер,Панис,1966-09-02,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Оливер Панис
45,пантано,,,Джорджо,Пантано,1979-02-04,Итальянский,Джорджо Пантеано
46,Бруни,,,Гиано-Мария,Бруни,1981-05-30,Итальянский,Джианмария Бруни
