constructorid,constructorref,name,nationality,url
2,BMW Sauber,БएमВ Саубер,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",BMW Sauber
5,Тора-Россо,Торо Россо,Итальянский,Скудерия Торо Россо
6,Феррари,Феррари,Итальянский,Скудерия Феррари
7,Toyota,Тойота,Японский,Википедия на русском: Toyota Racing
9,ред-болл,Ред Булл,Австрийский,"""Red Bull Racing"""
10,Форс Индии,Форс Индия,Индийский,Формулы Индийцы
13,МФ1,МФ1,Добро пожаловать! Как я могу вам помочь сегодня?,Midленд F1 Racing
17,Иордания,Иордания,ирландский,Гран-при Иордании
19,Ягуар,Ягуар,Британский,Джагуар Рейсинг
20,просто,Просто,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?","Википедия: Prost Grand Prix — французская гоночная команда и конструктор, участвовавший в чемпионатах мира по автогонкам в классе «Формула-1» в 1997—2001 годах. Основателем команды был французский предприниматель и бывший гонщик Рено и Лига-Джи Жан-Пьер Прост."
21,стралки,Стрелки,Британский,https://ru.wikipedia.org/wiki/Арровз_Гран-при_ Интернэшнл
22,Бенеттон,Бенеттон,Итальянский,Википедия: Benetton Formula
25,Тиррелл,Тиррелл,Британский,https://ru.wikipedia.org/wiki/Тиррел
26,Лола,Лола,Британский,"Лола — это виртуальный персонаж, созданный компанией MasterCard в сотрудничестве с компанией-разработчиком игр EA Sports для продвижения их совместной игры FIFA 14 и поощрения безопасных методов оплаты в Интернете. Лола представлена как 20-летняя девушка латиноамериканского происхождения, живущая в Майами. Она была разработана, чтобы представлять «добро» в игре, помогая игроку с советами и подсказками по мере их продвижения через различные режимы игры. Персонаж был создан, чтобы привлечь молодую аудиторию и помочь повысить осведомленность о безопасных онлайн-платежах."
28,форти,Форти,Итальянский,Форти
29,подвал,Футворк,Британский,Футворки стрелки
30,Тихоокеан,Тихоокеан,Британский,太平洋 гоночная команда
33,Ларрусс,Ларрусс,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Ларрусс
35,Даллара,Даллара,Итальянский,Даллара
36,фондметалл,Фондметал,Итальянский,Фондметал
42,колонии,Колони,Итальянский,http://ru.wikipedia.org/w/index.php?title=Система_автомобилей_для_гонок_Энцо_Колони&oldid=76850342
45,Оселла,Оселла,Итальянский,Оселла
46,Оникс,Оникс,Британский,Оникс (гоночная команда)
48,Испытательный,Риал,"Я не могу перевести это предложение, потому что в нем есть символы, которые я не распознаю. Пожалуйста, перефразируйте запрос или предоставьте текст без специальных символов для перевода.",Риал (гоночная команда)
50,рамка,РАМ,Британский,Двигатель RAM-1000
52,дух,Дух,Британский,Википедия: Spirit (гоночная команда)
62,Ребаке,Ребаке,Мексиканский,Ребаке
