constructorresultsid,raceid,constructorid,points,status
105,28,1,14.0,
499,64,5,0.0,
514,65,3,0.0,
527,67,1,8.0,
1064,120,16,0.0,
1103,124,7,1.0,
1147,128,16,0.0,
1182,131,18,0.0,
1274,140,4,1.0,
1381,150,1,3.0,
1444,155,1,0.0,
1450,156,22,0.0,
1779,186,15,0.0,
1919,199,1,6.0,
2005,206,21,0.0,
2307,234,1,2.0,
2310,234,15,0.0,
2326,236,1,4.0,
2343,237,18,0.0,
2412,243,18,0.0,
2552,255,27,2.0,
2558,255,28,0.0,
2728,268,6,6.0,
2733,268,22,0.0,
2772,271,17,2.0,
2920,282,32,0.0,
3010,289,33,0.0,
3058,292,32,0.0,
3143,297,38,0.0,
3296,307,36,0.0,
3539,321,6,0.0,
3769,333,45,0.0,
3795,335,27,0.0,
3818,336,32,0.0,
3874,6,6,11.0,
3948,13,2,2.0,
3976,16,23,5.0,
4010,357,45,0.0,
4178,365,48,0.0,
4373,375,25,0.0,
4498,382,48,0.0,
4501,383,6,15.0,
4768,399,27,0.0,
4826,403,18,0.0,
4828,403,45,0.0,
4900,409,26,0.0,
4939,412,49,0.0,
5072,422,3,2.0,
5315,438,45,0.0,
5335,440,3,1.0,
5421,446,1,15.0,
5588,457,32,0.0,
5651,461,55,0.0,
5954,480,27,0.0,
6054,486,37,0.0,
6113,490,1,6.0,
6143,491,6,0.0,
6175,493,57,0.0,
6481,514,25,4.0,
9656,773,105,0.0,
10062,754,167,0.0,
10556,722,176,1.0,
10577,724,172,6.0,
10947,704,11,1.0,
11092,692,181,1.0,
11237,687,6,0.0,
11251,689,11,3.0,
11366,677,187,3.0,
11814,653,82,0.0,
12953,563,56,0.0,
12989,566,6,4.0,
13066,571,58,3.0,
13483,532,65,0.0,
13688,513,3,0.0,
13708,515,6,15.0,
13992,344,205,0.0,
14054,349,166,0.0,
14062,350,5,0.0,
14103,353,166,0.0,
14445,867,15,2.0,
15017,926,3,12.0,
15062,930,1,0.0,
15190,944,9,6.0,
15263,953,131,31.0,
15321,958,1,6.0,
15373,963,9,43.0,
15375,963,6,12.0,
15412,966,1,0.0,
