inventory_id,film_id,store_id,last_update
101,20,1,2006-02-15T04:09:17
123,24,1,2006-02-15T04:09:17
153,31,2,2006-02-15T04:09:17
157,34,2,2006-02-15T04:09:17
165,35,2,2006-02-15T04:09:17
185,42,2,2006-02-15T04:09:17
215,48,2,2006-02-15T04:09:17
231,51,2,2006-02-15T04:09:17
247,55,2,2006-02-15T04:09:17
275,61,1,2006-02-15T04:09:17
279,62,2,2006-02-15T04:09:17
324,72,2,2006-02-15T04:09:17
389,86,1,2006-02-15T04:09:17
423,93,2,2006-02-15T04:09:17
454,100,1,2006-02-15T04:09:17
459,101,1,2006-02-15T04:09:17
484,107,2,2006-02-15T04:09:17
520,115,1,2006-02-15T04:09:17
523,115,2,2006-02-15T04:09:17
554,121,1,2006-02-15T04:09:17
557,121,2,2006-02-15T04:09:17
562,122,1,2006-02-15T04:09:17
602,131,1,2006-02-15T04:09:17
617,134,2,2006-02-15T04:09:17
619,135,1,2006-02-15T04:09:17
623,135,2,2006-02-15T04:09:17
636,138,2,2006-02-15T04:09:17
737,161,1,2006-02-15T04:09:17
757,165,2,2006-02-15T04:09:17
776,169,2,2006-02-15T04:09:17
783,172,1,2006-02-15T04:09:17
816,177,2,2006-02-15T04:09:17
847,186,1,2006-02-15T04:09:17
988,220,1,2006-02-15T04:09:17
1033,231,2,2006-02-15T04:09:17
1035,231,2,2006-02-15T04:09:17
1120,248,2,2006-02-15T04:09:17
1144,253,1,2006-02-15T04:09:17
1188,265,1,2006-02-15T04:09:17
1194,266,1,2006-02-15T04:09:17
1205,267,2,2006-02-15T04:09:17
1208,269,1,2006-02-15T04:09:17
1297,286,2,2006-02-15T04:09:17
1301,287,1,2006-02-15T04:09:17
1323,292,2,2006-02-15T04:09:17
1332,294,2,2006-02-15T04:09:17
1349,298,1,2006-02-15T04:09:17
1387,304,1,2006-02-15T04:09:17
1435,314,1,2006-02-15T04:09:17
1438,314,2,2006-02-15T04:09:17
1453,319,1,2006-02-15T04:09:17
1464,320,2,2006-02-15T04:09:17
1499,328,2,2006-02-15T04:09:17
1515,331,1,2006-02-15T04:09:17
1525,333,2,2006-02-15T04:09:17
1559,342,1,2006-02-15T04:09:17
1594,349,2,2006-02-15T04:09:17
1603,350,2,2006-02-15T04:09:17
1648,360,1,2006-02-15T04:09:17
1667,364,1,2006-02-15T04:09:17
1728,376,2,2006-02-15T04:09:17
1730,377,1,2006-02-15T04:09:17
1830,397,2,2006-02-15T04:09:17
1855,403,2,2006-02-15T04:09:17
1891,412,1,2006-02-15T04:09:17
1912,416,1,2006-02-15T04:09:17
1914,416,2,2006-02-15T04:09:17
1917,417,1,2006-02-15T04:09:17
1923,418,1,2006-02-15T04:09:17
1930,418,2,2006-02-15T04:09:17
1932,420,1,2006-02-15T04:09:17
1938,421,2,2006-02-15T04:09:17
1958,427,1,2006-02-15T04:09:17
1981,432,1,2006-02-15T04:09:17
2035,443,2,2006-02-15T04:09:17
2042,444,1,2006-02-15T04:09:17
2094,454,1,2006-02-15T04:09:17
2121,460,1,2006-02-15T04:09:17
2138,462,2,2006-02-15T04:09:17
2171,468,2,2006-02-15T04:09:17
2296,500,1,2006-02-15T04:09:17
2366,515,2,2006-02-15T04:09:17
2376,518,2,2006-02-15T04:09:17
2386,521,1,2006-02-15T04:09:17
2422,528,1,2006-02-15T04:09:17
2424,529,1,2006-02-15T04:09:17
2434,531,2,2006-02-15T04:09:17
2462,538,2,2006-02-15T04:09:17
2488,545,2,2006-02-15T04:09:17
2532,556,1,2006-02-15T04:09:17
2571,563,1,2006-02-15T04:09:17
2619,574,2,2006-02-15T04:09:17
2669,586,1,2006-02-15T04:09:17
2779,610,1,2006-02-15T04:09:17
2834,621,2,2006-02-15T04:09:17
2841,623,2,2006-02-15T04:09:17
2850,625,1,2006-02-15T04:09:17
2868,628,2,2006-02-15T04:09:17
2869,629,2,2006-02-15T04:09:17
2876,631,1,2006-02-15T04:09:17
2909,639,2,2006-02-15T04:09:17
2948,647,1,2006-02-15T04:09:17
2957,648,2,2006-02-15T04:09:17
2998,657,2,2006-02-15T04:09:17
3043,667,2,2006-02-15T04:09:17
3127,687,2,2006-02-15T04:09:17
3153,692,2,2006-02-15T04:09:17
3204,704,2,2006-02-15T04:09:17
3228,709,1,2006-02-15T04:09:17
3257,716,2,2006-02-15T04:09:17
3349,735,2,2006-02-15T04:09:17
3405,746,2,2006-02-15T04:09:17
3408,747,2,2006-02-15T04:09:17
3451,757,1,2006-02-15T04:09:17
3462,759,2,2006-02-15T04:09:17
3477,762,2,2006-02-15T04:09:17
3483,763,2,2006-02-15T04:09:17
3486,764,1,2006-02-15T04:09:17
3488,764,2,2006-02-15T04:09:17
3518,771,1,2006-02-15T04:09:17
3531,773,1,2006-02-15T04:09:17
3544,775,1,2006-02-15T04:09:17
3580,783,1,2006-02-15T04:09:17
3601,787,1,2006-02-15T04:09:17
3614,789,2,2006-02-15T04:09:17
3618,790,1,2006-02-15T04:09:17
3635,793,1,2006-02-15T04:09:17
3699,809,2,2006-02-15T04:09:17
3727,815,1,2006-02-15T04:09:17
3731,816,1,2006-02-15T04:09:17
3736,816,2,2006-02-15T04:09:17
3748,820,1,2006-02-15T04:09:17
3779,827,2,2006-02-15T04:09:17
3782,828,2,2006-02-15T04:09:17
3798,832,1,2006-02-15T04:09:17
3809,834,2,2006-02-15T04:09:17
3832,839,2,2006-02-15T04:09:17
3854,843,2,2006-02-15T04:09:17
3888,849,2,2006-02-15T04:09:17
3933,857,2,2006-02-15T04:09:17
3943,859,2,2006-02-15T04:09:17
3951,862,1,2006-02-15T04:09:17
3997,870,2,2006-02-15T04:09:17
4007,873,1,2006-02-15T04:09:17
4039,879,2,2006-02-15T04:09:17
4072,887,2,2006-02-15T04:09:17
4075,888,1,2006-02-15T04:09:17
4080,890,1,2006-02-15T04:09:17
4113,894,2,2006-02-15T04:09:17
4152,902,1,2006-02-15T04:09:17
4161,904,1,2006-02-15T04:09:17
4188,911,2,2006-02-15T04:09:17
4201,914,1,2006-02-15T04:09:17
4291,935,2,2006-02-15T04:09:17
4307,938,1,2006-02-15T04:09:17
4313,939,2,2006-02-15T04:09:17
4322,941,2,2006-02-15T04:09:17
4336,945,1,2006-02-15T04:09:17
4363,951,2,2006-02-15T04:09:17
4366,952,1,2006-02-15T04:09:17
4560,995,1,2006-02-15T04:09:17
