film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,АКАДЕМИЯ ДИНСАУР,"Эпическая драма феминистки и безумного учёного, который должен сражаться с учителем в канадских скалах",2006,1,,6,0.99,86,20.99,ГУ,"Удалённые сцены, За сценами",2006-02-15T04:03:42
4,ПЕРСПЕКТИВНОЕ ДЕЙСТВИЕ,"Фантастический документальный фильм о фрисби и лумберджеке, который должен отследить обезьяну в акульем танке",2006,1,,5,2.99,117,26.99,G,"Комментаторы, За сценами",2006-02-15T04:03:42
5,АФРИКАНСКИЙ ЭГГ,"Быстрый документальный пастор-повар и дантист, который должен преследовать судебно-психиатра в Мексиканском заливе",2006,1,,6,2.99,130,22.99,G,Сцены удалены,2006-02-15T04:03:42
14,АЛИСИЯ ФАНТАЗИЯ,"Эмоциональная драма акулы и администратор базы данных, который должен победить пионера в Советской Грузии",2006,1,,6,0.99,94,23.99,НС-17,"Трейлеры, Изъятые сцены, За сценами",2006-02-15T04:03:42
15,ИНОСТРАННЫЙ ЦЕНТР,"Блестящая драма кота и безумного учёного, который должен сражаться с феминистом на конвенции MySQL",2006,1,,5,2.99,46,10.99,НС-17,"Прицепы, комментаторы, за сценами",2006-02-15T04:03:42
21,АМЕРИКАНСКИЙ ЦЕРКУС,"Разумная драма девушки и астронавта, которая должна встретиться с администратором базы данных в акульем танке",2006,1,,3,4.99,129,17.99,Р,"Комментаторы, За сценами",2006-02-15T04:03:42
28,АНТИМ ЛЮК,"Прикосновение к панораме официантки и женщины, которая должна выгнать собаку в заброшенном парке развлечений",2006,1,,5,4.99,91,16.99,ГУ-13,"Удалённые сцены, За сценами",2006-02-15T04:03:42
29,АНТИТРУТНЫЕ ПОТОМКИ,"Ужасная ярна женщины и феминистки, которые должны украсть администратора базы данных в древней Индии",2006,1,,5,2.99,168,11.99,НС-17,"Прицепы, комментаторы, изъятые сцены",2006-02-15T04:03:42
35,АРАХНОФОБИЯ РОЛЛЕОРЧЕСКИЙ ОХРАННИК,"Взятое в действие отражение пекарского шеф-повара и композитора, который должен открыть безумного стипендиата на первой пилотируемой космической станции",2006,1,,4,2.99,147,24.99,ГУ-13,"Трейлеры, Изъятые сцены, За сценами",2006-02-15T04:03:42
44,Ненавидят,"Быстрая панорама технического писателя и сумасшедшего стипендиата, который должен найти феминиста в заброшенном шахтном шафте",2006,1,,5,4.99,113,21.99,ГУ-13,"Прицепы, за сценами",2006-02-15T04:03:42
48,Задняя часть,"Потрясающий характер исследования безумного учёного и безумного коровы, который должен убить машину в монастыре",2006,1,,3,4.99,118,24.99,ГУ-13,"Прицепы, за сценами",2006-02-15T04:03:42
49,Плохой человек.,"Эмоциональная панорама пионера и композитора, который должен сбежать от безумного учёного в лодке",2006,1,,6,2.99,162,22.99,Р,"Прицепы, комментаторы, за сценами",2006-02-15T04:03:42
60,БЕЖЕНЦАТАЯ ГУМАНКА,"Побуждает благоговейный порыв студента и белки, которые должны позорить мальчика в Древнем Китае",2006,1,,3,4.99,89,22.99,Р,"Удалённые сцены, За сценами",2006-02-15T04:03:42
