id,year,coachid,award,lgid,note
1,1962,gallaha01,NBA Coach of the Year,NBA,
2,1963,hannual01,NBA Coach of the Year,NBA,
3,1964,auerbre01,NBA Coach of the Year,NBA,
4,1965,schaydo01,NBA Coach of the Year,NBA,
5,1966,kerrjo01,NBA Coach of the Year,NBA,
7,1967,gueriri01,NBA Coach of the Year,NBA,
9,1968,shuege01,NBA Coach of the Year,NBA,
12,1969,holzmre01,NBA Coach of the Year,NBA,
14,1970,mottadi01,NBA Coach of the Year,NBA,
16,1971,sharmbi01,NBA Coach of the Year,NBA,
18,1972,heinsto01,NBA Coach of the Year,NBA,
21,1973,scottra01,NBA Coach of the Year,NBA,
23,1974,johnsph01,NBA Coach of the Year,NBA,
25,1975,fitchbi01,NBA Coach of the Year,NBA,
26,1976,nissato01,NBA Coach of the Year,NBA,
27,1977,brownhu01,NBA Coach of the Year,NBA,
28,1978,fitzsco01,NBA Coach of the Year,NBA,
29,1979,fitchbi01,NBA Coach of the Year,NBA,
30,1980,mckinja01,NBA Coach of the Year,NBA,
31,1981,shuege01,NBA Coach of the Year,NBA,
32,1982,nelsodo01,NBA Coach of the Year,NBA,
33,1983,laydefr01,NBA Coach of the Year,NBA,
34,1984,nelsodo01,NBA Coach of the Year,NBA,
35,1985,fratemi01,NBA Coach of the Year,NBA,
36,1986,schulmi01,NBA Coach of the Year,NBA,
37,1987,moedo01,NBA Coach of the Year,NBA,
38,1988,fitzsco01,NBA Coach of the Year,NBA,
39,1989,rileypa01,NBA Coach of the Year,NBA,
40,1990,chanedo01,NBA Coach of the Year,NBA,
41,1991,nelsodo01,NBA Coach of the Year,NBA,
42,1992,rileypa01,NBA Coach of the Year,NBA,
43,1993,wilkele01,NBA Coach of the Year,NBA,
44,1994,harride01,NBA Coach of the Year,NBA,
45,1995,jacksph01,NBA Coach of the Year,NBA,
46,1996,rileypa01,NBA Coach of the Year,NBA,
