playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
mariosh01,Marion,Shawn,2006,West,NBA,1,22,18,5.0,3.0,8,4,2.0,0.0,2.0,0.0,15,9,0,0,1.0,0.0
mournal01,Mourning,Alonzo,2001,East,NBA,1,16,13,1.0,2.0,3,2,0.0,2.0,1.0,1.0,7,6,1,1,0.0,0.0
kiddja01,Kidd,Jason,1995,West,NBA,1,22,7,,,6,10,,,,,4,3,0,0,,
westje01,West,Jerry,1964,West,NBA,1,40,20,,,5,6,,,,,16,8,6,4,,
jonesst01,Jones,Steve,1971,West,ABA,1,19,9,1.0,1.0,2,3,,,1.0,0.0,7,3,2,2,1.0,1.0
mikange01,Mikan,George,1951,West,NBA,1,29,26,,,15,1,,,,,19,9,9,8,,
kiddja01,Kidd,Jason,1999,West,NBA,1,34,11,0.0,5.0,5,14,4.0,0.0,6.0,0.0,9,4,0,0,6.0,3.0
laniebo01,Lanier,Bob,1971,West,NBA,1,5,2,,,3,0,,,,,2,0,3,2,,
lucasje01,Lucas,Jerry,1967,East,NBA,1,21,16,,,5,4,,,,,9,6,4,4,,
wadedw01,Wade,Dwayne,2008,East,NBA,1,27,18,2.0,0.0,2,5,3.0,0.0,0.0,2.0,13,6,7,4,6.0,2.0
wanzebo01,Wanzer,Bob,1954,West,NBA,1,26,8,,,3,2,,,,,7,3,2,2,,
vandeki01,Vandeweghe,Kiki,1983,West,NBA,1,26,14,,,3,1,,,,,13,7,0,0,,
malonka01,Malone,Karl,1991,West,NBA,1,19,11,,,7,3,,,,,7,5,2,1,,
westje01,West,Jerry,1967,West,NBA,1,32,17,,,6,6,,,,,17,7,4,3,,
gervige01,Gervin,George,1983,West,NBA,1,21,13,,,2,1,,,,,6,5,3,3,,
hamilri01,Hamilton,Richard,2007,East,NBA,1,18,9,0.0,0.0,0,2,0.0,0.0,0.0,0.0,9,4,0,0,1.0,1.0
mcclate01,McClain,Ted,1973,East,ABA,1,25,12,2.0,1.0,3,4,2.0,0.0,1.0,3.0,8,6,0,0,0.0,0.0
costela01,Costello,Larry,1957,East,NBA,1,17,1,,,1,4,,,,,6,0,1,1,,
ladnewe01,Ladner,Wendell,1971,West,ABA,1,14,4,1.0,5.0,6,1,,,0.0,2.0,5,2,0,0,2.0,0.0
twymaja01,Twyman,Jack,1962,East,NBA,1,16,12,,,4,1,,,,,12,6,0,0,,
lovebo01,Love,Bob,1971,West,NBA,1,16,8,,,6,0,,,,,11,4,2,0,,
wilkido01,Wilkins,Dominique,1985,East,NBA,1,17,13,,,3,2,,,,,15,6,2,1,,
johnsne02,Johnston,Neil,1955,East,NBA,1,25,17,,,10,1,,,,,9,5,11,7,,
malonka01,Malone,Karl,2000,West,NBA,1,4,0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0
