charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
1,8842,484,2,1999-09-22T10:43:38,3263.0,28842,
2,5561,434,10,1999-07-14T10:43:38,336.0,5561,
3,4426,500,2,1999-09-14T10:43:38,1216.0,24426,
4,9939,497,8,1999-09-28T10:43:38,3770.0,29939,
5,7992,439,9,1999-10-09T10:43:38,4610.0,27992,
6,9663,386,2,1999-08-11T10:43:38,2087.0,9663,
7,5629,450,4,1999-10-13T10:43:38,2403.0,0,
8,5269,243,8,1999-07-12T10:43:38,3845.0,5269,
9,7894,283,2,1999-09-16T10:43:38,4152.0,27894,
10,8283,488,10,1999-09-28T10:43:38,1004.0,28283,
11,2184,406,8,1999-10-08T10:43:38,633.0,22184,
12,8864,424,8,1999-06-27T10:43:38,4563.0,8864,
13,8258,454,5,1999-07-26T10:43:38,4470.0,8258,
14,9593,489,2,1999-09-30T10:43:38,174.0,29593,
15,3186,494,9,1999-07-09T10:43:38,753.0,3186,
16,9036,498,6,1999-10-04T10:43:38,3777.0,29036,
17,2079,468,4,1999-09-09T10:43:38,2674.0,12079,
18,9092,464,5,1999-10-06T10:43:38,2216.0,29092,
19,9869,500,3,1999-07-18T10:43:38,2139.0,9869,
20,6763,211,4,1999-06-29T10:43:38,3872.0,6763,
21,7218,498,10,1999-10-04T10:43:38,405.0,27218,
22,9286,199,6,1999-08-06T10:43:38,4280.0,9286,
23,5893,432,6,1999-09-06T10:43:38,3697.0,15893,
24,6128,492,4,1999-06-21T10:43:38,1761.0,6128,
25,9640,292,4,1999-10T10:43:38,3837.0,29640,
26,6169,491,2,1999-09-08T10:43:38,3045.0,16169,
27,8781,429,9,1999-10-03T10:43:38,3867.0,28781,
28,8873,490,3,1999-06-24T10:43:38,3892.0,8873,
29,4364,482,10,1999-09-20T10:43:38,3675.0,24364,
30,6019,322,2,1999-06-29T10:43:38,4724.0,6019,
38,8877,431,10,1999-08-12T10:43:38,4331.0,8877,
44,9714,301,10,1999-10-01T10:43:38,2361.0,29714,
53,9965,444,10,1999-08-26T10:43:38,2591.0,19965,
62,3003,493,10,1999-07-21T10:43:38,3848.0,3003,
70,7965,496,10,1999-08-21T10:43:38,3326.0,17965,
73,8158,412,10,1999-10-04T10:43:38,1857.0,28158,
84,9764,494,10,1999-08-06T10:43:38,3559.0,9764,
98,9439,490,10,1999-08-10T10:43:38,2656.0,9439,
99,8046,469,10,1999-07-22T10:43:38,4192.0,8046,
121,9713,328,10,1999-06-20T10:43:38,4965.0,9713,
126,8727,497,10,1999-07-27T10:43:38,4380.0,8727,
140,9677,321,10,1999-07-22T10:43:38,4465.0,9677,
149,7296,492,10,1999-06-24T10:43:38,4539.0,7296,
154,6345,491,10,1999-09-28T10:43:38,2080.0,26345,
524309,8728,499,10,1999-09-21T10:45:29,2173.0,28728,
524315,1660,386,10,1999-09-05T10:45:29,573.0,11660,
524316,5813,496,10,1999-07-17T10:45:29,1301.0,5813,
524333,7888,498,10,1999-06-24T10:45:29,1654.0,7888,
524348,9905,493,10,1999-08-18T10:45:29,3297.0,19905,
524361,4812,452,10,1999-09-21T10:45:29,1363.0,24812,
524363,9368,314,10,1999-09-28T10:45:29,2308.0,29368,
524364,9728,411,10,1999-07-13T10:45:29,2339.0,9728,
524368,6390,495,10,1999-09-24T10:45:29,920.0,26390,
524369,6642,436,10,1999-08-22T10:45:29,2323.0,16642,
524390,9762,427,10,1999-07-15T10:45:29,2196.0,9762,
524395,5740,333,10,1999-10-13T10:45:29,3796.0,0,
524396,8081,450,10,1999-08-27T10:45:29,4403.0,18081,
524410,7973,396,10,1999-09-13T10:45:29,1069.0,27973,
524430,7561,498,10,1999-06-29T10:45:29,3523.0,7561,
524431,6397,489,10,1999-07-17T10:45:29,1053.0,6397,
524435,4895,469,10,1999-06-27T10:45:29,253.0,4895,
524443,8552,399,10,1999-08-28T10:45:29,3088.0,18552,
1048589,4138,497,10,1999-09-14T10:47:22,3594.0,24138,
1048596,9974,484,10,1999-09-22T10:47:22,4561.0,29974,
1048601,9616,485,10,1999-08-02T10:47:22,170.0,9616,
1048616,3327,499,10,1999-09-29T10:47:22,3067.0,23327,
1048624,7247,465,10,1999-07-24T10:47:22,216.0,7247,
1048629,9019,500,10,1999-07-03T10:47:22,2091.0,9019,
1048632,3023,491,10,1999-07-13T10:47:22,1002.0,3023,
1048638,3224,499,10,1999-08-05T10:47:22,2935.0,3224,
1048641,9078,435,10,1999/08-08T10:47:22,3569.0,9078,
1048643,8089,459,10,1999-07-14T10:47:22,3892.0,8089,
1048664,7913,460,10,1999-10-11T10:47:22,1963.0,27913,
1048699,9423,448,10,1999-07-18T10:47:22,3881.0,9423,
1048710,4678,418,10,1999-07-15T10:47:22,636.0,4678,
1048717,7113,466,10,1999-09-11T10:47:22,4526.0,17113,
1048719,8303,403,10,1999-07-20T10:47:22,3770.0,8303,
1048722,5007,485,10,1999-09-08T10:47:22,1152.0,15007,
1572874,9903,487,10,1999-10T10:49:14,3467.0,29903,
1572876,9023,382,10,1999-10-04T10:49:14,3505.0,29023,
1572883,4840,475,10,1999-08-03T10:49:14,4589.0,4840,
1572884,7045,311,10,1999-07-21T10:49:14,105.0,7045,
1572893,4239,448,10,1999-06-23T10:49:14,1714.0,4239,
1572900,8749,485,10,1999-06-20T10:49:14,3225.0,8749,
1572901,8998,499,10,1999-07-13T10:49:14,4175.0,8998,
1572945,9209,457,10,1999-07-17T10:49:14,1734.0,9209,
1572953,9695,318,10,1999-07-21T10:49:14,4380.0,9695,
1572956,7579,461,10,1999-08-27T10:49:14,1527.0,17579,
1572957,8939,366,10,1999-07-16T10:49:14,3343.0,8939,
1572963,8161,457,10,1999-06-24T10:49:14,1460.0,8161,
1572965,7946,500,10,1999-10-07T10:49:14,1475.0,27946,
1572970,9725,329,10,1999-06-21T10:49:14,2135.0,9725,
1572972,1841,470,10,1999-06-18T10:49:14,3517.0,1841,
1572986,7665,485,10,1999-09-17T10:49:14,116.0,27665,
1572988,9645,498,10,1999-09-27T10:49:14,3317.0,29645,
1572991,6947,333,10,1999-09-30T10:49:14,105.0,26947,
