schoolid,schoolname,schoolcity,schoolstate,schoolnick
masslowell,Университет Массачусетса в Лоэлле,Лоуэлл,МЭ,Ривер Хокс
colbyme,Колби-колледж,Ватервилл,Я,Олси
olddom,Старый Доминиканский Университет,Норфолк,"Да, я готова начать работу. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",Монархи
montreatnc,Колледж Монтреат,Монтреат,НГ,Кавальеры
glenvilst,Гленвиллский государственный колледж,Гленвилл,Западная Вирджиния,Пионеры
charlsouth,Университет Южной Чарльстона,Чарльстон,С,Пираты
philly,Филадельфийский университет,Филадельфия,ПА,Рамсы
monroecc,Колледж Монро,Брайтон,НЙ,Трифуны
stanselm,Колледж Святого Анслема,Манчестер,НХ,Сыры
lincolnmo,Университет Линкольна Миссури,Джеймст-Сити,МО,Синие тигры
norleans,Университет Нового Орлеана,Новый Орлеан,Лос-Анджелес,Пиратские суда
calpolypom,Калифорнийский הפולитехнический университет в Помбоне,Помона,Калифорния,Бронкос
miamifl,Университет Майами,Корал Гэйблс,ФЛ,Ураганы
flbarry,Университет Барри,Майами-Шорс,ФЛ,Пираты
bluefield,Колледж Блюфилд,Блюфилд,"Да, я готова начать работу. Пожалуйста, предоставьте текст для перевода с английского на русский язык.",Рамсы
tusculum,Колледж Тускуль,Гринвилл,ТН,Пионеры
middlbryvt,Колледж Миддлбри,Миддлберг,ВТ,Пантеры
cornell,Университет Корнелла,Итака,НЙ,Больший Красный
johnshpkns,Джонс Хопкинс Университет,Балтимор,МД,Блю Джейс
sindiana,Университет Южной Индианы,Эвансвилл,В,Стрижеки
niagara,Университет Ниагара,Льюисон,НЙ,Фиолетовые орлы
wiscmilw,Университет Висконсина — Милуоки,Милуоки,УИ,Пантеры
lanecol,Колледж Лейн,Джексон,ТН,Δράконы
riponwi,Колледж Рипон,Рипон,УИ,красные ястребы
ekentucky,Восточный университет Кентукки,Ричмонд,КЕ,Колонны
olivetmi,Колледж Оливет,Оливет,МИ,Кометы
wake,Универзитет Вэйк-Форест,Винстон-Салем,НГ,Демон-дьяконы
umbc,"Университет Мэрилленда, Балтиморский округ",Кэтонсвилл,МД,Спасатели
stjohns,Университет Святого Иоанна,Ямайка,НЙ,Огненный шторм
sandiego,Университет Сан-Диего,Сан-Диего,Калифорния,Торерос
lutheria,Лютерский колледж,Декора,Я,Нордс
nmhighland,Университет Нью-Мексико Хайлендс,Лас-Вегас,НМ,Кочевники
rosehulman,Институт Роуз-Хулман,Терре-Хавт,В,Инженеры
dickinson,Дикинсонский колледж,Карлайл,ПА,Красные дьяволы
providence,Провиденсский колледж,Прорвайденс,Ри,монахи
wabashin,Вабашский колледж,Крофтсвилл,В,Маленькие гиганты
wilbrforce,Университет Уилбера,Уильям Уилберфорс,О,Бульдоги
wmichigan,Западный Мичиганский университет,Каламацу,МИ,Бронкос
otterbein,Колледж Оттербейн,Вестервилл,О,Кардиналы
millersvil,Университет Миллера в Пенсильвании,Миллерсвилл,ПА,Бандиты
nicholls,Ничолс Стейт Университи,Тибодоукс,Лос-Анджелес,Колонны
