playerid,awardid,yearid,lgid,tie,notes
richabo01,TSN All-Star,1966,AL,,Двадцать два
justida01,Silver Slugger,1997,AL,,ОФ
marisro01,TSN Player of the Year,1960,AL,,
helmsto01,Rookie of the Year,1966,NL,,
collied01,Baseball Magazine All-Star,1920,ML,,Двадцать два
nichobi01,Baseball Magazine All-Star,1943,NL,,RF
doerrbo01,TSN All-Star,1944,ML,,Двадцать два
salmoti01,TSN All-Star,1997,AL,,ОФ
sabatcc01,ALCS MVP,2009,AL,,
hughste01,Baseball Magazine All-Star,1944,AL,,П3
knoblch01,TSN All-Star,1994,AL,,Двадцать два
jonesdo01,TSN Fireman of the Year,1992,NL,Да.,
fernato01,Gold Glove,1987,AL,,"К сожалению, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?"
davisto02,TSN All-Star,1974,AL,,ДХ
robindo01,Silver Slugger,1982,NL,,Привет! Чем я могу вам помочь?
reganph01,TSN Fireman of the Year,1968,NL,,
martipe02,TSN All-Star,2000,AL,,Правостороннее движение
mcgwima01,TSN All-Star,1996,AL,,1Б
mccanbr01,All-Star Game MVP,2010,NL,,
sundbji01,TSN All-Star,1978,AL,,C
hoopeha01,Baseball Magazine All-Star,1918,AL,,ОФ
riddlel01,Baseball Magazine All-Star,1941,ML,,Пять
clarkfr01,Baseball Magazine All-Star,1908,NL,,LF
penaca01,TSN All-Star,2007,AL,,1Б
wheatza01,Baseball Magazine All-Star,1924,NL,,LF
garcino01,Comeback Player of the Year,2006,NL,,
biggicr01,Gold Glove,1997,NL,,Двадцать два
bakerfr01,Baseball Magazine All-Star,1913,AL,,3В
marioma01,Baseball Magazine All-Star,1943,NL,,"К сожалению, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?"
cabremi01,Silver Slugger,2006,NL,,3В
strawda01,Silver Slugger,1988,NL,,ОФ
wellsve01,Gold Glove,2006,AL,,ОФ
hoytla01,TSN All-Star,1983,AL,,Правостороннее движение
blairpa01,Gold Glove,1973,AL,,ОФ
kammwi01,Baseball Magazine All-Star,1926,AL,,3В
chaveer01,Gold Glove,2002,AL,,3В
martipe01,Baseball Magazine All-Star,1935,ML,,3В
biggicr01,Roberto Clemente Award,2007,ML,,
kremera01,Baseball Magazine All-Star,1930,NL,,Т1
jenkife01,Cy Young Award,1971,NL,,
lynnfr01,TSN All-Star,1978,AL,,ОФ
murphdw01,TSN All-Star,1981,AL,,ОФ
loberha01,Baseball Magazine All-Star,1911,NL,,3В
reardje01,TSN Fireman of the Year,1987,AL,Да.,
boonebo01,Gold Glove,1989,AL,,C
bondsba01,TSN All-Star,2003,NL,,ОФ
robinbr01,Gold Glove,1962,AL,,3В
gordojo01,TSN All-Star,1948,ML,,Двадцать два
grimebu01,Baseball Magazine All-Star,1928,NL,,П3
dawsoan01,Rookie of the Year,1977,NL,,
davisma01,Rolaids Relief Man Award,1989,NL,,
musiast01,Most Valuable Player,1943,NL,,
fostege01,Most Valuable Player,1977,NL,,
elliobo01,Baseball Magazine All-Star,1947,ML,,3В
finlest01,Gold Glove,2004,NL,,ОФ
bondsba01,TSN All-Star,2002,NL,,ОФ
gibsoki01,ALCS MVP,1984,AL,,
martipe02,TSN All-Star,1999,AL,,Правостороннее движение
aaronha01,TSN All-Star,1956,ML,,ОФ
fellebo01,TSN Major League Player of the Year,1940,ML,,
rodriiv01,Silver Slugger,1996,AL,,C
posadjo01,TSN All-Star,2002,AL,,C
killeha01,TSN All-Star,1969,AL,,3В
olivato01,Rookie of the Year,1964,AL,,
johnsra05,TSN All-Star,2001,NL,,ЛКП
molitpa01,Lou Gehrig Memorial Award,1997,ML,,
robinfr02,World Series MVP,1966,ML,,
murphda05,Lou Gehrig Memorial Award,1985,ML,,
dawsoan01,Gold Glove,1983,NL,,ОФ
foxxji01,Baseball Magazine All-Star,1938,AL,,1Б
rossco01,NLCS MVP,2010,NL,,
cronijo01,TSN All-Star,1938,ML,,"К сожалению, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?"
grimebu01,Baseball Magazine All-Star,1920,NL,,P2
beltrad01,Gold Glove,2007,AL,,3В
cuyleki01,TSN All-Star,1925,ML,,ОФ
polleho01,Baseball Magazine All-Star,1946,NL,,Т1
