yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1906,PIT,NL,carisfr01,4,,4,4,0,4,0,0,0,0,0,0,0,0,,
2002,CIN,NL,acevejo01,6,5.0,6,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0
1945,PHI,NL,chetkmi01,4,,4,4,4,0,0,0,0,0,0,0,0,0,,
1993,SEA,AL,haselbi01,58,33.0,58,50,0,49,0,0,0,0,0,0,2,2,4.0,6.0
1998,PIT,NL,sanfoch01,14,5.0,14,7,0,0,0,1,5,1,0,0,0,0,0.0,8.0
1989,ATL,NL,eavega01,3,3.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1880,CN1,NL,bootham01,1,,1,1,0,0,0,0,1,0,0,0,0,0,,
1910,BOS,AL,bradlhu01,32,,32,32,0,3,21,0,0,0,0,0,1,1,,
1884,WS7,AA,trumbed01,25,,25,25,10,0,0,0,0,0,2,8,5,15,,
1937,BRO,NL,engliwo01,129,,129,129,0,0,0,11,0,116,0,0,0,0,,
1902,CIN,NL,phillbi02,38,,38,38,33,0,0,0,0,0,0,0,0,0,,
1912,CIN,NL,clarkto01,72,,72,72,0,63,0,0,0,0,0,0,0,0,,
1990,SFN,NL,kommibr01,8,0.0,8,7,0,0,0,0,0,0,2,2,3,7,0.0,1.0
2001,MIN,AL,hawkila01,62,0.0,2,62,62,0,0,0,0,0,0,0,0,0,0.0,0.0
1963,WS2,AL,quirkar01,7,,7,7,7,0,0,0,0,0,0,0,0,0,,
1992,SEA,AL,boonebr01,33,32.0,33,32,0,0,0,32,6,0,0,0,0,0,0.0,1.0
1916,CHN,NL,zwilldu01,35,,35,35,0,0,0,0,0,0,0,5,4,10,,
1988,PIT,NL,gonzade01,24,5.0,24,20,0,0,0,4,2,14,0,0,0,0,0.0,12.0
1986,BAL,AL,snellna01,34,0.0,0,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0
1958,BOS,AL,berbelo01,57,,57,57,0,49,0,0,0,0,0,0,0,0,,
1993,CLE,AL,levisje01,31,16.0,31,29,0,29,0,0,0,0,0,0,0,0,0.0,8.0
1990,NYA,AL,walewji01,9,1.0,9,4,0,0,0,2,2,1,0,0,0,0,0.0,1.0
1896,CHN,NL,mcbrial01,9,,9,9,0,0,0,0,0,0,9,0,0,9,,
1984,CHA,AL,reedro01,51,0.0,2,51,51,0,0,0,0,0,0,0,0,0,0.0,0.0
1950,BOS,AL,ferrida01,1,,1,1,1,0,0,0,0,0,0,0,0,0,,
1977,SEA,AL,meyerda01,159,153.0,159,159,0,0,159,0,0,0,0,0,0,0,0.0,3.0
1977,CHA,AL,flannjo01,7,1.0,7,5,0,0,0,0,1,4,0,0,0,0,0.0,1.0
1964,BOS,AL,radatdi01,79,,79,79,79,0,0,0,0,0,0,0,0,0,,
1891,WS9,AA,smithpo01,27,,27,27,0,0,0,19,4,5,0,0,0,0,,
1897,CIN,NL,hoydu01,128,,128,128,0,0,0,0,0,0,0,128,0,128,,
1911,PIT,NL,mckecbi01,104,,104,104,0,0,57,17,6,12,0,0,0,0,,
1976,CIN,NL,zachrpa01,38,28.0,38,38,38,0,0,0,0,0,0,0,0,0,0.0,0.0
2009,LAA,AL,hunteto01,119,118.0,119,115,0,0,0,0,0,0,0,115,0,115,4.0,1.0
1991,MON,NL,darliro01,3,3.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1881,PRO,NL,hinespa01,80,,80,80,0,0,1,4,0,0,0,78,0,78,,
1943,CHN,NL,johnsdo02,10,,10,10,0,0,0,10,0,0,0,0,0,0,,
2005,NYA,AL,escalfe01,10,3.0,10,10,0,0,1,1,3,5,0,0,0,0,0.0,0.0
1998,OAK,AL,voigtja01,57,13.0,57,49,0,0,27,0,2,0,9,10,2,20,0.0,10.0
1936,NY1,NL,mccarjo03,4,,4,4,0,0,4,0,0,0,0,0,0,0,,
2004,TOR,AL,milleju01,19,0.0,0,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0
1934,BSN,NL,zachato01,5,,5,5,5,0,0,0,0,0,0,0,0,0,,
1969,BAL,AL,adamsmi01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1957,SLN,NL,cunnijo01,122,,122,122,0,0,57,0,0,0,0,0,46,46,,
1997,CHN,NL,gonzaje01,23,21.0,21,23,23,0,0,0,0,0,0,0,0,0,0.0,0.0
2002,CHN,NL,hermach01,35,6.0,35,21,0,0,0,0,0,0,4,9,9,21,0.0,12.0
1978,OAK,AL,pagemi02,147,146.0,147,114,0,0,0,0,0,0,112,0,2,114,33.0,1.0
1987,SLN,NL,perrypa02,45,0.0,45,45,45,0,0,0,0,0,0,0,0,0,0.0,0.0
1954,BAL,AL,kryhodi01,100,,100,100,0,0,69,0,0,0,0,0,0,0,,
1915,PHA,AL,seiboso01,10,,10,10,0,0,0,0,0,7,0,0,0,0,,
2004,FLO,NL,cabremi01,160,159.0,160,158,0,0,0,0,0,0,59,0,100,158,1.0,1.0
2007,TOR,AL,zambrvi01,8,0.0,0,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0
1921,BRO,NL,ruethdu01,49,,49,49,36,0,0,0,0,0,0,0,0,0,,
1951,PIT,NL,lapalpa01,22,,22,22,22,0,0,0,0,0,0,0,0,0,,
1951,CHN,NL,borkobo01,58,,58,58,0,0,0,0,0,0,7,9,9,25,,
1914,BSN,NL,davisge02,9,,9,9,9,0,0,0,0,0,0,0,0,0,,
2001,TOR,AL,michach01,24,2.0,2,24,24,0,0,0,0,0,0,0,0,0,0.0,0.0
2003,ARI,NL,terrelu01,5,0.0,5,3,0,0,0,0,0,0,0,2,1,3,0.0,3.0
1952,SLN,NL,boyercl01,24,,24,24,23,0,0,0,0,0,0,0,0,0,,
1988,NYA,AL,stoddti01,28,0.0,0,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0
1983,CIN,NL,barnesk01,15,8.0,15,14,0,0,7,0,7,0,0,0,0,0,0.0,3.0
