yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1991,Алькс,MIN,AL,TOR,AL,4,1,0
2011,Да,SLN,NL,TEX,AL,4,3,0
1980,Да,PHI,NL,KCA,AL,4,2,0
1999,НДС2,NYN,NL,ARI,NL,3,1,0
1974,Да,OAK,AL,LAN,NL,4,1,0
1996,Алькс,NYA,AL,BAL,AL,4,1,0
1908,Да,CHN,NL,DET,AL,4,1,0
1945,Да,DET,AL,CHN,NL,4,3,0
1972,Да,OAK,AL,CIN,NL,4,3,0
1996,НДС2,SLN,NL,SDN,NL,3,0,0
1998,АЛДС2,NYA,AL,TEX,AL,3,0,0
2012,НЛCS,SFN,NL,SLN,NL,4,3,0
1984,Алькс,DET,AL,KCA,AL,3,0,0
2004,НЛCS,SLN,NL,HOU,NL,4,3,0
1913,Да,PHA,AL,NY1,NL,4,1,0
2003,Да,FLO,NL,NYA,AL,4,2,0
1995,АЛДС2,SEA,AL,NYA,AL,3,2,0
1905,Да,NY1,NL,PHA,AL,4,1,0
1980,НЛCS,PHI,NL,HOU,NL,3,2,0
1971,НЛCS,PIT,NL,SFN,NL,3,1,0
2006,НЛДС1,NYN,NL,LAN,NL,3,0,0
1907,Да,CHN,NL,DET,AL,4,0,0
1957,Да,ML1,NL,NYA,AL,4,3,0
2006,АЛДС1,DET,AL,NYA,AL,3,1,0
1987,НЛCS,SLN,NL,SFN,NL,4,3,0
1997,АЛДС1,CLE,AL,NYA,AL,3,2,0
2010,Алькс,TEX,AL,NYA,AL,4,2,0
1949,Да,NYA,AL,BRO,NL,4,1,0
1959,Да,LAN,NL,CHA,AL,4,2,0
1989,НЛCS,SFN,NL,CHN,NL,4,1,0
1929,Да,PHA,AL,CHN,NL,4,1,0
2003,НДС2,CHN,NL,ATL,NL,3,2,0
1922,Да,NY1,NL,NYA,AL,4,0,0
2003,АЛДС1,NYA,AL,MIN,AL,3,1,0
2005,НДС2,HOU,NL,ATL,NL,3,1,0
2009,АЛДС2,LAA,AL,BOS,AL,3,0,0
2012,НЛДС1,SLN,NL,WAS,NL,3,2,0
2000,НЛCS,NYN,NL,SLN,NL,4,1,0
1991,НЛCS,ATL,NL,PIT,NL,4,3,0
1991,Да,MIN,AL,ATL,NL,4,3,0
1981,НЕДВИГ,LAN,NL,HOU,NL,3,2,0
2008,НЛCS,PHI,NL,LAN,NL,4,1,0
1906,Да,CHA,AL,CHN,NL,4,2,0
1941,Да,NYA,AL,BRO,NL,4,1,0
2002,НДС2,SLN,NL,ARI,NL,3,0,0
2004,АЛДС2,NYA,AL,MIN,AL,3,1,0
1923,Да,NYA,AL,NY1,NL,4,2,0
1915,Да,BOS,AL,PHI,NL,4,1,0
1958,Да,NYA,AL,ML1,NL,4,3,0
2006,НЛCS,SLN,NL,NYN,NL,4,3,0
1992,Алькс,TOR,AL,OAK,AL,4,2,0
1996,НЛДС1,ATL,NL,LAN,NL,3,0,0
1997,НЛCS,FLO,NL,ATL,NL,4,2,0
2002,НЛДС1,SFN,NL,ATL,NL,3,2,0
2012,АЛВЦ,BAL,AL,TEX,AL,1,0,0
1993,Да,TOR,AL,PHI,NL,4,2,0
2007,АЛДС1,BOS,AL,LAA,AL,3,0,0
1976,Алькс,NYA,AL,KCA,AL,3,2,0
1995,НДС2,CIN,NL,LAN,NL,3,0,0
1920,Да,CLE,AL,BRO,NL,5,2,0
2008,НДС2,PHI,NL,MIL,NL,3,1,0
2006,НДС2,SLN,NL,SDN,NL,3,1,0
1963,Да,LAN,NL,NYA,AL,4,0,0
2004,Алькс,BOS,AL,NYA,AL,4,3,0
1909,Да,PIT,NL,DET,AL,4,3,0
1927,Да,NYA,AL,PIT,NL,4,0,0
1982,НЛCS,SLN,NL,ATL,NL,3,0,0
1983,Алькс,BAL,AL,CHA,AL,3,1,0
2003,НЛДС1,FLO,NL,SFN,NL,3,1,0
1977,НЛCS,LAN,NL,PHI,NL,3,1,0
1977,Алькс,NYA,AL,KCA,AL,3,2,0
1999,Да,NYA,AL,ATL,NL,4,0,0
1995,НЛCS,ATL,NL,CIN,NL,4,0,0
2005,АЛДС1,CHA,AL,BOS,AL,3,0,0
1988,НЛCS,LAN,NL,NYN,NL,4,3,0
1981,АВДИВ,OAK,AL,KCA,AL,3,0,0
2004,НДС2,HOU,NL,ATL,NL,3,2,0
1976,НЛCS,CIN,NL,PHI,NL,3,0,0
2008,Алькс,TBA,AL,BOS,AL,4,3,0
2012,АЛДС1,NYA,AL,BAL,AL,3,2,0
2001,НДС2,ARI,NL,SLN,NL,3,2,0
2002,АЛДС1,ANA,AL,NYA,AL,3,1,0
1969,Алькс,BAL,AL,MIN,AL,3,0,0
1983,Да,BAL,AL,PHI,NL,4,1,0
1992,НЛCS,ATL,NL,PIT,NL,4,3,0
1997,АЛДС2,BAL,AL,SEA,AL,3,1,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
2002,Алькс,ANA,AL,MIN,AL,4,1,0
1993,НЛCS,PHI,NL,ATL,NL,4,2,0
1924,Да,WS1,AL,NY1,NL,4,3,0
1999,АЛДС2,NYA,AL,TEX,AL,3,0,0
1974,Алькс,OAK,AL,BAL,AL,3,1,0
1989,Алькс,OAK,AL,TOR,AL,4,1,0
2003,НЛCS,FLO,NL,CHN,NL,4,3,0
1968,Да,DET,AL,SLN,NL,4,3,0
1998,НЛCS,SDN,NL,ATL,NL,4,2,0
1977,Да,NYA,AL,LAN,NL,4,2,0
1979,Да,PIT,NL,BAL,AL,4,3,0
1971,Алькс,BAL,AL,OAK,AL,3,0,0
2004,НЛДС1,SLN,NL,LAN,NL,3,1,0
2010,АЛДС1,TEX,AL,TBA,AL,3,2,0
2000,НЛДС1,SLN,NL,ATL,NL,3,0,0
1990,Алькс,OAK,AL,BOS,AL,4,0,0
1952,Да,NYA,AL,BRO,NL,4,3,0
2000,АЛДС2,SEA,AL,CHA,AL,3,0,0
1978,Алькс,NYA,AL,KCA,AL,3,1,0
1903,Да,BOS,AL,PIT,NL,5,3,0
1912,Да,BOS,AL,NY1,NL,4,3,0
2011,НЛДС1,SLN,NL,PHI,NL,3,2,0
2010,НДС2,SFN,NL,ATL,NL,3,1,0
1996,Да,NYA,AL,ATL,NL,4,2,0
1947,Да,NYA,AL,BRO,NL,4,3,0
2001,НЛДС1,ATL,NL,HOU,NL,3,0,0
1926,Да,SLN,NL,NYA,AL,4,3,0
2010,НЛCS,SFN,NL,PHI,NL,4,2,0
1983,НЛCS,PHI,NL,LAN,NL,3,1,0
1984,Да,DET,AL,SDN,NL,4,1,0
1933,Да,NY1,NL,WS1,AL,4,1,0
1982,Алькс,ML4,AL,CAL,AL,3,2,0
2006,Алькс,DET,AL,OAK,AL,4,0,0
2005,АЛДС2,LAA,AL,NYA,AL,3,2,0
1996,АЛДС1,BAL,AL,CLE,AL,3,1,0
2005,НЛДС1,SLN,NL,SDN,NL,3,0,0
1975,Да,CIN,NL,BOS,AL,4,3,0
1998,Да,NYA,AL,SDN,NL,4,0,0
1919,Да,CIN,NL,CHA,AL,5,3,0
1911,Да,PHA,AL,NY1,NL,4,2,0
1936,Да,NYA,AL,NY1,NL,4,2,0
1982,Да,SLN,NL,ML4,AL,4,3,0
1996,НЛCS,ATL,NL,SLN,NL,4,3,0
1964,Да,SLN,NL,NYA,AL,4,3,0
1995,НЛДС1,ATL,NL,COL,NL,3,1,0
1988,Алькс,OAK,AL,BOS,AL,4,0,0
1995,АЛДС1,CLE,AL,BOS,AL,3,0,0
1999,НЛДС1,ATL,NL,HOU,NL,3,1,0
2002,Да,ANA,AL,SFN,NL,4,3,0
2007,Алькс,BOS,AL,CLE,AL,4,3,0
1999,НЛCS,ATL,NL,NYN,NL,4,2,0
1916,Да,BOS,AL,BRO,NL,4,1,0
1942,Да,SLN,NL,NYA,AL,4,1,0
2009,Алькс,NYA,AL,LAA,AL,4,2,0
2005,НЛCS,HOU,NL,SLN,NL,4,2,0
1970,Алькс,BAL,AL,MIN,AL,3,0,0
2004,АЛДС1,BOS,AL,ANA,AL,3,0,0
2001,АЛДС1,SEA,AL,CLE,AL,3,2,0
1932,Да,NYA,AL,CHN,NL,4,0,0
1995,Да,ATL,NL,CLE,AL,4,2,0
1973,Да,OAK,AL,NYN,NL,4,3,0
1996,АЛДС2,NYA,AL,TEX,AL,3,1,0
1998,НЛДС1,ATL,NL,CHN,NL,3,0,0
2002,НЛCS,SFN,NL,SLN,NL,4,1,0
1917,Да,CHA,AL,NY1,NL,4,2,0
1980,Алькс,KCA,AL,NYA,AL,3,0,0
2000,АЛДС1,NYA,AL,OAK,AL,3,2,0
1988,Да,LAN,NL,OAK,AL,4,1,0
1979,Алькс,BAL,AL,CAL,AL,3,1,0
1972,Алькс,OAK,AL,DET,AL,3,2,0
2012,НЛВК,SLN,NL,ATL,NL,1,0,0
1925,Да,PIT,NL,WS1,AL,4,3,0
2007,НЛДС1,ARI,NL,CHN,NL,3,0,0
1992,Да,TOR,AL,ATL,NL,4,2,0
2005,Алькс,CHA,AL,LAA,AL,4,1,0
1935,Да,DET,AL,CHN,NL,4,2,0
1910,Да,PHA,AL,CHN,NL,4,1,0
1946,Да,SLN,NL,BOS,AL,4,3,0
2008,Да,PHI,NL,TBA,AL,4,1,0
2001,НЛCS,ARI,NL,ATL,NL,4,1,0
1921,Да,NY1,NL,NYA,AL,5,3,0
1990,Да,CIN,NL,OAK,AL,4,0,0
1931,Да,SLN,NL,PHA,AL,4,3,0
2000,Да,NYA,AL,NYN,NL,4,1,0
1978,НЛCS,LAN,NL,PHI,NL,3,1,0
1999,АЛДС1,BOS,AL,CLE,AL,3,2,0
2007,НЛCS,COL,NL,ARI,NL,4,0,0
1974,НЛCS,LAN,NL,PIT,NL,3,1,0
1940,Да,CIN,NL,DET,AL,4,3,0
1966,Да,BAL,AL,LAN,NL,4,0,0
2005,Да,CHA,AL,HOU,NL,4,0,0
2003,АЛДС2,BOS,AL,OAK,AL,3,2,0
