lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
1,aaronha01,,aaronha01h,1934.0,2.0,5.0,США,АЛ,Мобильный,,,,,,,Хэнк,Аарон,,Генри Луи,"Молот, Молотный Хэнк, Плохой Хенри",180.0,72.0,r,r,4/13/1954,10/3/1976,,aaronha01,aaronha01,aaroh101,aaronha01,aaronha01
2,aaronto01,,,1939.0,8.0,5.0,США,АЛ,Мобильный,1984.0,8.0,16.0,США,ЗАГ,Атланта,Томми,Аарон,,Томми Ли,,190.0,75.0,r,r,4/10/1962,9/26/1971,,aaronto01,aaronto01,aarot101,aaronto01,aaronto01
3,aasedo01,,,1954.0,9.0,8.0,США,Калифорния,Оранжевый,,,,,,,Дон,Аа́сэ,,Дональд Уильям,,190.0,75.0,r,r,7/26/1977,10/3/1990,Калифорнийский университет в Фулертоне,aasedo01,aasedo01,aased001,aasedo01,aasedo01
4,abadan01,,,1972.0,8.0,25.0,США,ФЛ,Западный Палм-Бич,,,,,,,Анди,Авад,,,,184.0,73.0,Л,Л,9/10/2001,4/13/2006,Средняя Джорджия ОС,abadan01,abadan01,abada001,abadan01,abadan01
5,abadijo01,,,1854.0,11.0,4.0,США,ПА,Филадельфия,1905.0,5.0,17.0,США,Ню-Джерси,Пембрук,Джон,Абадие,,Джон,,192.0,72.0,r,r,4/26/1875,6/10/1875,,abadijo01,abadijo01,abadj101,abadijo01,abadijo01
6,abbated01,,,1877.0,4.0,15.0,США,ПА,Латроб,1957.0,1.0,6.0,США,ФЛ,Форт-Лодердейл,Эд,Аббатиаччио,,Эдвард Джеймс,Бэтти,170.0,71.0,r,r,9/4/1897,9/15/1910,,abbated01,abbated01,abbae101,abbated01,abbated01
7,abbeybe01,,,1869.0,11.0,29.0,США,ВТ,Эссекс,1962.0,6.0,11.0,США,ВТ,Эссекс-Джанкшен,Берт,Абби,,Берт Вуд,,175.0,71.0,r,r,6/14/1892,9/23/1896,,abbeybe01,abbeybe01,abbeb101,abbeybe01,abbeybe01
8,abbeych01,,,1866.0,10.0,14.0,США,НЕ,Фоллс-Сити,1926.0,4.0,27.0,США,Калифорния,Сан-Франциско,Чарли,Абби,,Чарльз С.,,169.0,68.0,Л,,8/16/1893,8/19/1897,,abbeych01,abbeych01,abbec101,abbeych01,abbeych01
9,abbotda01,,,1862.0,3.0,16.0,США,О,Порт-Джексон,1930.0,2.0,13.0,США,МИ,Озеро Оттава,Дэн,Абботт,,Лендера Франклина,Большой Дэн,190.0,71.0,r,r,4/19/1890,5/23/1890,,abbotda01,abbotda01,abbod101,abbotda01,abbotda01
10,abbotfr01,,,1874.0,10.0,22.0,США,О,Версаль,1935.0,6.0,11.0,США,Калифорния,Лос-Анджелес,Фред,Абботт,Гарри Фредерик Уинбиглер,Гарри Фредерик,,180.0,70.0,r,r,4/25/1903,9/20/1905,,abbotfr01,abbotfr01,abbof101,abbotfr01,abbotfr01
11,abbotgl01,,,1951.0,2.0,16.0,США,АР,Малеррок,,,,,,,Гленн,Абботт,,Уильям Гленн,,200.0,78.0,r,r,7/29/1973,8/8/1984,Государствена Аризона,abbotgl01,abbotgl01,abbog001,abbotgl01,abbotgl01
12,abbotje01,,,1972.0,8.0,17.0,США,ЗАГ,Атланта,,,,,,,Джефф,Абботт,,Джеффри Уильям,,190.0,74.0,r,Л,6/10/1997,9/29/2001,Кентукки,abbotje01,abbotje01,abboj002,abbotje01,abbotje01
13,abbotji01,,abbotji01h,1967.0,9.0,19.0,США,МИ,Флинт,,,,,,,Джим,Абботт,,Джеймс Энтони,,200.0,75.0,Л,Л,4/8/1989,7/21/1999,Мичиган,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
14,abbotku01,,,1969.0,6.0,2.0,США,О,Занесвилл,,,,,,,Курт,Абботт,,Курт Томас,,180.0,71.0,r,r,9/8/1993,4/13/2001,,abbotku01,abbotku01,abbok002,abbotku01,abbotku01
15,abbotky01,,,1968.0,2.0,18.0,США,МЭ,Ньюбери-Порт,,,,,,,Кайл,Абботт,,Лоренс Кайл,,200.0,76.0,Л,Л,9/10/1991,8/24/1996,Каль-Стэйт-Лонг-Бич,abbotky01,abbotky01,abbok001,abbotky01,abbotky01
16,abbotod01,,,1888.0,9.0,5.0,США,ПА,Новый Орёл,1933.0,4.0,13.0,США,ДЦ,Вашингтон,Од,Абботт,,Оды Клеон,,180.0,74.0,r,r,9/10/1910,10/15/1910,,abbotod01,abbotod01,abboo101,abbotod01,abbotod01
17,abbotpa01,,,1967.0,9.0,15.0,США,Калифорния,Ван Нуйс,,,,,,,Пау́л,Абботт,,Поль Дэвид,,185.0,75.0,r,r,8/21/1990,8/7/2004,,abbotpa01,abbotpa01,abbop001,abbotpa01,abbotpa01
18,aberal01,,,1927.0,7.0,31.0,США,О,Кливленд,1993.0,5.0,20.0,США,О,Гарфилд-Хайтс,Аля,Абер,,Альберт Джулиус,Лефти,195.0,74.0,Л,Л,9/15/1950,9/11/1957,,aberal01,aberal01,abera101,aberal01,aberal01
