managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
boudrlo01m,1947,CLE,AL,1,157,80,74,4,Да.
gouldch01m,1876,CN1,NL,1,65,9,56,8,Да.
richapa01m,1958,BAL,AL,1,154,74,79,6,Машина хорошо работает и не требует ремонта.
herzowh01m,1989,SLN,NL,1,164,86,76,3,Машина хорошо работает и не требует ремонта.
mackco01m,1935,PHA,AL,1,149,58,91,8,Машина хорошо работает и не требует ремонта.
rojasco01m,1996,FLO,NL,2,1,1,0,3,Машина хорошо работает и не требует ремонта.
stengca01m,1953,NYA,AL,1,151,99,52,1,Машина хорошо работает и не требует ремонта.
wrighha01m,1873,BS1,NA,1,60,43,16,1,Да.
wrighha01m,1893,PHI,NL,1,133,72,57,4,Машина хорошо работает и не требует ремонта.
bancrda01m,1926,BSN,NL,1,153,66,86,7,Да.
richapa01m,1959,BAL,AL,1,155,74,80,6,Машина хорошо работает и не требует ремонта.
smithma01m,1969,DET,AL,1,162,90,72,2,Машина хорошо работает и не требует ремонта.
peskyjo01m,1980,BOS,AL,2,5,1,4,4,Машина хорошо работает и не требует ремонта.
hartji99m,1885,LS2,AA,1,112,53,59,6,Машина хорошо работает и не требует ремонта.
bakerde01m,1941,DET,AL,1,155,75,79,4,Машина хорошо работает и не требует ремонта.
hurdlcl01m,2002,COL,NL,2,140,67,73,4,Машина хорошо работает и не требует ремонта.
harribu01m,1954,WS1,AL,1,155,66,88,6,Машина хорошо работает и не требует ремонта.
jennihu01m,1919,DET,AL,1,140,80,60,4,Машина хорошо работает и не требует ремонта.
torrejo01m,2000,NYA,AL,1,161,87,74,1,Машина хорошо работает и не требует ремонта.
irwinar01m,1894,PHI,NL,1,132,71,57,4,Да.
riddogr99m,1992,SDN,NL,1,150,78,72,3,Машина хорошо работает и не требует ремонта.
schoere01m,1974,SLN,NL,1,161,86,75,2,Машина хорошо работает и не требует ремонта.
raderdo02m,1985,TEX,AL,1,32,9,23,7,Машина хорошо работает и не требует ремонта.
ottme01m,1943,NY1,NL,1,156,55,98,8,Да.
bochybr01m,1998,SDN,NL,1,162,98,64,1,Машина хорошо работает и не требует ремонта.
irwinar01m,1889,WS8,NL,2,76,28,45,8,Да.
baylodo01m,1993,COL,NL,1,162,67,95,6,Машина хорошо работает и не требует ремонта.
cronijo01m,1938,BOS,AL,1,150,88,61,2,Да.
hargrmi01m,2003,BAL,AL,1,163,71,91,4,Машина хорошо работает и не требует ремонта.
hermabi01m,1947,PIT,NL,1,155,61,92,7,Да.
higgipi01m,1958,BOS,AL,1,155,79,75,3,Машина хорошо работает и не требует ремонта.
rappve99m,1978,SLN,NL,1,17,6,11,5,Машина хорошо работает и не требует ремонта.
gastoci01m,1992,TOR,AL,1,162,96,66,1,Машина хорошо работает и не требует ремонта.
valenbo02m,2002,NYN,NL,1,161,75,86,5,Машина хорошо работает и не требует ремонта.
tebeapa01m,1896,CL4,NL,1,135,80,48,2,Да.
melesa01m,1965,MIN,AL,1,162,102,60,1,Машина хорошо работает и не требует ремонта.
lathaju01m,1875,NH1,NA,2,18,4,14,8,Да.
ensje01m,1930,PIT,NL,1,154,80,74,5,Машина хорошо работает и не требует ремонта.
sciosmi01m,2008,LAA,AL,1,162,100,62,1,Машина хорошо работает и не требует ремонта.
speaktr01m,1919,CLE,AL,2,61,40,21,2,Да.
richapa01m,1951,CHA,AL,1,155,81,73,4,Машина хорошо работает и не требует ремонта.
craigro01m,1987,SFN,NL,1,162,90,72,1,Машина хорошо работает и не требует ремонта.
lopezal01m,1965,CHA,AL,1,162,95,67,2,Машина хорошо работает и не требует ремонта.
howleda01m,1932,CIN,NL,1,155,60,94,8,Машина хорошо работает и не требует ремонта.
mckecbi01m,1930,BSN,NL,1,154,70,84,6,Машина хорошо работает и не требует ремонта.
wilsoji01m,1942,CHN,NL,1,155,68,86,6,Машина хорошо работает и не требует ремонта.
moranpa01m,1917,PHI,NL,1,155,87,65,2,Машина хорошо работает и не требует ремонта.
tebeapa01m,1893,CL4,NL,1,129,73,55,3,Да.
quinnjo02m,1899,CL4,NL,2,116,12,104,12,Да.
mauchge01m,1973,MON,NL,1,162,79,83,4,Машина хорошо работает и не требует ремонта.
narroje01m,2005,CIN,NL,2,93,46,46,5,Машина хорошо работает и не требует ремонта.
dykesji01m,1953,PHA,AL,1,157,59,95,7,Машина хорошо работает и не требует ремонта.
sislege01m,1926,SLA,AL,1,155,62,92,7,Да.
chapmja01m,1890,LS2,AA,1,136,88,44,1,Машина хорошо работает и не требует ремонта.
tracyji01m,2001,LAN,NL,1,162,86,76,3,Машина хорошо работает и не требует ремонта.
rothsla01m,2001,TBA,AL,1,14,4,10,5,Машина хорошо работает и не требует ремонта.
zimmedo01m,1982,TEX,AL,1,96,38,58,6,Машина хорошо работает и не требует ремонта.
stengca01m,1951,NYA,AL,1,154,98,56,1,Машина хорошо работает и не требует ремонта.
birmijo01m,1915,CLE,AL,1,28,12,16,7,Машина хорошо работает и не требует ремонта.
bakerdu01m,1994,SFN,NL,1,115,55,60,2,Машина хорошо работает и не требует ремонта.
jonesfi01m,1908,CHA,AL,1,156,88,64,3,Да.
maddojo99m,2009,TBA,AL,1,162,84,78,3,Машина хорошо работает и не требует ремонта.
callani01m,1912,CHA,AL,1,158,78,76,4,Да.
virdobi01m,1984,MON,NL,1,131,64,67,5,Машина хорошо работает и не требует ремонта.
gerhajo01m,1883,LS2,AA,1,98,52,45,5,Да.
hallmbi01m,1897,SLN,NL,3,50,13,36,12,Да.
rappve99m,1984,CIN,NL,1,121,51,70,5,Машина хорошо работает и не требует ремонта.
rosepe01m,1989,CIN,NL,1,125,59,66,5,Машина хорошо работает и не требует ремонта.
pinielo01m,2007,CHN,NL,1,162,85,77,1,Машина хорошо работает и не требует ремонта.
manuech01m,2000,CLE,AL,1,162,90,72,2,Машина хорошо работает и не требует ремонта.
rodgebu01m,1987,MON,NL,1,162,91,71,3,Машина хорошо работает и не требует ремонта.
rolfere01m,1951,DET,AL,1,154,73,81,5,Машина хорошо работает и не требует ремонта.
frankhe01m,1978,CHN,NL,1,162,79,83,3,Машина хорошо работает и не требует ремонта.
merrist99m,1991,NYA,AL,1,162,71,91,5,Машина хорошо работает и не требует ремонта.
mcaleji01m,1904,SLA,AL,1,156,65,87,6,Машина хорошо работает и не требует ремонта.
mccarjo99m,1934,NYA,AL,1,154,94,60,2,Машина хорошо работает и не требует ремонта.
mutriji99m,1887,NY1,NL,1,129,68,55,4,Машина хорошо работает и не требует ремонта.
edwardo01m,1988,CLE,AL,1,162,78,84,6,Машина хорошо работает и не требует ремонта.
griffcl01m,1913,WS1,AL,1,155,90,64,2,Да.
houkra01m,1969,NYA,AL,1,162,80,81,5,Машина хорошо работает и не требует ремонта.
ofarrbo01m,1927,SLN,NL,1,153,92,61,2,Да.
melesa01m,1967,MIN,AL,1,50,25,25,2,Машина хорошо работает и не требует ремонта.
hornsro01m,1936,SLA,AL,1,155,57,95,7,Да.
valenbo02m,1986,TEX,AL,1,162,87,75,2,Машина хорошо работает и не требует ремонта.
gardero01m,2007,MIN,AL,1,162,79,83,3,Машина хорошо работает и не требует ремонта.
bresnro01m,1911,SLN,NL,1,158,75,74,5,Да.
comisch01m,1886,SL4,AA,1,139,93,46,1,Да.
girarjo01m,2008,NYA,AL,1,162,89,73,3,Машина хорошо работает и не требует ремонта.
huggimi01m,1914,SLN,NL,1,157,81,72,3,Да.
wedgeer01m,2006,CLE,AL,1,162,78,84,4,Машина хорошо работает и не требует ремонта.
machake01m,2006,OAK,AL,1,162,93,69,1,Машина хорошо работает и не требует ремонта.
chancfr01m,1923,BOS,AL,1,154,61,91,8,Машина хорошо работает и не требует ремонта.
friscfr01m,1936,SLN,NL,1,155,87,67,2,Да.
oatesjo01m,1994,BAL,AL,1,112,63,49,2,Машина хорошо работает и не требует ремонта.
houkra01m,1974,DET,AL,1,162,72,90,6,Машина хорошо работает и не требует ремонта.
schaebo99m,1991,KCA,AL,2,1,1,0,6,Машина хорошо работает и не требует ремонта.
cochrmi01m,1934,DET,AL,1,154,101,53,1,Да.
toscaca99m,2003,TOR,AL,1,162,86,76,3,Машина хорошо работает и не требует ремонта.
brenlbo01m,2001,ARI,NL,1,162,92,70,1,Машина хорошо работает и не требует ремонта.
mckeoja99m,1997,CIN,NL,2,63,33,30,3,Машина хорошо работает и не требует ремонта.
torrejo01m,2009,LAN,NL,1,162,95,67,1,Машина хорошо работает и не требует ремонта.
fuchsju99m,1929,BSN,NL,1,154,56,98,8,Машина хорошо работает и не требует ремонта.
mackco01m,1914,PHA,AL,1,158,99,53,1,Машина хорошо работает и не требует ремонта.
wrighha01m,1878,BSN,NL,1,60,41,19,1,Машина хорошо работает и не требует ремонта.
aloufe01m,2003,SFN,NL,1,161,100,61,1,Машина хорошо работает и не требует ремонта.
kellyto01m,1992,MIN,AL,1,162,90,72,2,Машина хорошо работает и не требует ремонта.
hinchaj01m,2009,ARI,NL,2,133,58,75,5,Машина хорошо работает и не требует ремонта.
ansonca01m,1887,CHN,NL,1,127,71,50,3,Да.
sewellu01m,1952,CIN,NL,1,98,39,59,6,Машина хорошо работает и не требует ремонта.
morrijo01m,1884,BSN,NL,1,116,73,38,2,Да.
berrayo01m,1984,NYA,AL,1,162,87,75,3,Машина хорошо работает и не требует ремонта.
pinielo01m,1991,CIN,NL,1,162,74,88,5,Машина хорошо работает и не требует ремонта.
herzowh01m,1978,KCA,AL,1,162,92,70,1,Машина хорошо работает и не требует ремонта.
southbi01m,1944,SLN,NL,1,157,105,49,1,Машина хорошо работает и не требует ремонта.
comisch01m,1890,CHP,PL,1,138,75,62,4,Да.
harribu01m,1948,NYA,AL,1,154,94,60,3,Машина хорошо работает и не требует ремонта.
dyered01m,1947,SLN,NL,1,156,89,65,2,Машина хорошо работает и не требует ремонта.
nichoki01m,1904,SLN,NL,1,155,75,79,5,Да.
ottme01m,1948,NY1,NL,1,76,37,38,5,Машина хорошо работает и не требует ремонта.
tappeel01m,1961,CHN,NL,7,79,35,43,7,Машина хорошо работает и не требует ремонта.
hornsro01m,1926,SLN,NL,1,156,89,65,1,Да.
lasorto01m,1994,LAN,NL,1,115,58,56,1,Машина хорошо работает и не требует ремонта.
kellejo01m,1902,CIN,NL,3,60,34,26,4,Да.
trembda99m,2010,BAL,AL,1,54,15,39,5,Машина хорошо работает и не требует ремонта.
