hofid,yearid,votedby,ballots,needed,votes,inducted,category
trammal01h,2005,Ассоциация писателей-фантастов (BBWAA),516.0,387.0,87.0,Машина хорошо работает и не требует ремонта.,Игрок
knoblch01h,2008,Ассоциация писателей-фантастов (BBWAA),543.0,408.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
hahnno01h,1939,Ассоциация писателей-фантастов (BBWAA),274.0,206.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
boonebo01h,1999,Ассоциация писателей-фантастов (BBWAA),497.0,373.0,27.0,Машина хорошо работает и не требует ремонта.,Игрок
willicy01h,1954,Ассоциация писателей-фантастов (BBWAA),252.0,189.0,4.0,Машина хорошо работает и не требует ремонта.,Игрок
chancfr01h,1936,Ассоциация писателей-фантастов (BBWAA),226.0,170.0,5.0,Машина хорошо работает и не требует ремонта.,Игрок
gossari01h,2005,Ассоциация писателей-фантастов (BBWAA),516.0,387.0,285.0,Машина хорошо работает и не требует ремонта.,Игрок
jonescl01h,1982,Ассоциация писателей-фантастов (BBWAA),415.0,312.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
baineha01h,2007,Ассоциация писателей-фантастов (BBWAA),545.0,409.0,29.0,Машина хорошо работает и не требует ремонта.,Игрок
whiteha01h,1960,Ассоциация писателей-фантастов (BBWAA),269.0,202.0,4.0,Машина хорошо работает и не требует ремонта.,Игрок
perryji01h,1983,Ассоциация писателей-фантастов (BBWAA),374.0,281.0,7.0,Машина хорошо работает и не требует ремонта.,Игрок
altroni01h,1953,Ассоциация писателей-фантастов (BBWAA),264.0,198.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
tidrodi01h,1990,Ассоциация писателей-фантастов (BBWAA),444.0,333.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
bresnro01h,1937,Ассоциация писателей-фантастов (BBWAA),201.0,151.0,43.0,Машина хорошо работает и не требует ремонта.,Игрок
stonest01h,1987,Ассоциация писателей-фантастов (BBWAA),413.0,310.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
moranpa01h,1938,Ассоциация писателей-фантастов (BBWAA),262.0,197.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
schacal01h,1956,Ассоциация писателей-фантастов (BBWAA),193.0,145.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
southbi01h,1946,Голосование за υποψηφιатов,202.0,,1.0,Машина хорошо работает и не требует ремонта.,Игрок
lazzeto01h,1962,Ассоциация писателей-фантастов (BBWAA),160.0,120.0,8.0,Машина хорошо работает и не требует ремонта.,Игрок
pizarju01h,1980,Ассоциация писателей-фантастов (BBWAA),385.0,289.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
boyerke01h,1994,Ассоциация писателей-фантастов (BBWAA),456.0,342.0,54.0,Машина хорошо работает и не требует ремонта.,Игрок
mcdougi01h,1966,Ассоциация писателей-фантастов (BBWAA),302.0,227.0,5.0,Машина хорошо работает и не требует ремонта.,Игрок
cravaga01h,1939,Ассоциация писателей-фантастов (BBWAA),274.0,206.0,2.0,Машина хорошо работает и не требует ремонта.,Игрок
hardeme01h,1964,Ассоциация писателей-фантастов (BBWAA),201.0,151.0,51.0,Машина хорошо работает и не требует ремонта.,Игрок
fonsele01h,1948,Ассоциация писателей-фантастов (BBWAA),121.0,91.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
jonesfi01h,1946,Голосование за υποψηφιатов,202.0,,1.0,Машина хорошо работает и не требует ремонта.,Игрок
boudrlo01h,1960,Ассоциация писателей-фантастов (BBWAA),269.0,202.0,35.0,Машина хорошо работает и не требует ремонта.,Игрок
ruffire01h,1950,Ассоциация писателей-фантастов (BBWAA),168.0,126.0,12.0,Машина хорошо работает и не требует ремонта.,Игрок
bondsbo01h,1993,Ассоциация писателей-фантастов (BBWAA),423.0,318.0,45.0,Машина хорошо работает и не требует ремонта.,Игрок
wilsoha01h,1953,Ассоциация писателей-фантастов (BBWAA),264.0,198.0,43.0,Машина хорошо работает и не требует ремонта.,Игрок
dykesji01h,1955,Ассоциация писателей-фантастов (BBWAA),251.0,189.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
hernake01h,1999,Ассоциация писателей-фантастов (BBWAA),497.0,373.0,34.0,Машина хорошо работает и не требует ремонта.,Игрок
rootch01h,1948,Ассоциация писателей-фантастов (BBWAA),121.0,91.0,3.0,Машина хорошо работает и не требует ремонта.,Игрок
lockebo01h,1981,Ассоциация писателей-фантастов (BBWAA),401.0,301.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
killeha01h,1983,Ассоциация писателей-фантастов (BBWAA),374.0,281.0,269.0,Машина хорошо работает и не требует ремонта.,Игрок
hoytwa01h,1946,Голосование за υποψηφιатов,202.0,,1.0,Машина хорошо работает и не требует ремонта.,Игрок
kellech01h,1970,Ассоциация писателей-фантастов (BBWAA),300.0,225.0,7.0,Машина хорошо работает и не требует ремонта.,Игрок
jonessa01h,1956,Ассоциация писателей-фантастов (BBWAA),193.0,145.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
sherdbi01h,1949,Ассоциация писателей-фантастов (BBWAA),153.0,115.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
hackst01h,1948,Ассоциация писателей-фантастов (BBWAA),121.0,91.0,2.0,Машина хорошо работает и не требует ремонта.,Игрок
lolicmi01h,1987,Ассоциация писателей-фантастов (BBWAA),413.0,310.0,84.0,Машина хорошо работает и не требует ремонта.,Игрок
wertzvi01h,1975,Ассоциация писателей-фантастов (BBWAA),362.0,272.0,5.0,Машина хорошо работает и не требует ремонта.,Игрок
palmera01h,2013,Ассоциация писателей-фантастов (BBWAA),569.0,427.0,50.0,Машина хорошо работает и не требует ремонта.,Игрок
hendrge01h,1994,Ассоциация писателей-фантастов (BBWAA),456.0,342.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
perezto01h,1998,Ассоциация писателей-фантастов (BBWAA),473.0,355.0,321.0,Машина хорошо работает и не требует ремонта.,Игрок
richaha01h,1936,Пленные войны,78.0,59.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
kerrdi01h,1955,Ассоциация писателей-фантастов (BBWAA),251.0,189.0,25.0,Машина хорошо работает и не требует ремонта.,Игрок
rudoldi01h,1937,Ассоциация писателей-фантастов (BBWAA),201.0,151.0,1.0,Машина хорошо работает и не требует ремонта.,Игрок
reynoal01h,1968,Ассоциация писателей-фантастов (BBWAA),283.0,213.0,95.0,Машина хорошо работает и не требует ремонта.,Игрок
schoere01h,1983,Ассоциация писателей-фантастов (BBWAA),374.0,281.0,146.0,Машина хорошо работает и не требует ремонта.,Игрок
montgje01h,2005,Ассоциация писателей-фантастов (BBWAA),516.0,387.0,2.0,Машина хорошо работает и не требует ремонта.,Игрок
faberre01h,1958,Ассоциация писателей-фантастов (BBWAA),266.0,200.0,68.0,Машина хорошо работает и не требует ремонта.,Игрок
bunniji01h,1981,Ассоциация писателей-фантастов (BBWAA),401.0,301.0,164.0,Машина хорошо работает и не требует ремонта.,Игрок
martide01h,2004,Ассоциация писателей-фантастов (BBWAA),506.0,380.0,16.0,Машина хорошо работает и не требует ремонта.,Игрок
vernomi01h,1967,Ассоциация писателей-фантастов (BBWAA),292.0,219.0,14.0,Машина хорошо работает и не требует ремонта.,Игрок
riceji01h,2006,Ассоциация писателей-фантастов (BBWAA),520.0,390.0,337.0,Машина хорошо работает и не требует ремонта.,Игрок
donovbi01h,1937,Ассоциация писателей-фантастов (BBWAA),201.0,151.0,3.0,Машина хорошо работает и не требует ремонта.,Игрок
bagweje01h,2013,Ассоциация писателей-фантастов (BBWAA),569.0,427.0,339.0,Машина хорошо работает и не требует ремонта.,Игрок
mcmulke01h,1983,Ассоциация писателей-фантастов (BBWAA),374.0,281.0,0.0,Машина хорошо работает и не требует ремонта.,Игрок
