playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
mcguide01,1884,1,TL1,AA,"К сожалению, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",3,,,3.0,5.0,2.0,0.0,,,,,
schoesc01,2000,1,ANA,AL,Привет! Чем я могу вам помочь?,27,27.0,510.0,5.0,25.0,1.0,4.0,,,,,
harpege02,1926,1,PHI,NL,ОФ,55,,,111.0,2.0,7.0,1.0,,,,,
hodesch01,1871,1,CH1,NA,ОФ,4,,,2.0,0.0,0.0,0.0,,,,,
thorpji01,1919,1,NY1,NL,ОФ,2,,,2.0,0.0,0.0,0.0,,,,,
bertedi01,1963,1,CHN,NL,C,99,97.0,2534.0,549.0,84.0,8.0,15.0,10.0,20.0,29.0,45.0,3.0
rosarbu01,1950,1,BOS,AL,C,25,,,108.0,6.0,1.0,1.0,2.0,,,,
stockot01,1893,1,WAS,NL,1Б,1,,,5.0,1.0,0.0,2.0,,,,,
halech01,1995,1,MIN,AL,Двадцать два,7,0.0,41.0,2.0,5.0,0.0,1.0,,,,,
schripo01,1899,1,PIT,NL,1Б,8,,,81.0,1.0,0.0,3.0,,,,,
hundlra01,1970,1,CHN,NL,C,73,70.0,1852.0,455.0,26.0,5.0,2.0,5.0,13.0,22.0,19.0,0.0
longhe01,1894,1,BSN,NL,"К сожалению, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",98,,,217.0,359.0,75.0,52.0,,,,,
tomasan01,1949,1,NY1,NL,Привет! Чем я могу вам помочь?,2,,,0.0,0.0,0.0,0.0,,,,,
fermife01,1995,1,SEA,AL,Двадцать два,29,25.0,621.0,32.0,75.0,1.0,12.0,,,,,
alexado01,1981,1,SFN,NL,Привет! Чем я могу вам помочь?,24,24.0,457.0,9.0,16.0,0.0,1.0,,,,,
sudakbi01,1971,1,LAN,NL,LF,1,1.0,21.0,1.0,0.0,0.0,0.0,,,,,
bastich01,1885,1,PHI,NL,"К сожалению, я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",103,,,164.0,337.0,62.0,34.0,,,,,
yastrca01,1982,1,BOS,AL,ОФ,2,2.0,51.0,3.0,0.0,0.0,0.0,,,,,
hoffmtr01,1993,2,SDN,NL,Привет! Чем я могу вам помочь?,39,0.0,163.0,4.0,4.0,0.0,0.0,,,,,
mcnamti01,1922,1,BSN,NL,Привет! Чем я могу вам помочь?,24,,,3.0,14.0,0.0,0.0,,,,,
guarded01,2000,1,MIN,AL,Привет! Чем я могу вам помочь?,70,0.0,185.0,0.0,3.0,0.0,0.0,,,,,
mccorfr01,1937,1,CIN,NL,ОФ,1,,,1.0,0.0,0.0,0.0,,,,,
oconnja01,1894,1,CL4,NL,1Б,7,,,55.0,3.0,1.0,4.0,,,,,
keougma01,1962,1,CIN,NL,1Б,29,17.0,436.0,148.0,20.0,2.0,11.0,,,,,
mcdonjo03,2005,1,TOR,AL,Двадцать два,5,2.0,70.0,9.0,7.0,0.0,3.0,,,,,
wallide01,1984,1,HOU,NL,ОФ,6,0.0,43.0,3.0,0.0,0.0,0.0,,,,,
bordafr01,1942,1,BRO,NL,ОФ,17,,,22.0,0.0,0.0,0.0,,,,,
unserde01,1970,1,WS2,AL,RF,49,36.0,1000.0,70.0,5.0,3.0,1.0,,,,,
