stor_id,ord_num,ord_date,qty,payterms,title_id
8042,[423-LL-922],1994-09-14 00:00:00,15,Счёт-фактура,MC3021
8042,423LL930,1994-09-14 00:00:00,10,Счёт-фактура,BU1032
8042,П723,1993-03-11 00:00:00,25,Нет 30,BU1111
8042,QA879.1,1993-05-22 00:00:00,30,Нет 30,PC1035
6380,722-а,1994-09-13 00:00:00,3,Срок погашения 60 дней,PS2091
7896,X999,1993-02-21 00:00:00,35,Счёт-фактура,BU2075
7066,QA7442.3,1994-09-13 00:00:00,75,Счёт-фактура,PS2091
7131,N914-01-4,1994-09-14 00:00:00,25,Нет 30,MC3021
7896,ТК456,12.12.1993 г. 00:00:00,10,Срок погашения 60 дней,MC2222
7896,КК2299,1993-10-28 00:00:00,15,Срок погашения 60 дней,BU7832
7067,P2121,1992-06-15 00:00:00,40,Нет 30,TC3218
7067,Д4482,1994-09-14 00:00:00,10,Срок погашения 60 дней,PS2091
7131,P3087а,1993-05-29 00:00:00,20,Срок погашения 60 дней,PS1372
6380,6871,1994-09-14 00:00:00,5,Срок погашения 60 дней,BU1032
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC7777
7131,N914-008,1994-09-14 00:00:00,20,Нет 30,PS2091
7131,P3087а,1993-05-29 00:00:00,25,Срок погашения 60 дней,PS2106
7067,P2121,1992-06-15 00:00:00,20,Нет 30,TC4203
7131,P3087а,1993-05-29 00:00:00,25,Срок погашения 60 дней,PS7777
7066,A2976,1993-05-24 00:00:00,50,Нет 30,PC8888
7131,P3087а,1993-05-29 00:00:00,15,Срок погашения 60 дней,PS3333
