constructorresultsid,raceid,constructorid,points,status
14063,350,10,0.0,
4470,381,32,0.0,
5276,436,21,1.0,
12552,604,80,0.0,
3231,304,1,10.0,
1603,170,16,0.0,
15328,958,209,0.0,
4232,368,37,0.0,
622,76,7,3.0,
13272,552,67,0.0,
15010,918,6,6.0,
3402,313,29,0.0,
13580,538,32,9.0,
3032,290,37,0.0,
396,55,7,6.0,
3119,296,35,0.0,
3767,333,32,0.0,
4632,390,6,0.0,
10586,724,177,0.0,
5222,432,18,0.0,
13552,536,63,0.0,
4813,402,37,0.0,
5305,438,53,1.0,
3800,335,35,0.0,
11805,652,86,0.0,
2845,276,1,0.0,
12489,600,79,0.0,
13615,540,6,4.0,
15055,930,6,25.0,
14075,351,5,0.0,
14842,903,6,19.0,
3620,325,44,0.0,
11875,635,1,0.0,
14376,861,207,0.0,
4907,410,32,9.0,
12902,560,59,0.0,
2077,213,15,2.0,
13386,559,37,0.0,
6078,488,6,12.0,
3770,333,42,0.0,
11920,640,25,4.0,
11083,691,66,0.0,
11257,689,176,0.0,
3609,325,34,0.0,
1132,127,3,7.0,
5046,420,21,0.0,
13650,542,25,2.0,
12600,578,63,0.0,
5992,482,34,0.0,
10208,740,172,0.0,
15428,968,131,43.0,
3785,334,18,0.0,
3369,311,42,0.0,
6408,509,34,9.0,
13158,544,57,0.0,
5253,434,53,0.0,
5339,440,45,0.0,
10342,731,172,9.0,
4856,406,3,6.0,
440,59,9,6.0,
1644,174,1,9.0,
4647,391,45,0.0,
5547,454,53,0.0,
615,75,6,0.0,
9630,769,105,0.0,
13753,517,60,0.0,
1501,161,6,4.0,
5378,443,1,3.0,
10626,728,170,3.0,
12445,597,26,0.0,
12874,588,57,0.0,
4483,382,1,15.0,
3868,5,3,1.0,
12883,589,6,9.0,
106,28,7,10.0,
13644,541,54,0.0,
11201,683,183,0.0,
3952,13,5,0.0,
17,19,4,1.0,
4165,365,3,4.0,
329,49,1,11.0,D
6176,493,25,0.0,
4003,357,1,15.0,
3212,302,37,0.0,
4399,377,35,0.0,
2147,219,18,0.0,
12854,587,32,1.0,
15094,934,131,43.0,
1775,186,1,16.0,
13083,572,57,0.0,
11786,650,85,0.0,
10959,706,66,9.0,
9643,771,32,0.0,
5303,438,3,3.0,
14891,907,9,4.0,
1161,129,18,0.0,
5996,483,3,15.0,
11914,639,1,0.0,
14902,908,10,4.0,
294,45,5,0.0,
13832,523,3,9.0,
436,58,13,0.0,
632,77,1,2.0,
4056,359,33,0.0,
30,20,11,0.0,
14010,346,131,17.0,
11138,697,176,9.0,
