constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
22748,584,66,0.0,14,14,0
23488,530,59,0.0,12,12,0
21560,645,86,0.0,7,7,0
23392,558,63,6.0,11,11,0
25588,262,15,6.0,7,7,0
24891,868,131,98.0,5,5,1
25507,272,33,2.0,11,11,0
24268,340,6,90.0,2,2,1
25793,41,7,6.0,5,5,0
26866,982,3,59.0,5,5,0
26731,968,15,2.0,10,10,0
25350,899,5,33.0,8,8,0
7661,322,42,0.0,18,18,0
10830,472,21,0.0,13,13,0
11438,506,58,0.0,14,14,0
2470,229,3,65.0,1,1,5
23149,543,57,1.0,6,6,0
26299,940,209,0.0,10,10,0
6397,60,11,29.0,4,4,0
25837,45,7,9.0,6,6,0
25461,220,17,33.0,5,5,0
5673,146,19,0.0,9,9,0
8938,364,32,8.0,8,8,0
3380,297,22,42.0,2,2,0
20864,687,194,3.0,10,10,0
25136,880,6,30.0,1,1,0
23608,536,32,58.0,1,1,5
22541,581,56,0.0,16,16,0
10518,454,53,0.0,10,10,0
10864,474,21,2.0,12,12,0
6089,119,3,118.0,2,2,4
20873,687,26,0.0,13,13,0
8856,360,21,8.0,5,5,0
9714,406,22,8.0,4,4,0
2542,235,15,10.0,7,7,0
11505,511,1,11.0,9,9,0
10019,425,32,33.0,2,2,2
5209,253,18,0.0,10,10,0
20931,668,196,3.0,6,6,0
20136,715,95,0.0,11,11,0
8506,319,29,0.0,18,18,0
22370,600,58,7.0,7,7,0
22972,566,66,0.0,19,19,0
8280,307,27,0.0,11,11,0
7883,334,35,0.0,15,15,0
23138,575,56,3.0,11,11,0
20691,696,176,4.0,6,6,0
21901,620,25,9.0,1,1,1
24290,341,164,0.0,11,11,0
10570,457,51,1.0,9,9,0
24495,354,166,0.0,12,12,0
10089,428,45,0.0,12,12,0
5646,144,6,40.0,1,1,2
24249,338,3,5.0,7,7,0
10744,467,45,0.0,15,15,0
5911,134,4,15.0,4,4,0
21666,655,86,0.0,10,10,0
9947,422,51,0.0,12,12,0
26571,958,3,94.0,4,4,0
24728,856,15,40.0,7,7,0
20658,693,192,0.0,10,10,0
6146,90,17,0.0,9,9,0
23284,552,6,56.0,1,1,2
8416,314,36,0.0,18,18,0
106,28,1,100.0,2,2,5
24888,868,208,144.0,3,3,0
5961,139,3,89.0,2,2,1
5702,149,1,53.0,2,2,2
4040,1,4,4.0,3,3,0
19548,733,6,14.0,4,4,0
4649,274,22,4.0,4,4,0
26819,977,4,18.0,8,8,0
20955,669,190,0.0,13,13,0
1802,73,9,12.0,5,5,0
1630,174,1,162.0,2,2,7
