driverstandingsid,raceid,driverid,points,position,positiontext,wins
44777,809,559,0.0,50,50,0
1420,81,27,4.0,18,18,0
65438,876,39,0.0,24,24,0
22608,481,208,0.0,39,39,0
44380,821,675,0.0,56,56,0
15905,322,110,0.0,29,29,0
9500,280,55,4.0,12,12,0
21116,439,117,24.0,1,1,2
47258,781,514,0.0,32,32,0
54595,651,360,6.0,13,13,0
54654,652,347,0.0,38,38,0
53644,671,304,10.0,4,4,0
13102,66,31,26.0,7,7,0
10733,211,57,10.0,7,7,0
62372,762,564,0.0,76,76,0
12030,137,2,7.0,8,8,0
22329,474,197,3.0,16,16,0
67948,964,807,54.0,9,9,0
56134,581,296,0.0,29,29,0
13817,45,11,4.0,14,14,0
66450,269,94,4.0,19,19,0
22355,475,201,0.0,25,25,0
21463,449,156,0.0,27,27,0
45237,815,501,0.0,23,23,0
56333,586,205,0.0,35,35,0
54068,624,306,9.0,5,5,1
48215,742,465,0.0,29,29,0
49478,773,596,0.0,76,76,0
55801,602,200,0.0,33,33,0
11652,153,21,4.0,14,14,0
11686,154,37,1.0,18,18,0
53130,666,350,3.0,14,14,0
49094,768,558,0.0,27,27,0
55163,617,224,48.0,2,2,3
50895,715,404,2.0,14,14,0
9441,278,109,5.0,9,9,0
54851,608,235,5.0,8,8,0
64193,352,9,114.0,8,8,0
66462,269,49,5.0,14,14,0
67440,942,3,247.0,3,3,3
5084,226,84,0.0,21,21,0
332,33,20,30.0,8,8,1
54834,607,238,0.0,18,18,0
10811,214,65,7.0,11,11,0
57418,535,197,0.0,20,20,0
66428,268,106,0.0,26,26,0
66098,259,50,0.0,27,27,0
12870,56,8,18.0,3,3,0
53910,678,312,4.0,19,19,0
10944,219,79,0.0,25,25,0
64727,853,5,0.0,22,22,0
64610,851,4,145.0,4,4,1
65686,886,823,0.0,22,22,0
49920,750,534,0.0,52,52,0
44875,811,656,6.0,6,6,0
44755,809,698,0.0,43,43,0
55683,600,233,5.0,13,13,0
43840,829,673,6.0,8,8,0
4372,195,63,0.0,17,17,0
19323,382,102,75.0,1,1,7
54536,649,320,0.0,33,33,0
1292,76,4,49.0,1,1,3
47412,783,516,0.0,44,44,0
57926,549,231,9.0,6,6,0
19786,398,112,1.0,18,18,0
54119,626,224,43.0,1,1,3
58624,517,222,24.0,2,2,1
57008,573,172,20.0,6,6,0
4326,193,22,0.0,13,13,0
64387,842,4,20.0,5,5,0
44410,821,743,2.0,18,18,0
65720,887,814,36.0,8,8,0
44036,831,619,0.0,39,39,0
56711,566,278,2.0,13,13,0
56325,586,296,0.0,38,38,0
54549,650,345,10.0,6,6,1
44647,824,629,0.0,44,44,0
19173,378,140,0.0,20,20,0
43207,833,787,0.0,7,7,0
59002,500,163,18.0,1,1,2
11169,181,71,3.0,9,9,0
65488,878,39,0.0,24,24,0
20737,427,184,0.0,28,28,0
46929,791,628,0.0,32,32,0
9578,283,112,2.0,15,15,0
44188,818,729,0.0,23,23,0
54669,653,235,28.0,2,2,2
5189,231,55,21.0,4,4,0
66831,909,155,0.0,22,22,0
67248,936,831,16.0,12,12,0
55268,619,292,0.0,35,35,0
56339,586,270,0.0,46,46,0
49494,773,431,0.0,21,21,0
16115,327,152,0.0,38,38,0
48397,729,456,0.0,17,17,0
17270,311,102,48.0,1,1,4
58667,519,173,0.0,18,18,0
51664,802,681,0.0,61,61,0
45044,813,593,0.0,79,79,0
