qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
987,64,13,6,6,3,1:14.412,1:14.094,1:14.569
3066,5,18,23,22,1,1:20.707,1:20.192,1:20.527
1740,199,75,18,22,19,1:28.123,,
1566,161,25,22,12,20,1:28.205,,
3336,337,22,3,9,11,1:55.969,1:55.330,
6429,932,154,208,8,5,1:15.833,1:15.187,1:15.194
2194,240,91,15,29,19,1:24.723,,
6813,953,830,9,33,21,1:22.467,,
434,38,27,12,12,22,1:35.533,,
3675,351,67,5,16,14,1:49.063,1:48.502,
7018,963,13,3,19,10,1:35.267,1:34.422,1:34.671
7249,974,838,1,2,10,1:13.476,1:13.249,
7157,969,838,1,2,18,1:26.858,,
454,39,16,12,20,20,1:23.811,,
6786,952,821,210,21,16,1:24.406,1:24.778,
320,33,12,4,6,12,1:18.300,1:18.274,
5552,885,3,131,9,1,1:24.620,1:16.135,1:13.876
4549,841,815,15,17,13,1:25.812,1:26.108,
4658,846,17,9,2,3,1:16.087,1:14.742,1:14.019
4213,96,2,17,18,13,1:31.604,,
756,53,15,7,8,14,1:33.987,1:33.066,
1703,193,56,6,4,4,1:26.780,,
260,30,12,4,6,12,1:47.052,1:46.965,
3799,108,42,19,15,18,1:31.723,,
1201,80,8,1,9,3,1:14.559,,
1560,161,65,19,8,14,1:27.461,,
1743,199,44,20,11,22,,,
5132,866,39,164,23,24,1:18.330,,
2069,225,58,18,21,21,,,
164,25,6,3,8,16,1:16.243,,
2555,255,22,17,14,10,1:40.381,,
843,57,21,4,2,13,1:31.574,1:31.197,
621,47,19,8,23,11,1:28.304,1:28.002,
2942,271,84,1,8,9,1:38.076,,
6815,954,1,131,44,1,1:14.121,1:13.076,1:12.812
2084,226,58,18,21,14,1:32.502,,
3627,349,24,10,15,14,2:01.102,1:48.680,
1569,173,30,6,3,1,1:35.825,,
1362,88,32,9,15,4,1:46.464,,
1043,66,3,3,10,15,1:28.889,1:28.386,
5193,869,13,6,6,14,1:16.265,1:40.212,
3533,345,37,15,22,16,1:39.003,1:39.264,
2725,262,92,30,34,26,1:32.838,,
3218,12,4,4,7,13,1:45.707,1:45.136,
3159,9,15,7,9,14,1:31.760,1:42.771,
7181,971,1,131,44,2,1:30.814,1:29.535,1:28.792
6180,913,18,1,22,11,1:47.161,1:46.943,
6840,955,8,6,7,5,1:44.936,1:44.533,1:44.269
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490
5810,897,821,15,12,17,1:41.999,,
3432,341,16,10,14,11,1:22.628,1:21.985,
3447,342,9,4,11,2,1:15.045,1:14.549,1:14.120
1754,200,35,3,1,11,1:32.083,,
40,19,6,3,8,18,1:36.388,,
5749,894,820,206,23,22,1:41.322,,
569,45,13,6,5,3,1:31.447,1:30.912,1:31.778
6216,915,822,3,77,3,1:39.125,1:38.971,1:38.920
5321,874,808,207,21,23,1:35.432,,
6532,938,807,10,27,9,1:24.937,1:24.510,1:25.317
5720,893,16,10,15,15,1:45.960,1:45.185,
3773,355,24,10,15,16,1:41.681,1:41.642,
1023,65,24,5,20,17,1:22.068,,
6917,958,835,4,30,17,1:43.965,,
3818,110,42,19,15,17,1:15.317,,
3478,343,808,4,12,9,1:27.620,1:27.387,1:27.430
5072,864,18,1,3,11,1:23.510,1:22.944,
5949,853,24,164,23,24,1:28.231,,
4439,71,11,16,4,19,,,
2241,242,49,15,30,14,1:31.358,,
395,37,2,2,9,5,1:35.617,1:35.203,1:36.543
4224,97,31,3,3,4,1:13.072,,
6227,915,821,15,21,14,1:41.159,1:40.536,
3116,7,2,2,6,11,1:27.795,1:27.521,
3750,354,24,10,15,17,1:20.592,1:20.357,
188,26,21,10,21,20,1:21.885,,
1724,199,35,3,1,3,1:24.102,,
6218,915,826,5,26,5,1:40.074,1:39.296,1:39.277
3059,4,2,2,6,14,1:33.377,1:33.562,
2110,227,21,18,21,18,1:22.921,,
708,51,18,11,7,10,1:37.092,1:36.771,1:39.285
6350,928,822,3,77,5,1:38.014,1:37.763,1:37.143
3882,114,23,3,4,1,1:15.259,,
4885,856,811,4,9,15,1:39.316,1:38.791,
7015,963,815,10,11,7,1:35.068,1:34.538,1:34.319
299,32,15,7,11,11,1:45.642,1:45.038,
2996,1,2,2,6,11,1:25.827,1:25.504,
