raceid,driverid,lap,position,time,milliseconds
93,44,31,13,1:24.492,84492
174,65,12,9,1:42.538,102538
847,155,15,6,1:36.524,96524
890,823,3,19,1:31.195,91195
51,22,12,18,1:50.305,110305
30,14,38,13,1:51.173,111173
928,1,8,1,1:44.178,104178
51,5,18,14,1:48.066,108066
871,18,37,1,1:54.855,114855
74,24,2,14,1:27.719,87719
25,2,46,11,1:17.716,77716
974,8,62,2,1:55.343,115343
157,4,6,16,1:42.934,102934
169,41,71,14,1:24.230,84230
348,20,39,3,1:24.428,84428
153,37,65,11,1:22.213,82213
82,14,37,6,1:17.361,77361
129,17,34,14,2:04.472,124472
864,17,49,11,1:28.595,88595
956,822,8,8,1:12.986,72986
5,21,13,14,1:26.005,86005
189,65,32,5,1:44.806,104806
183,65,1,21,1:36.479,96479
339,9,7,4,1:41.869,101869
867,817,56,12,1:44.994,104994
232,14,59,6,1:20.653,80653
81,35,5,10,1:25.072,85072
169,50,36,14,1:24.950,84950
900,817,20,2,1:34.140,94140
169,64,53,8,1:23.348,83348
16,17,36,1,1:14.571,74571
879,17,71,4,2:08.725,128725
354,3,51,6,1:30.416,90416
351,1,27,3,1:54.197,114197
37,17,54,10,1:38.796,98796
900,828,26,16,1:37.064,97064
975,839,27,2,1:17.224,77224
192,44,50,10,1:20.449,80449
99,13,67,13,1:18.002,78002
884,822,47,16,1:29.753,89753
6,18,72,1,1:17.193,77193
69,18,15,3,1:33.801,93801
206,49,11,3,1:43.571,103571
117,23,13,1,1:16.552,76552
31,18,10,18,1:37.896,97896
163,25,31,11,1:33.020,93020
99,45,43,17,1:19.439,79439
158,63,6,8,1:35.957,95957
845,2,52,12,1:29.301,89301
870,1,56,1,1:26.125,86125
41,22,39,11,1:20.445,80445
136,63,63,13,1:22.759,82759
959,13,9,14,1:28.605,88605
76,35,43,11,1:18.479,78479
917,815,26,18,1:34.246,94246
126,17,62,12,1:18.386,78386
859,811,8,9,1:19.654,79654
133,35,5,9,1:26.700,86700
24,13,8,6,1:18.502,78502
894,17,27,5,1:43.863,103863
34,13,51,2,1:37.774,97774
903,828,53,20,1:46.084,106084
9,2,43,8,1:35.156,95156
55,14,30,14,1:33.128,93128
78,14,61,8,1:18.461,78461
185,69,13,17,1:24.204,84204
138,22,9,1,1:24.023,84023
209,56,12,3,1:31.304,91304
166,49,21,6,1:22.113,82113
353,18,33,12,2:03.205,123205
5,3,6,7,1:27.470,87470
195,63,15,14,1:27.933,87933
974,20,6,2,1:17.257,77257
47,15,4,18,1:31.360,91360
45,23,12,8,1:52.418,112418
85,13,15,9,1:23.868,83868
206,30,19,5,1:40.190,100190
202,68,65,15,1:26.287,86287
93,15,28,3,1:22.634,82634
858,17,1,4,1:54.836,114836
885,824,57,19,1:22.037,82037
146,18,38,11,1:13.498,73498
863,818,14,18,1:41.060,101060
62,22,53,7,1:13.956,73956
77,2,6,2,1:31.519,91519
6,2,41,11,1:16.439,76439
156,56,21,12,1:17.223,77223
121,14,34,6,1:23.434,83434
128,13,57,6,1:23.527,83527
878,39,12,24,1:47.243,107243
231,69,31,15,1:26.257,86257
129,14,40,6,1:13.473,73473
86,13,2,9,2:00.851,120851
197,76,7,8,1:24.970,84970
873,808,24,21,1:59.731,119731
964,832,24,17,1:39.993,99993
897,13,8,6,1:48.621,108621
101,14,2,5,1:15.933,75933
31,14,4,14,1:43.558,103558
