constructorresultsid,raceid,constructorid,points,status
14433,866,10,0.0,
13050,570,27,6.0,
3095,294,37,0.0,
12526,602,78,0.0,
5521,452,51,0.0,
3306,308,18,0.0,
99,27,5,1.0,
4937,412,32,0.0,
647,78,4,0.0,
1617,171,18,0.0,
2187,223,20,0.0,
3055,292,37,0.0,
1926,199,21,0.0,
4612,389,21,0.0,
2998,288,33,0.0,
4748,398,18,0.0,
15268,953,5,4.0,
2925,282,29,0.0,
891,103,19,3.0,
14385,862,15,1.0,
785,92,17,0.0,
14141,842,1,22.0,
1490,160,1,10.0,
1872,194,22,0.0,
12610,579,6,0.0,
6370,506,6,1.0,
12387,593,63,0.0,
14720,892,131,10.0,
4825,403,21,0.0,
12516,602,34,2.0,
4433,379,32,2.0,
12429,596,34,0.0,
6409,509,3,10.0,
4528,384,42,0.0,
3044,291,25,0.0,
12803,583,74,0.0,
12939,562,64,0.0,
12615,579,64,0.0,
2734,268,31,0.0,
262,43,6,18.0,
11352,675,195,0.0,
1208,134,6,10.0,
14989,916,3,22.0,
12597,578,3,0.0,
10930,702,183,3.0,
14566,877,10,2.0,
10212,741,95,6.0,
2353,238,18,0.0,
2837,276,22,6.0,
15057,930,9,7.0,
3804,335,45,0.0,
15454,970,10,3.0,
14917,909,206,0.0,
2561,256,3,10.0,
11230,686,189,0.0,
4314,372,39,0.0,
14842,903,6,19.0,
5026,419,1,9.0,
12920,561,57,0.0,
3302,308,35,1.0,
12807,584,73,2.0,
2869,278,25,0.0,
14396,863,1,4.0,
13464,531,6,0.0,
5293,437,21,0.0,
5083,423,1,9.0,
13964,342,131,6.0,
2502,251,1,9.0,
10803,718,170,0.0,
12439,597,34,0.0,
156,33,2,8.0,
14616,881,207,0.0,
13,19,2,11.0,
15407,966,6,18.0,
363,52,3,5.0,
13347,557,1,9.0,
14864,905,131,43.0,
2900,280,32,0.0,
11080,691,167,6.0,
2327,236,22,4.0,
13907,337,5,0.0,
1802,188,6,0.0,
13427,529,54,0.0,
5374,442,3,0.0,
1389,150,18,0.0,
917,105,18,0.0,
