orderid,productid,unitprice,quantity,discount
10290,77,10.4,10,0.0
10939,67,14.0,40,0.0
10971,29,123.79,14,0.0
10386,24,3.6,15,0.0
11030,29,123.79,60,0.0
10723,26,31.23,15,0.0
10447,19,7.3,40,0.0
10526,1,18.0,8,0.0
10643,46,12.0,2,0.0
10478,10,24.8,20,0.0
10757,62,49.3,30,0.0
11019,49,20.0,2,0.0
10377,28,36.4,20,0.0
10972,17,39.0,6,0.0
10479,64,26.6,30,0.0
10658,40,18.4,70,0.0
10350,50,13.0,15,0.0
10600,73,15.0,30,0.0
11036,13,6.0,7,0.0
10601,59,55.0,35,0.0
10707,55,24.0,21,0.0
11023,43,46.0,30,0.0
11033,53,32.8,70,0.0
10414,19,7.3,18,0.0
10855,56,38.0,24,0.0
10785,75,7.75,10,0.0
10967,19,9.2,12,0.0
10757,64,33.25,24,0.0
10706,43,46.0,24,0.0
10554,23,9.0,20,0.0
10898,13,6.0,5,0.0
10281,35,14.4,4,0.0
10555,51,53.0,20,0.0
10747,41,9.65,35,0.0
10745,72,34.8,7,0.0
10682,66,17.0,4,0.0
10520,24,4.5,8,0.0
10455,71,17.2,30,0.0
10504,21,10.0,12,0.0
10564,55,24.0,25,0.0
10436,56,30.4,40,0.0
10424,35,14.4,60,0.0
10392,69,28.8,50,0.0
11065,30,25.89,4,0.0
11077,39,18.0,2,0.0
10884,56,38.0,21,0.0
10338,17,31.2,20,0.0
10824,70,15.0,9,0.0
10924,28,45.6,30,0.0
10794,14,23.25,15,0.0
10829,2,19.0,10,0.0
10751,73,15.0,15,0.0
10737,41,9.65,12,0.0
11077,6,25.0,1,0.0
11062,53,32.8,10,0.0
10850,25,14.0,20,0.0
10500,15,15.5,12,0.0
10449,62,39.4,35,0.0
10695,12,38.0,4,0.0
10597,24,4.5,35,0.0
10823,77,13.0,15,0.0
10797,11,21.0,20,0.0
10418,61,22.8,16,0.0
10990,55,24.0,65,0.0
10367,77,10.4,7,0.0
10910,19,9.2,12,0.0
11001,46,12.0,25,0.0
10709,8,40.0,40,0.0
10742,72,34.8,35,0.0
11025,1,18.0,10,0.0
10401,65,16.8,20,0.0
10387,24,3.6,15,0.0
10260,70,12.0,21,0.0
10360,29,99.0,35,0.0
10748,23,9.0,44,0.0
10859,24,4.5,40,0.0
10897,29,123.79,80,0.0
10776,45,9.5,27,0.0
10768,22,21.0,4,0.0
10248,11,14.0,12,0.0
11032,59,55.0,30,0.0
10916,57,19.5,20,0.0
10297,39,14.4,60,0.0
10377,39,14.4,20,0.0
10543,12,38.0,30,0.0
10367,54,5.9,18,0.0
10661,58,13.25,49,0.0
10605,59,55.0,20,0.0
10999,51,53.0,15,0.0
10251,65,16.8,20,0.0
10385,7,24.0,10,0.0
10830,6,25.0,6,0.0
10972,33,2.5,7,0.0
10776,51,53.0,120,0.0
10356,31,10.0,30,0.0
10329,30,20.7,8,0.0
10485,55,19.2,30,0.0
10776,42,14.0,12,0.0
10998,61,28.5,7,0.0
10530,17,39.0,40,0.0
10696,46,12.0,18,0.0
11017,3,10.0,25,0.0
10403,48,10.2,70,0.0
10341,33,2.0,8,0.0
10733,52,7.0,25,0.0
10755,69,36.0,25,0.0
10516,41,9.65,80,0.0
10305,29,99.0,25,0.0
10691,44,19.45,24,0.0
