type,code,fullname
Круглая,РГ,Западный плейофф
Отдел,ХО,Отдел по делам женщин Канады
Отдел,Ред.,Восточный отдел
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Круглая,СФК,Полуфинал Конференции
Отдел,ЭВ,Восточная дивизия WHA
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Отдел,SM,Отдел Смайта
Круглая,QF,Четверо-финал
Круглая,SF,Полуфинал
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Отдел,АМ,Американский отдел
Воспроизведение,ПФ,Потерянные финалы PCHA
Круглая,Предварительно,Предварительные данные
Воспроизведение,DF,Проигранные финалы по разделу NHL
Воспроизведение,SF,Потерянные полуфиналы NHL
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Круглая,CQF,Квартира-финансы конференций
Отдел,SE,Юго-восточный отдел
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Отдел,СЕ,Центральный отдел
Отдел,НО,Северо-западный отдел
Воспроизведение,WF,Потерянные финалы WCHL
Отдел,Нет,Северо-восточный отдел
Круглая,F,Финал
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Отдел,PT,Отдел Патрика
Зал,WA,Конференция в Уэльсе
Отдел,АД,Отдел Адамса
Воспроизведение,AVC,Выиграл Кубок АВКО
Отдел,WD,Западный отдел
Круглая,РВК,Финал Кубка Авто
Отдел,WW,WHA West Division
Воспроизведение,F,Проиграл финал Кубка Стэнли
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Воспроизведение,ПК,Выиграл Кубок Стэнли
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Отдел,Нет,Отдел Норриса
Отдел,ПК,Тихоокеанский отдел
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Отдел,АТ,Атлантический отдел
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Зал,ВК,Западная конференция
Круглая,CF,Заключительные документы Конференции
Воспроизведение,НФЧМ,Проигранные финалы NHL
Круглая,ПКФ,Финал Кубка Стэнли
Круглая,DSF,Полуфинал
Воспроизведение,QF,Потерянный четвертьфинал NHL
Отдел,КА,Канадский отдел
Круглая,СКФ,Кубок Стэнли Полуфинал
Зал,ЕС,Восточная конференция
